,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,001239,永达股份,19.8,10.0,1.8,418829,816925273.54,9.11,19.8,18.16,19.15,18.0,36.74,78.92,3.74
1,2,000595,宝塔实业,7.77,4.86,0.36,1647532,1290996916.9,10.8,8.15,7.35,7.95,7.41,14.48,-111.66,20.82
2,3,600810,神马股份,8.86,4.24,0.36,394810,344007950.0,8.82,9.15,8.4,8.41,8.5,3.93,268.23,1.3
3,4,301299,卓创资讯,73.0,3.4,2.4,44951,324192095.27,6.97,74.12,69.2,70.0,70.6,12.76,62.4,7.48
4,5,688173,希荻微,12.92,2.95,0.37,142112,185304981.0,9.32,13.55,12.38,12.65,12.55,5.92,-18.8,3.57
5,6,600185,格力地产,6.28,1.45,0.09,596084,373613283.0,4.2,6.4,6.14,6.15,6.19,3.16,-9.64,2.56
6,7,000410,沈阳机床,7.93,1.15,0.09,682637,549544599.76,4.59,8.27,7.91,7.95,7.84,4.06,-99.63,17.73
7,8,600187,国中水务,3.61,1.12,0.04,692175,249665516.0,5.88,3.72,3.51,3.57,3.57,4.29,485.59,1.84
8,9,002701,奥瑞金,5.02,1.01,0.05,381881,192567955.61,3.82,5.14,4.95,4.97,4.97,1.49,12.66,1.41
9,10,603196,日播时尚,18.18,1.0,0.18,70610,125552466.0,5.22,18.26,17.32,17.89,18.0,2.98,-27.16,6.77
10,11,000523,红棉股份,3.43,0.59,0.02,515820,177683842.04,2.64,3.49,3.4,3.4,3.41,2.87,76.66,4.28
11,12,600179,安通控股,2.93,0.34,0.01,609628,180268459.0,3.77,3.02,2.91,2.92,2.92,1.63,57.68,1.2
12,13,300656,民德电子,24.81,0.24,0.06,30144,74447100.57,2.83,24.99,24.29,24.53,24.75,2.41,-312.24,3.8
13,14,000935,四川双马,17.18,0.17,0.03,90101,154099015.45,2.8,17.3,16.82,17.3,17.15,1.18,40.22,1.78
14,15,603958,哈森股份,18.21,0.17,0.03,140821,259701111.0,5.5,18.88,17.88,18.01,18.18,6.42,-72.3,5.24
15,16,601211,国泰君安,17.62,0.06,0.01,1123144,1966302329.0,2.04,17.66,17.3,17.58,17.61,0.83,23.86,1.18
16,17,600250,南京商旅,8.82,0.0,0.0,90325,79649826.0,1.59,8.9,8.76,8.82,8.82,2.91,52.55,4.56
