,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300878,维康药业,17.99,12.09,1.94,110343.0,192621975.34,12.27,18.3,16.33,16.57,16.05,7.66,44.3,1.93
1,2,603028,赛福天,8.31,10.07,0.76,71252.0,59210744.0,0.0,8.31,8.31,8.31,7.55,2.48,-64.65,3.58
2,3,002789,建艺集团,10.4,10.05,0.95,326840.0,317277984.56,17.04,10.4,8.79,8.79,9.45,24.86,298.55,50.13
3,4,002633,申科股份,15.7,10.02,1.43,232703.0,355702359.69,13.1,15.7,13.83,14.24,14.27,15.59,251.68,5.61
4,5,001202,炬申股份,18.45,10.02,1.68,80533.0,144064583.35,12.16,18.45,16.41,16.56,16.77,8.9,26.35,3.22
5,6,000890,法尔胜,4.18,10.0,0.38,574195.0,230954586.32,10.53,4.18,3.78,3.78,3.8,13.69,-31.8,22.67
6,7,603139,康惠制药,20.7,9.99,1.88,5261.0,10890270.0,0.0,20.7,20.7,20.7,18.82,0.53,-40.5,2.27
7,8,600243,青海华鼎,3.97,9.97,0.36,1522817.0,600172931.0,3.88,3.97,3.83,3.96,3.61,34.7,-74.17,2.45
8,9,600892,大晟文化,3.87,9.94,0.35,776848.0,294400834.0,11.65,3.87,3.46,3.52,3.52,13.89,-104.87,17.3
9,10,300721,怡达股份,15.33,9.5,1.33,347109.0,543292558.3,18.86,16.8,14.16,14.5,14.0,25.31,131.38,2.07
10,11,300591,万里马,5.2,9.01,0.43,508755.0,256468023.81,9.64,5.29,4.83,4.84,4.77,14.51,-24.28,4.96
11,12,301105,鸿铭股份,36.5,8.12,2.74,38141.0,134371765.81,13.33,37.03,32.53,33.77,33.76,23.2,349.31,2.13
12,13,600156,华升股份,5.64,7.43,0.39,497980.0,280722071.0,11.81,5.78,5.16,5.28,5.25,12.38,-77.88,5.13
13,14,002529,海源复材,9.41,6.81,0.6,401738.0,376225702.06,7.04,9.69,9.07,9.32,8.81,15.45,-43.72,5.99
14,15,300519,新光药业,15.0,6.76,0.95,179631.0,270412845.64,8.68,15.88,14.66,14.66,14.05,15.74,47.64,2.93
15,16,603685,晨丰科技,13.63,5.99,0.77,67607.0,89256091.0,8.79,13.66,12.53,12.86,12.86,4.0,123.6,2.05
16,17,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
17,18,688118,普元信息,26.6,5.14,1.3,76647.0,201063671.0,10.28,27.2,24.6,24.99,25.3,8.35,382.49,2.85
18,19,300778,新城市,11.7,4.09,0.46,136353.0,157900689.79,5.69,11.75,11.11,11.21,11.24,6.7,-13.57,1.81
19,20,002696,百洋股份,5.96,4.01,0.23,512690.0,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
20,21,301231,荣信文化,24.35,3.62,0.85,58258.0,139358431.78,5.19,24.62,23.4,23.62,23.5,10.81,-61.7,2.33
21,22,002857,三晖电气,15.79,3.41,0.52,96824.0,150056929.0,8.45,15.98,14.69,15.0,15.27,7.56,-71.81,4.2
22,23,301519,舜禹股份,14.39,3.3,0.46,83453.0,118998078.96,5.53,14.57,13.8,13.9,13.93,10.7,130.22,1.57
23,24,002591,恒大高新,5.71,2.88,0.16,378126.0,214360395.0,10.99,6.0,5.39,5.51,5.55,16.92,90.45,2.5
24,25,301027,华蓝集团,14.41,2.86,0.4,38179.0,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
25,26,600302,标准股份,6.23,2.81,0.17,351678.0,218436808.0,7.1,6.43,6.0,6.0,6.06,10.16,-33.9,2.86
26,27,603090,宏盛股份,22.9,2.78,0.62,85555.0,192490384.0,9.92,23.96,21.75,22.0,22.28,8.56,35.96,3.97
27,28,301232,飞沃科技,29.51,2.43,0.7,37448.0,109599373.6,4.41,29.6,28.33,28.61,28.81,8.38,-22.88,1.52
28,29,300844,山水比德,36.2,2.12,0.75,20487.0,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
29,30,002207,准油股份,6.1,2.01,0.12,201270.0,123515448.12,5.85,6.3,5.95,5.95,5.98,7.72,-79.26,23.54
30,31,605069,正和生态,9.7,2.0,0.19,161221.0,154580673.0,5.47,9.85,9.33,9.51,9.51,19.16,386.99,1.97
31,32,300971,博亚精工,27.28,1.94,0.52,182371.0,504679048.92,10.13,28.77,26.06,26.45,26.76,27.73,47.54,2.31
32,33,301390,经纬股份,37.05,1.81,0.66,39969.0,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
33,34,688450,光格科技,25.89,1.21,0.31,21488.0,55257840.0,5.28,26.35,25.0,25.58,25.58,4.46,-24.94,1.68
34,35,301288,清研环境,14.32,1.2,0.17,48666.0,70374068.99,4.81,14.78,14.1,14.4,14.15,10.33,-89.16,1.91
35,36,000586,汇源通信,10.38,1.17,0.12,91077.0,94692986.56,5.07,10.63,10.11,10.26,10.26,4.71,-576.64,6.07
36,37,603810,丰山集团,12.62,0.96,0.12,65713.0,84057330.0,5.44,13.1,12.42,12.45,12.5,3.98,-63.15,1.42
37,38,300517,海波重科,9.91,0.92,0.09,80607.0,80495544.4,5.09,10.21,9.71,9.79,9.82,6.5,84.08,1.91
38,39,600241,时代万恒,7.68,0.92,0.07,94307.0,72664412.0,5.26,7.95,7.55,7.64,7.61,3.2,90.14,1.94
39,40,000692,惠天热电,3.55,0.85,0.03,146508.0,51578305.4,2.27,3.56,3.48,3.5,3.52,2.75,-3.12,-6.82
40,41,000637,茂化实华,3.64,0.83,0.03,138333.0,50664574.25,3.05,3.72,3.61,3.62,3.61,3.76,-12.39,3.04
41,42,301037,保立佳,12.54,0.72,0.09,21564.0,26741304.3,2.89,12.6,12.24,12.41,12.45,3.17,-18.91,2.44
42,43,002809,红墙股份,8.99,0.67,0.06,147436.0,134636141.6,6.72,9.42,8.82,8.85,8.93,10.7,35.5,1.18
43,44,600082,海泰发展,3.13,0.64,0.02,108582.0,33864443.0,1.93,3.15,3.09,3.1,3.11,1.71,-31.32,1.18
44,45,300500,启迪设计,11.9,0.59,0.07,102221.0,121421292.13,4.73,12.19,11.63,11.8,11.83,6.1,-90.7,1.75
45,46,000663,永安林业,5.89,0.51,0.03,79709.0,46764454.13,1.54,5.91,5.82,5.86,5.86,2.6,-38.02,1.86
46,47,301040,中环海陆,16.34,0.49,0.08,63939.0,106158324.2,6.83,17.26,16.15,16.21,16.26,8.93,-18.23,1.85
47,48,300334,津膜科技,6.5,0.46,0.03,131775.0,86605498.2,4.79,6.74,6.43,6.52,6.47,4.36,-123.91,3.54
48,49,002495,佳隆股份,2.46,0.41,0.01,340354.0,83648962.2,2.45,2.49,2.43,2.45,2.45,4.77,108.58,2.08
49,50,600202,哈空调,5.15,0.39,0.02,147821.0,75685537.0,2.14,5.18,5.07,5.1,5.13,3.86,1034.9,2.38
50,51,000820,神雾节能,3.05,0.33,0.01,188336.0,57232428.6,3.29,3.09,2.99,3.03,3.04,6.41,-87.88,21.68
51,52,600561,江西长运,6.14,0.33,0.02,51898.0,31765740.0,1.8,6.17,6.06,6.12,6.12,1.82,548.9,1.92
52,53,603331,百达精工,10.35,0.29,0.03,66750.0,68836635.0,3.68,10.5,10.12,10.29,10.32,3.3,73.25,1.65
53,54,605287,德才股份,14.43,0.14,0.02,21218.0,30708674.0,3.4,14.74,14.25,14.25,14.41,1.52,19.32,1.06
54,55,002828,贝肯能源,9.4,0.11,0.01,169963.0,161009857.0,3.94,9.68,9.31,9.35,9.39,8.84,58.22,3.16
55,56,688178,万德斯,17.07,0.0,0.0,,,0.0,,,,17.07,0.0,-21.3,1.4
56,57,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
57,58,300675,建科院,15.44,-0.06,-0.01,49852.0,77413764.0,3.04,15.75,15.28,15.42,15.45,3.4,943.0,3.74
58,59,688350,富淼科技,13.97,-0.07,-0.01,13324.0,18702944.0,2.43,14.2,13.86,13.95,13.98,1.09,-346.85,1.22
59,60,000593,德龙汇能,5.73,-0.17,-0.01,68632.0,39324941.57,1.92,5.79,5.68,5.71,5.74,1.91,36.4,2.36
