,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300993,玉马科技,10.87,1.12,0.12,143943,155796117.95,3.91,11.0,10.58,10.73,10.75,5.97,19.62,2.43
1,2,601718,际华集团,2.75,0.0,0.0,590906,163927721.0,2.55,2.81,2.74,2.74,2.75,1.35,-204.99,0.71
2,3,002887,绿茵生态,7.62,0.0,0.0,44760,34046794.0,2.36,7.7,7.52,7.65,7.62,2.81,33.86,0.93
3,4,000558,天府文旅,3.42,-0.29,-0.01,561563,192436543.39,3.5,3.49,3.37,3.4,3.43,4.36,-373.99,4.08
4,5,300163,ST先锋,3.18,-0.93,-0.03,158800,50186293.44,5.92,3.27,3.08,3.2,3.21,3.82,-204.3,3.08
5,6,002723,小崧股份,8.18,-0.97,-0.08,76544,62754275.2,2.06,8.3,8.13,8.25,8.26,2.41,-49.54,2.18
6,7,001211,双枪科技,22.25,-1.02,-0.23,11336,25314781.0,1.6,22.55,22.19,22.47,22.48,1.69,84.89,1.87
7,8,603908,牧高笛,24.84,-1.19,-0.3,23714,59034916.0,3.34,25.37,24.53,25.1,25.14,2.54,18.82,4.02
8,9,001238,浙江正特,32.49,-1.22,-0.4,3486,11337304.0,2.13,33.02,32.32,33.02,32.89,1.09,84.76,3.21
9,10,002780,三夫户外,11.44,-1.29,-0.15,46102,52763942.0,2.67,11.65,11.34,11.64,11.59,3.53,157.91,2.59
10,11,002127,南极电商,4.39,-1.35,-0.06,273130,119881844.59,2.92,4.46,4.33,4.43,4.45,1.37,149.05,2.41
11,12,002486,嘉麟杰,2.16,-1.37,-0.03,286390,62114950.0,2.74,2.21,2.15,2.18,2.19,3.46,78.81,1.7
12,13,605180,华生科技,13.77,-1.64,-0.23,20228,27905002.0,2.36,14.0,13.67,13.88,14.0,1.2,36.98,2.04
13,14,300005,探路者,8.1,-1.82,-0.15,271492,223502617.9,3.64,8.37,8.07,8.18,8.25,3.07,52.76,3.43
14,15,002615,哈尔斯,8.09,-1.82,-0.15,77792,63331066.0,2.31,8.24,8.05,8.2,8.24,2.54,12.58,2.33
15,16,301113,雅艺科技,24.86,-1.86,-0.47,7211,18013421.0,3.4,25.49,24.63,25.33,25.33,1.71,233.35,2.44
16,17,002489,浙江永强,3.5,-1.96,-0.07,346723,122082277.97,2.52,3.57,3.48,3.55,3.57,1.81,11.68,1.86
17,18,603055,台华新材,11.27,-2.17,-0.25,98898,112591396.0,2.69,11.58,11.27,11.54,11.52,1.12,12.16,2.07
18,19,605155,西大门,12.24,-2.24,-0.28,75837,92792852.0,2.48,12.42,12.11,12.41,12.52,4.01,20.23,1.89
19,20,301376,致欧科技,19.61,-2.29,-0.46,16019,31743809.0,3.54,20.22,19.51,20.02,20.07,0.83,21.28,2.49
20,21,300577,开润股份,22.21,-2.37,-0.54,29479,66004588.0,3.03,22.79,22.1,22.67,22.75,2.1,12.46,2.64
21,22,605080,浙江自然,30.71,-2.41,-0.76,13900,42849002.0,4.13,31.7,30.4,31.7,31.47,0.98,20.03,2.16
22,23,603307,扬州金泉,35.35,-2.7,-0.98,13306,47871025.0,4.71,36.79,35.08,36.11,36.33,7.83,16.49,1.77
23,24,603766,隆鑫通用,10.67,-3.79,-0.42,279123,301206216.0,4.06,11.06,10.61,11.06,11.09,1.36,18.29,2.45
24,25,001309,德明利,134.35,-4.36,-6.13,62786,852072274.9,5.51,140.44,132.7,139.5,140.48,7.16,38.65,8.59
25,26,301336,趣睡科技,85.9,-5.61,-5.11,45053,402482790.0,10.31,94.99,85.61,91.93,91.01,17.5,135.18,4.28
26,27,873132,泰鹏智能,15.35,-5.71,-0.93,30471,47484481.35,7.86,16.44,15.16,16.08,16.28,10.83,41.64,4.98
