,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600289,*ST信通,9.18,5.03,0.44,116981,106749978.0,2.63,9.18,8.95,9.13,8.74,2.07,151.09,8.02
1,2,600715,*ST文投,2.18,1.87,0.04,239273,51973267.0,3.27,2.21,2.14,2.14,2.14,0.9,-16.69,5.6
2,3,601928,凤凰传媒,10.62,1.53,0.16,210886,223322625.0,2.01,10.65,10.44,10.46,10.46,0.83,15.09,1.41
3,4,002027,分众传媒,6.93,0.0,0.0,842917,586358073.13,1.88,7.04,6.91,6.91,6.93,0.58,18.92,6.34
4,5,300052,ST中青宝,11.61,-0.34,-0.04,333228,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
5,6,600373,中文传媒,11.17,-0.53,-0.06,96305,107867595.0,1.07,11.26,11.14,11.23,11.23,0.71,16.05,0.84
6,7,300533,冰川网络,25.62,-0.66,-0.17,59438,153175156.18,4.5,26.36,25.2,25.47,25.79,3.61,-9.64,5.63
7,8,603444,吉比特,220.35,-1.02,-2.26,10205,226264654.0,2.16,224.58,219.78,222.0,222.61,1.42,18.11,3.35
8,9,000917,电广传媒,7.98,-1.12,-0.09,453495,363394100.47,2.23,8.11,7.93,8.07,8.07,3.2,139.11,1.09
9,10,600637,东方明珠,7.82,-1.14,-0.09,283398,222880912.0,1.77,7.94,7.8,7.89,7.91,0.84,27.43,0.88
10,11,002168,ST惠程,2.52,-1.18,-0.03,280224,70930629.21,7.45,2.65,2.46,2.58,2.55,3.57,-17.84,-28.51
11,12,002148,北纬科技,7.38,-1.34,-0.1,225638,169140501.4,3.61,7.65,7.38,7.48,7.48,5.02,158.11,3.37
12,13,002425,ST凯文,2.26,-1.74,-0.04,205793,46810024.3,3.04,2.31,2.24,2.29,2.3,2.15,-16.95,0.63
13,14,002558,巨人网络,14.91,-1.78,-0.27,247304,373393280.2,3.89,15.46,14.87,15.13,15.18,1.28,20.2,2.37
14,15,002555,三七互娱,15.39,-1.79,-0.28,365326,566629157.68,2.81,15.77,15.33,15.64,15.67,2.28,13.46,2.7
15,16,300518,新迅达,10.59,-1.94,-0.21,36891,39291375.14,2.87,10.85,10.54,10.81,10.8,1.85,-18.87,2.09
16,17,300043,星辉娱乐,4.03,-1.95,-0.08,632196,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
17,18,600770,综艺股份,4.48,-1.97,-0.09,144096,64771972.0,2.63,4.57,4.45,4.56,4.57,1.11,60.54,1.76
18,19,002919,名臣健康,17.37,-1.98,-0.35,63232,110840939.34,3.39,17.86,17.26,17.55,17.72,2.39,35.88,5.3
19,20,600880,博瑞传播,4.84,-2.02,-0.1,345300,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
20,21,603258,电魂网络,23.41,-2.05,-0.49,44847,105803683.0,2.76,24.01,23.35,23.73,23.9,1.86,57.45,2.57
21,22,002174,游族网络,9.74,-2.11,-0.21,197566,194680683.69,3.82,10.09,9.71,10.08,9.95,2.16,1292.16,2.01
22,23,300418,昆仑万维,36.34,-2.21,-0.82,228935,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
23,24,002735,王子新材,9.54,-2.25,-0.22,96585,92838856.6,2.66,9.76,9.5,9.72,9.76,3.44,212.16,2.03
24,25,600173,卧龙地产,5.86,-2.33,-0.14,81707,48181076.0,3.17,6.0,5.81,5.99,6.0,1.17,28.48,1.07
25,26,603533,掌阅科技,19.44,-2.41,-0.48,73224,143488412.0,2.71,19.92,19.38,19.85,19.92,1.67,-173.75,3.42
26,27,300467,迅游科技,20.39,-2.44,-0.51,149487,311458052.73,4.98,21.39,20.35,20.97,20.9,8.87,140.85,6.67
27,28,300002,神州泰岳,13.72,-2.56,-0.36,637755,882881690.04,3.27,14.12,13.66,14.01,14.08,3.5,18.69,3.83
28,29,000004,国华网安,11.65,-2.59,-0.31,48749,57100365.48,3.01,11.96,11.6,11.95,11.96,3.86,-32.29,9.65
29,30,300315,掌趣科技,5.62,-2.6,-0.15,985716,558441435.72,3.12,5.77,5.59,5.75,5.77,3.82,58.51,3.13
30,31,300027,华谊兄弟,2.59,-2.63,-0.07,804974,210429350.19,3.76,2.67,2.57,2.65,2.66,3.24,-126.88,11.53
31,32,002517,恺英网络,16.1,-2.78,-0.46,412205,668812305.98,4.05,16.65,15.98,16.38,16.56,2.18,20.15,5.68
32,33,600633,浙数文化,14.14,-2.82,-0.41,485955,698095785.0,4.05,14.73,14.14,14.4,14.55,3.83,28.33,1.79
