,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603608,*ST天创,4.49,1.58,0.07,59917,26804476.0,3.85,4.57,4.4,4.47,4.42,1.43,-45.94,1.69
1,2,002124,ST天邦,3.03,0.33,0.01,1221907,375912403.62,5.3,3.17,3.01,3.12,3.02,6.19,3.76,1.89
2,3,002515,金字火腿,5.16,-0.96,-0.05,180880,93307129.02,2.11,5.21,5.1,5.18,5.21,1.56,156.96,2.41
3,4,002269,美邦服饰,2.04,-0.97,-0.02,739643,151186114.0,1.46,2.06,2.03,2.06,2.06,2.94,74.18,9.77
4,5,603600,永艺股份,12.0,-1.07,-0.13,35327,42573966.0,2.31,12.19,11.91,12.09,12.13,1.17,13.26,1.82
5,6,603719,良品铺子,12.76,-1.09,-0.14,59786,76330773.0,1.86,12.89,12.65,12.81,12.9,1.49,197.91,2.21
6,7,003010,若羽臣,38.99,-1.17,-0.46,37045,144917989.04,2.99,39.68,38.5,39.3,39.45,3.06,83.12,6.1
7,8,000564,供销大集,2.86,-1.38,-0.04,2125357,608869036.09,2.76,2.91,2.83,2.9,2.9,1.44,-348.97,3.13
8,9,600300,维维股份,3.42,-1.44,-0.05,665803,229243345.0,2.59,3.49,3.4,3.46,3.47,4.12,16.86,1.67
9,10,600400,红豆股份,2.44,-1.61,-0.04,340243,83188911.0,2.02,2.47,2.42,2.47,2.48,1.48,1276.34,1.98
10,11,002264,新 华 都,6.12,-1.61,-0.1,93416,57265714.0,2.09,6.21,6.08,6.19,6.22,1.43,17.36,2.47
11,12,603365,水星家纺,15.49,-1.71,-0.27,7621,11902323.0,2.09,15.82,15.49,15.78,15.76,0.3,14.55,1.42
12,13,300005,探路者,8.1,-1.82,-0.15,271492,223502617.9,3.64,8.37,8.07,8.18,8.25,3.07,52.76,3.43
13,14,600398,海澜之家,8.06,-1.95,-0.16,339086,276306853.0,3.89,8.33,8.01,8.22,8.22,0.71,15.22,2.31
14,15,301287,康力源,32.04,-1.96,-0.64,11488,37093513.0,2.05,32.68,32.01,32.51,32.68,6.75,37.41,1.93
15,16,002820,桂发祥,11.41,-1.98,-0.23,81627,93771885.0,2.15,11.65,11.4,11.6,11.64,4.08,48.13,2.47
16,17,001313,粤海饲料,9.17,-2.03,-0.19,73797,68862068.0,3.85,9.52,9.16,9.4,9.36,1.06,-71.42,2.48
17,18,002995,天地在线,19.98,-2.11,-0.43,37602,75568078.25,2.01,20.35,19.94,20.35,20.41,3.34,-85.79,3.66
18,19,300027,华谊兄弟,2.59,-2.63,-0.07,804974,210429350.19,3.76,2.67,2.57,2.65,2.66,3.24,-126.88,11.53
19,20,002024,ST易购,2.24,-3.86,-0.09,814814,185137681.91,4.29,2.33,2.23,2.33,2.33,0.89,25.98,1.72
20,21,603825,华扬联众,13.58,-3.96,-0.56,117711,162019698.0,3.11,14.02,13.58,13.99,14.14,4.65,-11.47,4.63
21,22,300382,斯莱克,13.16,-4.08,-0.56,289940,385506139.19,4.3,13.66,13.07,13.64,13.72,4.53,-411.71,3.57
22,23,002599,盛通股份,10.79,-4.26,-0.48,359281,390023116.58,4.44,11.2,10.7,11.19,11.27,8.92,9620.0,4.02
23,24,002044,美年健康,5.88,-4.85,-0.3,1534150,916038459.18,5.18,6.17,5.85,6.15,6.18,3.96,700.77,3.01
24,25,688365,光云科技,14.44,-4.87,-0.74,98755,144863382.0,4.94,15.15,14.4,15.0,15.18,2.32,-74.17,6.43
25,26,838262,太湖雪,24.02,-4.98,-1.26,19066,46513602.27,5.42,25.28,23.91,25.1,25.28,7.49,34.24,4.03
26,27,002277,友阿股份,5.69,-5.64,-0.34,833367,484125617.75,5.8,6.03,5.68,6.03,6.03,5.98,52.02,1.17
27,28,300908,仲景食品,28.88,-7.23,-2.25,47824,140740808.82,4.85,30.26,28.75,29.86,31.13,3.87,21.21,2.48
