,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002115,三维通信,9.38,9.96,0.85,1694326.0,1565939432.87,11.96,9.38,8.36,8.51,8.53,22.53,-231.69,3.26
1,2,300541,先进数通,15.94,4.46,0.68,1113823.0,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
2,3,002591,恒大高新,5.71,2.88,0.16,378126.0,214360395.0,10.99,6.0,5.39,5.51,5.55,16.92,90.45,2.5
3,4,300959,线上线下,44.69,1.96,0.86,37370.0,168625516.01,6.16,46.3,43.6,43.6,43.83,7.15,214.72,3.09
4,5,603608,*ST天创,4.49,1.58,0.07,59917.0,26804476.0,3.85,4.57,4.4,4.47,4.42,1.43,-45.94,1.69
5,6,688787,海天瑞声,111.4,1.09,1.2,46774.0,528852875.0,7.69,117.88,109.41,111.3,110.2,7.75,599.22,9.04
6,7,600986,浙文互联,10.29,0.59,0.06,2324738.0,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
7,8,002955,鸿合科技,26.63,-0.26,-0.07,41835.0,111992739.1,2.62,27.2,26.5,26.7,26.7,2.23,19.29,1.95
8,9,000070,ST特信,6.16,-0.48,-0.03,94814.0,58476456.44,1.45,6.22,6.13,6.18,6.19,1.07,940.25,2.9
9,10,300242,佳云科技,5.06,-0.59,-0.03,366524.0,188086204.5,5.11,5.27,5.01,5.14,5.09,5.82,-58.2,8.86
10,11,002818,富森美,13.55,-0.59,-0.08,19891.0,27045330.54,1.98,13.76,13.49,13.63,13.63,0.67,14.69,1.74
11,12,002799,环球印务,7.75,-0.77,-0.06,40872.0,31838505.16,2.05,7.88,7.72,7.81,7.81,1.28,67.73,1.81
12,13,002103,广博股份,9.84,-1.11,-0.11,129720.0,127736394.84,2.11,9.98,9.77,9.86,9.95,3.44,37.42,5.22
13,14,002344,海宁皮城,4.36,-1.13,-0.05,145532.0,63715237.66,2.04,4.43,4.34,4.4,4.41,1.14,58.15,0.67
14,15,002168,ST惠程,2.52,-1.18,-0.03,280224.0,70930629.21,7.45,2.65,2.46,2.58,2.55,3.57,-17.84,-28.51
15,16,300058,蓝色光标,9.89,-1.3,-0.13,1473525.0,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
16,17,002148,北纬科技,7.38,-1.34,-0.1,225638.0,169140501.4,3.61,7.65,7.38,7.48,7.48,5.02,158.11,3.37
17,18,300499,高澜股份,20.78,-1.42,-0.3,216713.0,450577182.67,3.61,21.22,20.46,21.08,21.08,7.98,-269.55,4.58
18,19,002717,岭南股份,3.42,-1.44,-0.05,1090461.0,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
19,20,300688,创业黑马,30.59,-1.45,-0.45,78393.0,240160288.9,4.12,31.48,30.2,30.73,31.04,5.29,-88.97,10.54
20,21,002803,吉宏股份,12.88,-1.45,-0.19,50384.0,65205162.1,1.99,13.12,12.86,13.08,13.07,1.75,27.6,2.29
21,22,002752,昇兴股份,5.96,-1.49,-0.09,162100.0,96958362.75,2.48,6.07,5.92,6.03,6.05,1.66,12.71,1.75
22,23,603598,引力传媒,17.88,-1.54,-0.28,79755.0,143595926.0,2.42,18.25,17.81,18.04,18.16,2.98,184.56,22.02
23,24,002264,新 华 都,6.12,-1.61,-0.1,93416.0,57265714.0,2.09,6.21,6.08,6.19,6.22,1.43,17.36,2.47
24,25,600859,王府井,13.73,-1.72,-0.24,180630.0,249678648.0,2.29,14.01,13.69,13.91,13.97,1.59,27.39,0.79
25,26,002425,ST凯文,2.26,-1.74,-0.04,205793.0,46810024.3,3.04,2.31,2.24,2.29,2.3,2.15,-16.95,0.63
26,27,002605,姚记科技,27.89,-1.86,-0.53,82386.0,232628241.04,3.98,28.92,27.79,28.33,28.42,2.47,20.46,3.49
27,28,000607,华媒控股,4.15,-1.89,-0.08,85869.0,35882358.0,2.13,4.23,4.14,4.22,4.23,0.99,283.46,2.59
28,29,300043,星辉娱乐,4.03,-1.95,-0.08,632196.0,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
29,30,600398,海澜之家,8.06,-1.95,-0.16,339086.0,276306853.0,3.89,8.33,8.01,8.22,8.22,0.71,15.22,2.31
30,31,002919,名臣健康,17.37,-1.98,-0.35,63232.0,110840939.34,3.39,17.86,17.26,17.55,17.72,2.39,35.88,5.3
31,32,600880,博瑞传播,4.84,-2.02,-0.1,345300.0,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
32,33,002712,思美传媒,5.75,-2.04,-0.12,109848.0,63580019.89,2.39,5.87,5.73,5.86,5.87,2.03,-376.53,2.22
33,34,002174,游族网络,9.74,-2.11,-0.21,197566.0,194680683.69,3.82,10.09,9.71,10.08,9.95,2.16,1292.16,2.01
34,35,002995,天地在线,19.98,-2.11,-0.43,37602.0,75568078.25,2.01,20.35,19.94,20.35,20.41,3.34,-85.79,3.66
35,36,002291,遥望科技,6.8,-2.16,-0.15,355052.0,242690523.24,3.17,6.95,6.73,6.9,6.95,4.05,-11.61,1.55
36,37,300781,因赛集团,55.06,-2.19,-1.23,27961.0,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
37,38,300418,昆仑万维,36.34,-2.21,-0.82,228935.0,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
38,39,300612,宣亚国际,15.4,-2.22,-0.35,50171.0,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
39,40,300182,捷成股份,6.03,-2.27,-0.14,759838.0,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
40,41,002400,省广集团,8.17,-2.39,-0.2,700809.0,576800674.57,2.75,8.38,8.15,8.34,8.37,4.06,117.1,2.9
41,42,603533,掌阅科技,19.44,-2.41,-0.48,73224.0,143488412.0,2.71,19.92,19.38,19.85,19.92,1.67,-173.75,3.42
42,43,300465,高伟达,16.45,-2.43,-0.41,144075.0,239263133.0,3.74,16.98,16.35,16.73,16.86,3.25,227.72,11.05
43,44,002131,利欧股份,3.96,-2.46,-0.1,3377277.0,1341928649.84,2.71,4.05,3.94,4.04,4.06,5.77,-126.05,2.08
44,45,300364,中文在线,24.28,-2.57,-0.64,173274.0,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
45,46,300315,掌趣科技,5.62,-2.6,-0.15,985716.0,558441435.72,3.12,5.77,5.59,5.75,5.77,3.82,58.51,3.13
46,47,300063,天龙集团,9.5,-2.66,-0.26,301767.0,288874833.5,2.46,9.74,9.5,9.58,9.76,4.83,111.61,4.48
47,48,301171,易点天下,27.58,-2.72,-0.77,172855.0,479364327.0,3.28,28.28,27.35,28.1,28.35,5.6,50.06,3.7
48,49,300383,光环新网,17.77,-2.84,-0.52,737375.0,1323615008.68,3.5,18.35,17.71,18.2,18.29,4.11,66.35,2.52
49,50,300496,中科创达,61.83,-2.86,-1.82,174632.0,1097420513.95,5.0,64.98,61.8,63.01,63.65,4.76,140.37,2.96
50,51,000977,浪潮信息,56.63,-2.86,-1.67,443668.0,2536951292.44,2.88,58.18,56.5,57.88,58.3,3.02,48.31,4.43
51,52,300170,汉得信息,19.69,-2.96,-0.6,948554.0,1918418317.85,7.44,21.11,19.6,20.0,20.29,10.01,107.1,3.88
52,53,002649,博彦科技,13.88,-3.0,-0.43,186394.0,260856957.03,3.0,14.25,13.82,14.18,14.31,3.4,34.15,1.94
53,54,002453,华软科技,5.4,-3.05,-0.17,110038.0,60331575.36,4.31,5.64,5.4,5.58,5.57,1.8,-35.59,3.54
54,55,300941,创识科技,23.46,-3.06,-0.74,48435.0,115082840.38,3.02,24.15,23.42,24.11,24.2,3.99,127.31,3.81
55,56,300292,吴通控股,5.29,-3.11,-0.17,529504.0,282882636.0,3.11,5.45,5.28,5.43,5.46,4.74,66.76,5.19
56,57,301085,亚康股份,68.58,-3.22,-2.28,29785.0,206399381.25,4.19,71.23,68.26,71.23,70.86,5.06,78.16,5.37
57,58,603123,翠微股份,8.61,-3.37,-0.3,168082.0,147063200.0,3.93,8.95,8.6,8.83,8.91,2.58,-13.6,2.81
58,59,300299,富春股份,6.29,-3.38,-0.22,339709.0,215922542.61,3.38,6.48,6.26,6.47,6.51,4.93,-77.59,8.05
59,60,300232,洲明科技,7.71,-3.38,-0.27,275455.0,214800776.43,3.38,7.95,7.68,7.94,7.98,3.11,49.41,1.75
60,61,000913,钱江摩托,18.01,-3.43,-0.64,58326.0,106413318.85,3.49,18.64,17.99,18.55,18.65,1.28,15.24,2.08
61,62,000676,智度股份,8.72,-3.43,-0.31,379840.0,334064458.69,2.66,8.94,8.7,8.94,9.03,3.01,53.3,2.8
62,63,300459,汤姆猫,6.46,-3.44,-0.23,2097921.0,1375206424.21,4.48,6.73,6.43,6.66,6.69,6.39,203.97,6.82
63,64,002354,天娱数科,6.65,-3.62,-0.25,1005288.0,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
64,65,002279,久其软件,6.93,-3.75,-0.27,383041.0,269445691.52,3.89,7.2,6.92,7.19,7.2,4.85,-19.72,4.48
65,66,300925,法本信息,25.0,-3.81,-0.99,170939.0,433012227.45,3.96,26.03,25.0,25.74,25.99,5.17,73.13,5.1
66,67,300113,顺网科技,20.5,-3.85,-0.82,357720.0,739937315.1,3.8,21.23,20.42,21.03,21.32,6.82,49.98,6.57
67,68,002654,万润科技,13.23,-3.85,-0.53,409968.0,548374815.58,3.49,13.69,13.21,13.62,13.76,4.85,252.04,7.42
68,69,300419,ST浩丰,5.4,-3.91,-0.22,198354.0,108402047.0,4.27,5.61,5.37,5.59,5.62,5.39,251.94,4.35
69,70,603825,华扬联众,13.58,-3.96,-0.56,117711.0,162019698.0,3.11,14.02,13.58,13.99,14.14,4.65,-11.47,4.63
70,71,002137,实益达,8.8,-4.03,-0.37,295953.0,263027110.89,3.27,9.1,8.8,9.08,9.17,7.46,141.31,3.3
71,72,300634,彩讯股份,27.12,-4.2,-1.19,220238.0,605704612.0,3.46,27.98,27.0,27.7,28.31,5.07,47.02,4.52
72,73,300892,品渥食品,30.11,-4.75,-1.5,42036.0,130000229.0,6.49,32.05,30.0,31.81,31.61,6.51,-394.27,2.9
73,74,600070,*ST富润,0.8,-4.76,-0.04,39564.0,3165120.0,0.0,0.8,0.8,0.8,0.84,0.78,-1.95,0.81
74,75,000793,ST华闻,2.33,-4.9,-0.12,400527.0,93322791.0,0.0,2.33,2.33,2.33,2.45,2.04,-33.29,5.59
75,76,300044,赛为智能,6.94,-5.19,-0.38,685084.0,482235382.31,4.37,7.25,6.93,7.25,7.32,8.97,-226.36,8.58
76,77,838227,美登科技,59.89,-5.25,-3.32,6133.0,37510025.0,7.28,63.6,59.0,62.49,63.21,3.48,42.64,5.68
