,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301038,深水规院,22.48,5.69,1.21,192334,421755194.44,10.34,22.91,20.71,21.0,21.27,11.21,-740.22,4.61
1,2,601399,国机重装,3.07,2.33,0.07,1082690,335052606.0,5.33,3.16,3.0,3.01,3.0,1.5,40.08,1.55
2,3,300930,屹通新材,29.4,1.94,0.56,74123,221486137.5,8.22,31.01,28.64,28.82,28.84,15.73,55.21,3.38
3,4,300712,永福股份,26.37,1.93,0.5,83520,221165766.99,3.25,26.74,25.9,26.06,25.87,4.48,110.41,3.82
4,5,600528,中铁工业,8.0,1.52,0.12,270846,217484138.0,3.05,8.11,7.87,7.88,7.88,1.22,10.11,0.75
5,6,002202,金风科技,9.67,1.26,0.12,990531,961288112.37,4.4,9.89,9.47,9.52,9.55,2.95,17.1,1.11
6,7,000400,许继电气,25.13,0.96,0.24,262887,662110256.49,2.77,25.5,24.81,24.81,24.89,2.61,21.46,2.31
7,8,601016,节能风电,3.13,0.64,0.02,850023,265804255.0,1.93,3.15,3.09,3.1,3.11,1.42,12.88,1.18
8,9,002266,浙富控股,3.41,0.59,0.02,319285,108953802.82,2.06,3.45,3.38,3.38,3.39,0.65,17.21,1.59
9,10,000875,吉电股份,5.3,0.57,0.03,538354,286523863.49,2.28,5.38,5.26,5.27,5.27,1.93,10.2,1.12
10,11,002060,广东建工,3.59,0.56,0.02,226945,81750096.14,1.96,3.63,3.56,3.57,3.57,1.45,15.69,1.03
11,12,600956,新天绿能,7.45,0.4,0.03,66646,49753731.0,1.75,7.52,7.39,7.41,7.42,0.28,15.71,1.46
12,13,600032,浙江新能,7.68,0.39,0.03,95504,73532385.0,1.57,7.75,7.63,7.65,7.65,0.4,21.52,1.48
13,14,001896,豫能控股,4.19,0.24,0.01,259283,108681099.18,2.63,4.24,4.13,4.16,4.18,1.7,-53.68,2.03
14,15,688676,金盘科技,42.78,0.23,0.1,105865,449009570.0,3.02,43.09,41.8,42.4,42.68,2.31,34.02,4.4
15,16,600995,南网储能,9.77,0.1,0.01,88748,86977480.0,1.84,9.88,9.7,9.77,9.76,0.8,27.72,1.46
16,17,000883,湖北能源,4.8,0.0,0.0,261593,126079946.48,1.46,4.85,4.78,4.8,4.8,0.4,9.51,0.91
17,18,000966,长源电力,4.71,0.0,0.0,328969,156019172.41,2.34,4.8,4.69,4.69,4.71,1.2,13.54,1.19
18,19,688186,广大特材,23.7,0.0,0.0,62855,149840559.0,5.06,24.5,23.3,23.6,23.7,2.93,42.65,1.4
19,20,000543,皖能电力,7.42,-0.13,-0.01,302887,225720935.0,1.88,7.51,7.37,7.41,7.43,1.34,7.97,1.09
20,21,600875,东方电气,15.15,-0.26,-0.04,207539,317240189.0,2.76,15.52,15.1,15.15,15.19,1.03,13.5,1.23
21,22,600905,三峡能源,4.26,-0.47,-0.02,1015473,433678877.0,1.4,4.3,4.24,4.27,4.28,0.36,17.95,1.42
22,23,601669,中国电建,4.89,-0.61,-0.03,1167222,575708816.0,1.83,4.98,4.89,4.91,4.92,0.89,7.17,0.62
23,24,600310,广西能源,4.58,-0.87,-0.04,419171,194024269.0,2.6,4.68,4.56,4.6,4.62,2.86,11.2,1.98
24,25,600642,申能股份,8.71,-1.25,-0.11,292019,255373142.0,2.27,8.86,8.66,8.8,8.82,0.6,9.75,1.22
25,26,600268,国电南自,7.69,-1.28,-0.1,226076,176717307.0,4.24,8.0,7.67,7.78,7.79,2.25,55.89,2.52
26,27,600406,国电南瑞,22.15,-1.51,-0.34,370082,826761565.0,2.31,22.67,22.15,22.44,22.49,0.46,29.83,3.86
27,28,600982,宁波能源,4.81,-1.64,-0.08,737830,364009957.0,6.75,5.14,4.81,4.87,4.89,6.6,20.44,1.27
28,29,300992,泰福泵业,23.56,-2.44,-0.59,18082,42539825.8,3.73,24.1,23.2,24.1,24.15,2.33,86.55,2.7
29,30,301018,申菱环境,43.23,-2.7,-1.2,73989,320921074.0,3.87,44.43,42.71,43.87,44.43,3.72,60.38,4.48
30,31,830879,基康仪器,15.82,-4.12,-0.68,22749,36788053.48,5.7,16.64,15.7,16.32,16.5,2.02,21.48,3.71
31,32,603618,杭电股份,7.55,-4.31,-0.34,531746,405873691.0,5.96,7.96,7.49,7.8,7.89,7.69,32.34,1.74
