,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002695,煌上煌,10.93,4.19,0.44,208789,225582196.8,7.53,11.15,10.36,10.48,10.49,4.5,58.11,2.2
1,2,301231,荣信文化,24.35,3.62,0.85,58258,139358431.78,5.19,24.62,23.4,23.62,23.5,10.81,-61.7,2.33
2,3,002591,恒大高新,5.71,2.88,0.16,378126,214360395.0,10.99,6.0,5.39,5.51,5.55,16.92,90.45,2.5
3,4,002571,德力股份,6.48,-0.31,-0.02,208590,133773584.0,7.54,6.73,6.24,6.49,6.5,6.99,-58.15,2.12
4,5,300792,壹网壹创,26.06,-0.84,-0.22,57817,150446591.95,2.25,26.33,25.74,26.21,26.28,2.72,48.89,2.15
5,6,603836,海程邦达,12.73,-0.86,-0.11,16348,20892593.0,1.71,12.9,12.68,12.89,12.84,0.8,23.88,1.45
6,7,003010,若羽臣,38.99,-1.17,-0.46,37045,144917989.04,2.99,39.68,38.5,39.3,39.45,3.06,83.12,6.1
7,8,603598,引力传媒,17.88,-1.54,-0.28,79755,143595926.0,2.42,18.25,17.81,18.04,18.16,2.98,184.56,22.02
8,9,603221,爱丽家居,9.84,-1.6,-0.16,30332,29995154.0,1.7,9.99,9.82,9.96,10.0,1.26,19.29,1.56
9,10,002264,新 华 都,6.12,-1.61,-0.1,93416,57265714.0,2.09,6.21,6.08,6.19,6.22,1.43,17.36,2.47
10,11,002429,兆驰股份,5.44,-1.63,-0.09,627378,344447804.0,2.71,5.57,5.42,5.54,5.53,1.39,13.46,1.57
11,12,300710,万隆光电,18.72,-1.63,-0.31,30411,56975385.8,3.15,19.1,18.5,19.07,19.03,3.41,105.26,2.77
12,13,605136,丽人丽妆,7.59,-1.68,-0.13,69710,53234404.0,2.33,7.74,7.56,7.72,7.72,1.74,-82.01,1.23
13,14,002718,友邦吊顶,13.81,-1.99,-0.28,16014,22162098.0,3.34,14.15,13.68,14.15,14.09,2.46,-38.1,1.84
14,15,002995,天地在线,19.98,-2.11,-0.43,37602,75568078.25,2.01,20.35,19.94,20.35,20.41,3.34,-85.79,3.66
15,16,002878,元隆雅图,15.74,-2.18,-0.35,71796,113744517.56,2.42,16.09,15.7,15.92,16.09,3.07,138.99,2.67
16,17,300612,宣亚国际,15.4,-2.22,-0.35,50171,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
17,18,002117,东港股份,13.75,-2.41,-0.34,338778,464139800.75,4.19,14.0,13.41,13.95,14.09,6.47,67.32,5.35
18,19,002640,跨境通,4.01,-3.14,-0.13,811482,328391946.0,3.38,4.14,4.0,4.14,4.14,5.69,-263.78,4.69
19,20,300785,值得买,33.86,-3.53,-1.24,49987,171716209.65,4.73,35.36,33.7,35.1,35.1,4.09,1327.33,3.68
20,21,688360,德马科技,23.04,-3.72,-0.89,58115,133851256.0,5.85,23.9,22.5,23.87,23.93,3.34,34.4,3.05
21,22,603214,爱婴室,20.88,-4.13,-0.9,91013,193192991.0,3.72,21.69,20.88,21.65,21.78,6.57,45.3,2.64
22,23,688365,光云科技,14.44,-4.87,-0.74,98755,144863382.0,4.94,15.15,14.4,15.0,15.18,2.32,-74.17,6.43
23,24,838227,美登科技,59.89,-5.25,-3.32,6133,37510025.0,7.28,63.6,59.0,62.49,63.21,3.48,42.64,5.68
24,25,000829,天音控股,11.25,-5.62,-0.67,445142,509119273.57,4.61,11.8,11.25,11.77,11.92,4.35,417.56,3.87
25,26,300766,每日互动,49.01,-6.02,-3.14,1151777,5754811031.3,8.63,52.5,48.0,49.39,52.15,32.38,2271.59,11.9
