,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300778,新城市,11.7,4.09,0.46,136353,157900689.79,5.69,11.75,11.11,11.21,11.24,6.7,-13.57,1.81
1,2,600733,北汽蓝谷,8.54,1.3,0.11,2376444,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
2,3,301005,超捷股份,36.71,1.1,0.4,114558,418248760.26,5.7,37.37,35.3,36.17,36.31,8.65,145.66,6.46
3,4,000400,许继电气,25.13,0.96,0.24,262887,662110256.49,2.77,25.5,24.81,24.81,24.89,2.61,21.46,2.31
4,5,002792,通宇通讯,15.74,0.58,0.09,333336,527084072.96,6.45,16.24,15.23,15.42,15.65,10.62,119.77,2.96
5,6,300990,同飞股份,47.54,0.34,0.16,26006,120864097.15,6.25,48.29,45.33,47.35,47.38,3.36,86.39,4.56
6,7,603069,海汽集团,19.4,0.15,0.03,91933,178880201.0,4.28,19.83,19.0,19.26,19.37,2.91,-767.99,6.8
7,8,603529,爱玛科技,45.99,-0.33,-0.15,80843,362463004.0,5.07,45.99,43.65,45.72,46.14,0.96,19.13,4.78
8,9,002111,威海广泰,11.6,-0.43,-0.05,123737,143117749.67,2.92,11.74,11.4,11.62,11.65,2.59,35.91,2.01
9,10,603071,物产环能,12.86,-0.54,-0.07,26051,33643312.0,2.09,13.05,12.78,12.93,12.93,0.47,10.1,1.35
10,11,301167,建研设计,13.82,-0.58,-0.08,23306,32198586.32,2.73,14.04,13.66,13.87,13.9,3.28,149.33,1.67
11,12,000421,南京公用,6.19,-0.64,-0.04,122425,76086469.5,1.61,6.27,6.17,6.21,6.23,2.13,-185.52,1.34
12,13,603458,勘设股份,6.84,-0.73,-0.05,146142,100306966.0,2.61,6.97,6.79,6.92,6.89,4.77,-16.77,0.65
13,14,002963,豪尔赛,11.95,-0.75,-0.09,27801,33223047.0,1.91,12.09,11.86,12.02,12.04,2.26,217.12,1.17
14,15,002179,中航光电,42.0,-0.78,-0.33,156774,659755611.44,3.43,42.95,41.5,42.08,42.33,0.75,26.47,3.76
15,16,002015,协鑫能科,7.92,-1.0,-0.08,336564,270371962.43,3.75,8.2,7.9,8.0,8.0,2.07,15.91,1.1
16,17,002026,山东威达,12.8,-1.01,-0.13,559528,717660342.4,5.49,13.17,12.46,12.75,12.93,13.07,21.45,1.61
17,18,002376,新北洋,7.26,-1.22,-0.09,377824,274166168.7,3.4,7.42,7.17,7.36,7.35,4.8,113.04,1.58
18,19,603966,法兰泰克,9.31,-1.27,-0.12,200499,186827746.0,3.18,9.5,9.2,9.4,9.43,5.59,20.43,2.18
19,20,600753,庚星股份,5.66,-1.39,-0.08,56151,31645453.0,4.53,5.77,5.51,5.67,5.74,2.44,-13.57,8.19
20,21,300582,英飞特,13.73,-1.44,-0.2,76110,104360667.81,2.3,13.9,13.58,13.75,13.93,3.43,66.02,2.7
21,22,600406,国电南瑞,22.15,-1.51,-0.34,370082,826761565.0,2.31,22.67,22.15,22.44,22.49,0.46,29.83,3.86
22,23,600104,上汽集团,15.32,-1.73,-0.27,376165,580088801.0,1.92,15.61,15.31,15.55,15.59,0.32,19.25,0.61
23,24,002514,宝馨科技,7.36,-1.74,-0.13,196188,145019247.69,2.0,7.5,7.35,7.5,7.49,3.54,-24.05,6.73
24,25,300491,通合科技,20.37,-1.83,-0.38,88249,182095662.37,3.57,21.05,20.31,20.62,20.75,5.69,127.74,3.15
25,26,688022,瀚川智能,17.05,-2.18,-0.38,119983,207551964.0,6.83,17.99,16.8,17.5,17.43,6.82,-2.69,4.67
26,27,300825,阿尔特,12.93,-2.49,-0.33,275986,364756548.38,4.98,13.56,12.9,13.38,13.26,5.7,3889.36,2.65
27,28,000030,富奥股份,6.06,-2.57,-0.16,240480,146862450.8,4.02,6.27,6.02,6.23,6.22,1.42,17.83,1.37
28,29,301186,超达装备,41.78,-2.95,-1.27,15815,66602315.11,4.16,43.38,41.59,43.06,43.05,2.13,32.63,2.31
29,30,688345,博力威,19.82,-2.99,-0.61,10072,20123778.0,3.48,20.46,19.75,20.46,20.43,1.01,-21.44,1.88
30,31,000909,ST数源,5.93,-3.1,-0.19,84998,50876050.0,3.92,6.13,5.89,6.09,6.12,1.94,40.39,2.18
31,32,300572,安车检测,18.01,-3.17,-0.59,38538,70353178.0,3.49,18.58,17.93,18.5,18.6,2.1,-117.47,2.09
32,33,600405,动力源,5.52,-3.5,-0.2,316214,176127583.0,3.5,5.7,5.5,5.66,5.72,5.72,-16.17,5.45
33,34,601777,千里科技,8.47,-3.53,-0.31,663608,558756075.0,6.38,8.81,8.25,8.7,8.78,1.47,718.95,3.66
34,35,688800,瑞可达,51.66,-3.8,-2.04,57928,302424651.0,3.84,53.39,51.33,53.0,53.7,3.66,47.32,3.91
35,36,002364,中恒电气,15.6,-4.18,-0.68,410312,649037289.49,4.3,16.24,15.54,16.01,16.28,7.35,76.69,3.72
36,37,300444,双杰电气,8.51,-4.38,-0.39,1073572,937102125.49,7.3,9.12,8.47,8.71,8.9,18.13,43.85,4.06
37,38,300222,科大智能,11.32,-4.47,-0.53,332528,381244202.6,4.22,11.8,11.3,11.8,11.85,5.25,218.39,5.27
38,39,831832,科达自控,29.76,-4.77,-1.49,28895,87477808.33,8.48,31.69,29.04,31.69,31.25,4.65,47.81,3.22
39,40,835985,海泰新能,12.03,-4.98,-0.63,103363,126350301.49,6.0,12.66,11.9,12.53,12.66,4.91,15.42,2.61
40,41,002403,爱仕达,16.27,-5.41,-0.93,157873,259684094.63,3.55,16.86,16.25,16.71,17.2,5.31,2503.15,3.31
41,42,301202,朗威股份,46.9,-5.44,-2.7,40073,191479161.0,4.86,49.31,46.9,49.0,49.6,10.78,86.31,5.4
42,43,002139,拓邦股份,15.7,-5.88,-0.98,740920,1181653755.1,5.1,16.51,15.66,16.5,16.68,6.92,29.21,2.93
43,44,300510,金冠股份,4.59,-5.94,-0.29,813814,378173197.89,5.12,4.8,4.55,4.75,4.88,9.87,-170.52,1.44
44,45,002334,英威腾,9.33,-6.7,-0.67,710208,677005658.37,5.3,9.85,9.32,9.85,10.0,9.86,26.75,2.6
45,46,688097,博众精工,30.83,-7.53,-2.51,148136,466596683.0,7.5,33.18,30.68,33.18,33.34,3.34,34.55,3.07
46,47,300713,英可瑞,18.4,-10.68,-2.2,197309,373675033.78,7.14,19.78,18.31,19.66,20.6,22.52,-43.97,4.88
