,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002609,捷顺科技,9.7,3.19,0.3,281162,270058197.56,5.11,9.72,9.24,9.35,9.4,6.12,109.16,2.62
1,2,002528,ST英飞拓,2.63,1.15,0.03,276229,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
2,3,300513,恒实科技,9.04,-0.22,-0.02,164983,150195645.52,4.86,9.33,8.89,9.05,9.06,5.86,-42.52,1.21
3,4,300609,汇纳科技,27.69,-0.97,-0.27,44267,123846000.0,3.22,28.43,27.53,28.0,27.96,3.69,-64.33,3.19
4,5,300168,万达信息,8.46,-2.31,-0.2,253676,215725868.16,2.77,8.65,8.41,8.61,8.66,1.76,-16.37,6.89
5,6,300188,国投智能,14.81,-2.44,-0.37,178380,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
6,7,300531,优博讯,14.52,-2.55,-0.38,64052,93456189.0,2.82,14.87,14.45,14.85,14.9,2.03,204.5,3.17
7,8,300546,雄帝科技,19.12,-2.6,-0.51,62422,120449530.8,3.16,19.63,19.01,19.45,19.63,4.69,247.68,3.3
8,9,002908,德生科技,9.55,-3.24,-0.32,112906,109040362.08,3.34,9.86,9.53,9.8,9.87,3.66,345.22,3.63
9,10,002990,盛视科技,29.27,-4.63,-1.42,63312,188431319.72,3.78,30.39,29.23,30.35,30.69,4.72,52.13,3.19
10,11,300161,华中数控,31.45,-5.95,-1.99,90784,290786149.72,4.69,33.0,31.43,32.99,33.44,4.66,-69.89,3.94
11,12,600602,云赛智联,24.27,-7.08,-1.85,1086032,2731601648.0,8.69,26.35,24.08,25.83,26.12,10.11,157.63,7.05
