,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301136,招标股份,13.95,10.1,1.28,319982.0,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
1,2,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
2,3,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
3,4,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
4,5,002178,延华智能,7.38,5.13,0.36,732688.0,534721402.57,4.7,7.4,7.07,7.1,7.02,10.29,-449.82,11.91
5,6,300826,测绘股份,16.98,3.85,0.63,97271.0,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
6,7,300177,中海达,12.8,3.23,0.4,1456461.0,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
7,8,301390,经纬股份,37.05,1.81,0.66,39969.0,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
8,9,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
9,10,835579,机科股份,33.06,1.47,0.48,80738.0,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
10,11,688191,智洋创新,25.74,1.18,0.3,61728.0,154631782.0,8.61,26.2,24.01,25.66,25.44,4.0,79.07,4.47
11,12,301213,观想科技,50.18,0.16,0.08,13264.0,66097024.28,2.22,50.37,49.26,50.1,50.1,2.56,546.7,5.03
12,13,601668,中国建筑,5.45,0.0,0.0,2061461.0,1126388442.0,1.47,5.51,5.43,5.45,5.45,0.5,4.25,0.5
13,14,300166,东方国信,12.79,0.0,0.0,1466842.0,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
14,15,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
15,16,002573,清新环境,3.96,0.0,0.0,116141.0,46144944.0,2.02,4.01,3.93,3.95,3.96,0.82,71.17,0.89
16,17,300513,恒实科技,9.04,-0.22,-0.02,164983.0,150195645.52,4.86,9.33,8.89,9.05,9.06,5.86,-42.52,1.21
17,18,300008,天海防务,6.95,-0.29,-0.02,5770603.0,4167178281.92,11.91,7.65,6.82,6.95,6.97,35.03,117.51,5.93
18,19,300052,ST中青宝,11.61,-0.34,-0.04,333228.0,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
19,20,603466,风语筑,10.9,-0.37,-0.04,564423.0,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
20,21,603017,中衡设计,8.84,-0.45,-0.04,29614.0,26099921.0,1.69,8.9,8.75,8.83,8.88,1.07,27.36,1.65
21,22,300259,新天科技,3.72,-0.53,-0.02,134597.0,50144205.6,2.14,3.77,3.69,3.73,3.74,1.15,28.25,1.53
22,23,603189,网达软件,19.12,-0.62,-0.12,311815.0,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
23,24,301302,华如科技,24.93,-0.95,-0.24,40443.0,101244549.5,2.98,25.44,24.69,25.0,25.17,4.8,-10.89,2.12
24,25,600131,国网信通,19.47,-1.12,-0.22,118399.0,230230995.0,2.39,19.7,19.23,19.62,19.69,0.99,58.88,3.67
25,26,300021,大禹节水,4.56,-1.3,-0.06,148849.0,68070051.59,1.95,4.63,4.54,4.59,4.62,2.12,97.75,2.09
26,27,300635,中达安,10.62,-1.48,-0.16,37961.0,40453789.0,2.97,10.84,10.52,10.68,10.78,3.17,497.66,3.24
27,28,688768,容知日新,51.45,-1.51,-0.79,10753.0,55464134.0,3.81,52.5,50.51,51.99,52.24,1.32,41.85,4.29
28,29,300845,捷安高科,14.08,-1.54,-0.22,68368.0,97752965.82,4.41,14.66,14.03,14.27,14.3,6.68,173.3,2.61
29,30,600640,国脉文化,12.58,-2.1,-0.27,68256.0,86553088.0,2.41,12.85,12.54,12.81,12.85,0.86,565.4,2.52
30,31,002230,科大讯飞,48.54,-2.1,-1.04,352148.0,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
31,32,000925,众合科技,8.91,-2.2,-0.2,459177.0,410755545.0,3.95,9.16,8.8,9.02,9.11,6.8,-51.97,1.83
32,33,002410,广联达,14.34,-2.25,-0.33,240613.0,345764339.16,2.79,14.62,14.21,14.55,14.67,1.51,83.31,3.94
33,34,300935,盈建科,22.31,-2.32,-0.53,12327.0,27779515.2,2.71,22.9,22.28,22.82,22.84,2.05,-35.28,2.08
34,35,300025,华星创业,8.17,-2.51,-0.21,144047.0,118127265.05,3.34,8.39,8.11,8.39,8.38,3.34,-77.04,6.52
35,36,300002,神州泰岳,13.72,-2.56,-0.36,637755.0,882881690.04,3.27,14.12,13.66,14.01,14.08,3.5,18.69,3.83
36,37,300546,雄帝科技,19.12,-2.6,-0.51,62422.0,120449530.8,3.16,19.63,19.01,19.45,19.63,4.69,247.68,3.3
37,38,603018,华设集团,8.49,-2.64,-0.23,130625.0,111501994.0,3.1,8.71,8.44,8.71,8.72,1.91,18.76,1.18
38,39,301339,通行宝,22.23,-2.71,-0.62,49099.0,110068780.16,2.89,22.84,22.18,22.8,22.85,4.09,43.76,3.39
39,40,688557,兰剑智能,25.0,-2.76,-0.71,19041.0,48089950.0,2.88,25.69,24.95,25.64,25.71,1.86,22.23,2.18
40,41,002322,理工能科,14.34,-2.78,-0.41,70607.0,102798771.0,4.14,14.92,14.31,14.75,14.75,1.93,21.86,1.87
41,42,300645,正元智慧,15.79,-3.07,-0.5,41834.0,66715734.0,3.01,16.24,15.75,16.24,16.29,2.94,167.63,2.19
42,43,300075,数字政通,18.68,-3.16,-0.61,222565.0,420604230.08,3.58,19.29,18.6,19.08,19.29,4.33,424.4,2.93
43,44,300556,丝路视觉,19.83,-3.17,-0.65,53163.0,106394151.0,3.42,20.4,19.7,20.4,20.48,5.17,-8.36,3.39
44,45,002421,达实智能,3.93,-3.2,-0.13,891165.0,353671878.4,4.43,4.05,3.87,4.03,4.06,4.45,130.25,2.44
45,46,301091,深城交,46.02,-3.22,-1.53,57012.0,265674233.2,3.93,47.83,45.96,47.83,47.55,2.01,236.5,8.16
46,47,002869,金溢科技,27.2,-3.24,-0.91,45752.0,125764968.23,4.06,28.15,27.01,27.96,28.11,2.87,117.82,2.27
47,48,688004,博汇科技,16.89,-3.26,-0.57,15299.0,26001471.0,3.44,17.38,16.78,17.38,17.46,1.91,-35.05,2.2
48,49,300366,创意信息,10.08,-3.26,-0.34,161594.0,165043579.8,3.45,10.44,10.08,10.32,10.42,3.05,-23.72,3.53
49,50,300212,易华录,25.45,-3.38,-0.89,172658.0,445232351.16,3.49,26.32,25.4,26.23,26.34,2.47,-22.42,6.14
50,51,002925,盈趣科技,15.98,-3.44,-0.57,100230.0,162292213.66,3.93,16.6,15.95,16.4,16.55,1.36,54.17,2.63
51,52,603918,金桥信息,16.44,-3.46,-0.59,188496.0,313073199.0,3.11,16.96,16.43,16.88,17.03,5.15,-62.62,5.83
52,53,688215,瑞晟智能,26.23,-3.53,-0.96,6582.0,17420321.0,4.6,27.26,26.01,27.1,27.19,1.26,82.92,2.94
53,54,603895,天永智能,26.29,-3.59,-0.98,15267.0,40481028.0,4.33,27.3,26.12,27.01,27.27,1.41,-119.11,8.23
54,55,002232,启明信息,19.99,-3.62,-0.75,159398.0,324387067.5,5.74,21.1,19.91,20.77,20.74,3.9,-182.87,6.06
55,56,002355,兴民智通,7.31,-3.69,-0.28,409670.0,302748200.47,3.56,7.57,7.3,7.52,7.59,6.63,25.2,3.78
56,57,688499,利元亨,27.14,-3.69,-1.04,55087.0,151952787.0,4.22,28.33,27.14,28.03,28.18,3.26,-4.55,1.98
57,58,002642,荣联科技,9.34,-3.71,-0.36,1487184.0,1418264380.59,5.67,9.86,9.31,9.83,9.7,22.51,442.34,5.37
58,59,688360,德马科技,23.04,-3.72,-0.89,58115.0,133851256.0,5.85,23.9,22.5,23.87,23.93,3.34,34.4,3.05
59,60,300045,华力创通,20.69,-3.72,-0.8,211708.0,445167040.12,4.14,21.58,20.69,21.4,21.49,4.36,-357.12,8.02
60,61,600728,佳都科技,5.41,-3.74,-0.21,803487.0,439873331.0,3.38,5.59,5.4,5.59,5.62,3.75,-45.04,1.55
61,62,300440,运达科技,8.87,-3.8,-0.35,178332.0,160440440.0,3.9,9.21,8.85,9.15,9.22,4.03,74.69,2.46
62,63,300608,思特奇,12.88,-3.81,-0.51,136264.0,177820201.7,4.11,13.38,12.83,13.31,13.39,4.95,-20.67,3.06
63,64,603859,能科科技,33.58,-4.06,-1.42,123344.0,418034135.0,4.46,34.8,33.24,34.7,35.0,5.04,52.39,2.92
64,65,603019,中科曙光,67.2,-4.08,-2.86,435434.0,2965430328.0,3.8,69.8,67.14,69.76,70.06,2.99,51.45,4.82
65,66,300486,东杰智能,7.21,-4.5,-0.34,170901.0,124491364.75,4.5,7.51,7.17,7.48,7.55,4.31,-28.63,2.36
66,67,000032,深桑达Ａ,23.65,-4.6,-1.14,419792.0,1009010567.08,4.48,24.7,23.59,24.4,24.79,6.51,-159.42,4.44
67,68,300532,今天国际,13.19,-4.63,-0.64,210135.0,282840163.9,4.92,13.83,13.15,13.73,13.83,4.88,16.53,3.55
68,69,002527,新时达,14.33,-4.91,-0.74,451478.0,654014281.97,5.04,15.0,14.24,15.0,15.07,8.53,-168.22,6.36
69,70,300324,旋极信息,4.69,-5.25,-0.26,1275093.0,605906779.68,4.24,4.87,4.66,4.87,4.95,7.46,-42.23,2.7
70,71,300520,科大国创,26.75,-5.54,-1.57,269772.0,736539842.98,5.9,28.36,26.69,28.17,28.32,9.73,-123.01,4.24
71,72,300466,赛摩智能,8.94,-5.6,-0.53,248972.0,225894296.0,4.65,9.37,8.93,9.37,9.47,5.93,-183.31,6.0
72,73,300161,华中数控,31.45,-5.95,-1.99,90784.0,290786149.72,4.69,33.0,31.43,32.99,33.44,4.66,-69.89,3.94
73,74,688322,奥比中光-UW,58.3,-5.97,-3.7,140867.0,832039176.0,4.82,60.99,58.0,60.7,62.0,5.48,-388.75,8.13
74,75,603082,北自科技,42.66,-6.12,-2.78,50729.0,221299576.0,6.82,45.66,42.56,44.86,45.44,12.51,42.62,4.56
75,76,430564,天润科技,22.3,-6.18,-1.47,27893.0,64106893.68,7.24,23.96,22.24,23.5,23.77,8.26,206.93,5.15
76,77,300344,立方数科,12.15,-6.39,-0.83,771258.0,971427959.72,8.86,13.27,12.12,12.6,12.98,12.07,-113.36,23.54
77,78,300007,汉威科技,43.05,-7.32,-3.4,416065.0,1815630669.44,8.31,46.52,42.66,45.65,46.45,14.7,132.5,4.93
78,79,603496,恒为科技,30.1,-9.45,-3.14,475599.0,1463614982.0,6.02,32.0,30.0,32.0,33.24,14.85,92.35,6.84
