,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300081,恒信东方,8.84,6.38,0.53,1292921.0,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
1,2,300166,东方国信,12.79,0.0,0.0,1466842.0,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
2,3,002229,鸿博股份,13.05,-1.06,-0.14,216661.0,281149768.12,2.65,13.19,12.84,13.01,13.19,4.39,-78.3,4.36
3,4,002228,合兴包装,3.1,-1.27,-0.04,117314.0,36606849.0,2.87,3.17,3.08,3.14,3.14,0.96,19.69,1.19
4,5,603687,大胜达,7.24,-2.03,-0.15,116567.0,85010601.0,2.44,7.39,7.21,7.36,7.39,2.12,36.11,1.23
5,6,300220,金运激光,16.46,-2.14,-0.36,46063.0,76426738.0,2.2,16.83,16.46,16.7,16.82,3.05,1825.14,40.87
6,7,000925,众合科技,8.91,-2.2,-0.2,459177.0,410755545.0,3.95,9.16,8.8,9.02,9.11,6.8,-51.97,1.83
7,8,300079,数码视讯,5.67,-2.41,-0.14,285945.0,163726862.67,2.58,5.82,5.67,5.77,5.81,2.23,272.05,1.92
8,9,300352,北信源,5.58,-2.62,-0.15,350601.0,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
9,10,003029,吉大正元,23.51,-2.81,-0.68,56606.0,134138476.0,3.22,24.12,23.34,24.06,24.19,3.31,-47.89,3.73
10,11,301270,汉仪股份,37.38,-3.66,-1.42,33817.0,127752329.46,4.15,38.9,37.29,38.9,38.8,4.57,553.34,3.73
11,12,000681,视觉中国,22.1,-4.25,-0.98,367805.0,823781295.0,3.9,22.97,22.07,22.88,23.08,5.44,142.14,4.42
12,13,300571,平治信息,33.84,-4.41,-1.56,91872.0,313478100.0,4.44,35.27,33.7,34.88,35.4,7.95,594.24,2.98
13,14,300663,科蓝软件,17.08,-4.58,-0.82,234006.0,405883055.16,4.41,17.86,17.07,17.8,17.9,5.46,-900.28,6.4
14,15,002197,ST证通,5.67,-5.03,-0.3,319286.0,183704006.46,4.69,5.95,5.67,5.92,5.97,5.98,-45.98,1.44
15,16,688225,亚信安全,25.93,-6.42,-1.78,104569.0,272079044.0,6.68,27.3,25.45,27.3,27.71,5.0,1102.73,4.81
16,17,300449,汉邦高科,,,,,,,,,,12.27,0.0,-139.6,11.98
