,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000753,漳州发展,5.04,10.04,0.46,1730304.0,848309603.92,11.14,5.04,4.53,4.56,4.58,17.45,76.06,1.84
1,2,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
2,3,000555,神州信息,15.96,9.99,1.45,1360664.0,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
3,4,300081,恒信东方,8.84,6.38,0.53,1292921.0,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
4,5,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
5,6,600289,*ST信通,9.18,5.03,0.44,116981.0,106749978.0,2.63,9.18,8.95,9.13,8.74,2.07,151.09,8.02
6,7,002401,中远海科,20.79,4.79,0.95,714820.0,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
7,8,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
8,9,600804,*ST鹏博,1.77,2.91,0.05,863849.0,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
9,10,300096,ST易联众,3.91,2.36,0.09,119347.0,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
10,11,301316,慧博云通,29.33,2.2,0.63,316593.0,933062097.28,6.72,30.19,28.26,28.66,28.7,13.04,232.77,10.9
11,12,301390,经纬股份,37.05,1.81,0.66,39969.0,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
12,13,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
13,14,002512,达华智能,5.71,1.42,0.08,1408026.0,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
14,15,301315,威士顿,58.5,1.25,0.72,34489.0,199914172.96,4.05,59.2,56.86,57.78,57.78,9.32,128.84,5.1
15,16,600720,中交设计,8.77,0.92,0.08,95372.0,83700609.0,2.19,8.85,8.66,8.7,8.69,1.23,15.39,1.41
16,17,601866,中远海发,2.42,0.83,0.02,1208997.0,294307683.0,2.92,2.46,2.39,2.4,2.4,1.22,17.84,1.09
17,18,600706,曲江文旅,10.92,0.83,0.09,97846.0,105751597.0,2.68,10.98,10.69,10.75,10.83,3.85,-11.55,4.75
18,19,002150,通润装备,13.81,0.51,0.07,120032.0,166686099.07,3.49,14.16,13.68,13.71,13.74,3.35,35.02,2.83
19,20,300370,安控科技,3.39,0.3,0.01,659962.0,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
20,21,300166,东方国信,12.79,0.0,0.0,1466842.0,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
21,22,600704,物产中大,5.1,0.0,0.0,636614.0,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
22,23,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
23,24,300052,ST中青宝,11.61,-0.34,-0.04,333228.0,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
24,25,603466,风语筑,10.9,-0.37,-0.04,564423.0,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
25,26,003013,地铁设计,15.28,-0.52,-0.08,25928.0,39698383.0,1.69,15.45,15.19,15.27,15.36,0.65,15.78,2.45
26,27,000863,三湘印象,3.74,-0.53,-0.02,210584.0,79025649.06,2.66,3.81,3.71,3.74,3.76,1.81,50.74,0.97
27,28,600658,电子城,4.35,-0.91,-0.04,171793.0,74438984.0,2.51,4.4,4.29,4.35,4.39,1.54,-7.44,0.71
28,29,300609,汇纳科技,27.69,-0.97,-0.27,44267.0,123846000.0,3.22,28.43,27.53,28.0,27.96,3.69,-64.33,3.19
29,30,300300,ST峡创,3.07,-0.97,-0.03,134430.0,41145219.4,2.58,3.11,3.03,3.06,3.1,2.02,-29.51,14.96
30,31,601858,中国科传,20.19,-1.03,-0.21,34866.0,70750036.0,2.16,20.55,20.11,20.4,20.4,0.44,54.93,3.09
31,32,002229,鸿博股份,13.05,-1.06,-0.14,216661.0,281149768.12,2.65,13.19,12.84,13.01,13.19,4.39,-78.3,4.36
32,33,605168,三人行,30.38,-1.24,-0.38,24656.0,75171325.0,2.24,30.84,30.15,30.76,30.76,1.17,26.44,2.3
33,34,603869,ST智知,6.1,-1.29,-0.08,23130.0,14155414.0,3.72,6.23,6.0,6.18,6.18,0.46,117.09,0.82
34,35,603729,龙韵股份,16.3,-1.33,-0.22,36565.0,59817816.0,2.91,16.63,16.15,16.52,16.52,3.92,433.21,4.16
35,36,002148,北纬科技,7.38,-1.34,-0.1,225638.0,169140501.4,3.61,7.65,7.38,7.48,7.48,5.02,158.11,3.37
36,37,002394,联发股份,7.82,-1.39,-0.11,50614.0,39795293.0,1.77,7.94,7.8,7.93,7.93,1.57,14.54,0.63
37,38,002717,岭南股份,3.42,-1.44,-0.05,1090461.0,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
38,39,002803,吉宏股份,12.88,-1.45,-0.19,50384.0,65205162.1,1.99,13.12,12.86,13.08,13.07,1.75,27.6,2.29
39,40,300205,ST天喻,4.6,-1.5,-0.07,60414.0,27839216.0,2.78,4.68,4.55,4.63,4.67,1.42,-13.13,1.46
40,41,000411,英特集团,10.75,-1.56,-0.17,40602.0,43898246.14,2.75,10.97,10.67,10.93,10.92,1.26,11.85,1.28
41,42,000156,华数传媒,8.76,-1.57,-0.14,413443.0,366612668.0,3.03,9.01,8.74,8.84,8.9,2.43,30.4,1.09
42,43,002161,远 望 谷,6.16,-1.6,-0.1,242114.0,150529812.03,4.15,6.38,6.12,6.2,6.26,3.39,53.97,2.92
43,44,003016,欣贺股份,7.33,-1.61,-0.12,38450.0,28339684.0,2.01,7.47,7.32,7.47,7.45,0.9,-80.53,1.17
44,45,600271,航天信息,9.24,-1.7,-0.16,126345.0,117690124.0,2.13,9.43,9.23,9.4,9.4,0.68,-681.26,1.23
45,46,688369,致远互联,34.58,-1.71,-0.6,27047.0,93678146.0,4.78,35.76,34.08,34.33,35.18,2.35,-23.76,3.57
46,47,603613,国联股份,28.15,-1.75,-0.5,131120.0,371124118.0,3.35,28.84,27.88,28.51,28.65,1.82,13.58,2.71
47,48,002615,哈尔斯,8.09,-1.82,-0.15,77792.0,63331066.0,2.31,8.24,8.05,8.2,8.24,2.54,12.58,2.33
48,49,002268,电科网安,17.06,-1.84,-0.32,95738.0,164676479.0,2.53,17.45,17.01,17.38,17.38,1.13,-50.75,2.74
49,50,300469,信息发展,36.05,-1.98,-0.73,124051.0,442499280.08,4.05,36.7,35.21,36.28,36.78,5.0,-103.07,17.47
50,51,002243,力合科创,8.85,-1.99,-0.18,155025.0,137849635.0,2.21,9.0,8.8,8.9,9.03,1.29,59.32,1.49
51,52,600880,博瑞传播,4.84,-2.02,-0.1,345300.0,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
52,53,000997,新 大 陆,26.99,-2.03,-0.56,333194.0,902182424.43,3.88,27.72,26.65,27.2,27.55,3.25,25.52,3.98
53,54,001209,洪兴股份,17.7,-2.05,-0.37,40845.0,72790551.0,1.94,18.03,17.68,18.02,18.07,4.25,24.28,1.81
54,55,301262,海看股份,24.88,-2.12,-0.54,20679.0,51973665.0,2.95,25.54,24.79,25.38,25.42,1.69,23.64,2.97
55,56,300061,旗天科技,12.66,-2.16,-0.28,196152.0,249669836.16,2.63,12.91,12.57,12.9,12.94,3.16,-312.37,11.16
56,57,300612,宣亚国际,15.4,-2.22,-0.35,50171.0,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
57,58,600155,华创云信,7.45,-2.23,-0.17,373145.0,279413195.0,2.76,7.6,7.39,7.58,7.62,1.68,115.22,0.84
58,59,301102,兆讯传媒,10.9,-2.24,-0.25,41616.0,45790850.21,3.05,11.21,10.87,11.12,11.15,4.1,49.38,1.46
59,60,300579,数字认证,29.33,-2.3,-0.69,41087.0,121612943.1,3.26,30.2,29.22,29.88,30.02,1.57,-218.86,8.83
60,61,301313,凡拓数创,23.64,-2.31,-0.56,28555.0,67957318.0,2.52,24.15,23.54,24.12,24.2,4.28,-14.6,2.81
61,62,300168,万达信息,8.46,-2.31,-0.2,253676.0,215725868.16,2.77,8.65,8.41,8.61,8.66,1.76,-16.37,6.89
62,63,002235,安妮股份,5.48,-2.32,-0.13,237563.0,131298060.0,2.67,5.62,5.47,5.61,5.61,4.29,96.49,4.25
63,64,002396,星网锐捷,20.74,-2.35,-0.5,119862.0,251806424.45,2.87,21.33,20.72,21.15,21.24,2.05,34.84,1.86
64,65,300036,超图软件,16.92,-2.37,-0.41,91153.0,155863895.55,2.77,17.36,16.88,17.24,17.33,2.08,237.7,2.92
65,66,300188,国投智能,14.81,-2.44,-0.37,178380.0,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
66,67,300479,神思电子,21.46,-2.5,-0.55,74175.0,160834647.48,3.82,22.14,21.3,22.01,22.01,3.76,-28.16,9.95
67,68,002368,太极股份,25.64,-2.55,-0.67,119727.0,309485436.31,2.77,26.29,25.56,26.06,26.31,1.93,-423.83,3.18
68,69,300002,神州泰岳,13.72,-2.56,-0.36,637755.0,882881690.04,3.27,14.12,13.66,14.01,14.08,3.5,18.69,3.83
69,70,300271,华宇软件,8.2,-2.61,-0.22,227164.0,188464852.54,3.21,8.47,8.2,8.33,8.42,2.85,-18.95,1.64
70,71,300352,北信源,5.58,-2.62,-0.15,350601.0,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
71,72,002889,东方嘉盛,21.07,-2.63,-0.57,39625.0,84379241.1,2.63,21.63,21.06,21.5,21.64,2.26,23.75,2.4
72,73,300027,华谊兄弟,2.59,-2.63,-0.07,804974.0,210429350.19,3.76,2.67,2.57,2.65,2.66,3.24,-126.88,11.53
73,74,301159,三维天地,32.06,-2.64,-0.87,14175.0,45894346.01,2.58,32.88,32.03,32.84,32.93,3.34,-16.69,3.36
74,75,000948,南天信息,18.74,-2.65,-0.51,116250.0,219263817.0,2.91,19.19,18.63,19.05,19.25,2.98,98.95,2.78
75,76,002583,海能达,12.29,-2.69,-0.34,495715.0,613847458.79,3.17,12.65,12.25,12.57,12.63,3.87,66.65,3.66
76,77,002316,ST亚联,3.61,-2.7,-0.1,94511.0,34353613.0,3.5,3.71,3.58,3.71,3.71,3.0,98.45,19.91
77,78,603106,恒银科技,8.65,-2.7,-0.24,107503.0,93581488.0,2.92,8.87,8.61,8.84,8.89,2.07,-94.32,3.66
78,79,301339,通行宝,22.23,-2.71,-0.62,49099.0,110068780.16,2.89,22.84,22.18,22.8,22.85,4.09,43.76,3.39
79,80,002657,中科金财,21.81,-2.72,-0.61,300296.0,658167400.0,4.77,22.6,21.53,22.09,22.42,8.93,-71.01,4.1
80,81,002331,皖通科技,8.25,-2.83,-0.24,110815.0,92084000.24,3.18,8.47,8.2,8.44,8.49,2.8,-131.41,2.04
81,82,300383,光环新网,17.77,-2.84,-0.52,737375.0,1323615008.68,3.5,18.35,17.71,18.2,18.29,4.11,66.35,2.52
82,83,301165,锐捷网络,71.51,-2.85,-2.1,59993.0,435012689.33,3.23,73.78,71.4,73.0,73.61,8.8,74.01,9.23
83,84,000977,浪潮信息,56.63,-2.86,-1.67,443668.0,2536951292.44,2.88,58.18,56.5,57.88,58.3,3.02,48.31,4.43
84,85,300921,南凌科技,30.0,-2.98,-0.92,48991.0,147747287.0,3.1,30.81,29.85,30.81,30.92,6.17,515.17,4.87
85,86,600446,金证股份,17.78,-3.0,-0.55,303010.0,541147329.0,4.26,18.29,17.51,18.28,18.33,3.2,-109.31,4.51
86,87,300560,中富通,14.16,-3.08,-0.45,83562.0,119083642.31,3.29,14.57,14.09,14.48,14.61,4.47,185.18,2.99
87,88,688296,和达科技,13.5,-3.09,-0.43,22956.0,31315287.0,5.74,14.09,13.29,13.86,13.93,2.14,276.13,2.08
88,89,600100,同方股份,8.16,-3.09,-0.26,757805.0,624527468.0,2.49,8.36,8.15,8.33,8.42,2.26,274.63,1.81
89,90,300292,吴通控股,5.29,-3.11,-0.17,529504.0,282882636.0,3.11,5.45,5.28,5.43,5.46,4.74,66.76,5.19
90,91,300075,数字政通,18.68,-3.16,-0.61,222565.0,420604230.08,3.58,19.29,18.6,19.08,19.29,4.33,424.4,2.93
91,92,300556,丝路视觉,19.83,-3.17,-0.65,53163.0,106394151.0,3.42,20.4,19.7,20.4,20.48,5.17,-8.36,3.39
92,93,603383,顶点软件,36.88,-3.2,-1.22,52909.0,197107566.0,3.91,38.2,36.71,37.99,38.1,2.59,56.12,5.36
93,94,300872,天阳科技,16.84,-3.22,-0.56,133229.0,227697194.44,3.79,17.45,16.79,17.39,17.4,3.36,68.56,2.46
94,95,003004,声迅股份,24.55,-3.23,-0.82,17363.0,42996317.0,4.22,25.43,24.36,25.37,25.37,2.5,-53.24,2.95
95,96,002908,德生科技,9.55,-3.24,-0.32,112906.0,109040362.08,3.34,9.86,9.53,9.8,9.87,3.66,345.22,3.63
96,97,002869,金溢科技,27.2,-3.24,-0.91,45752.0,125764968.23,4.06,28.15,27.01,27.96,28.11,2.87,117.82,2.27
97,98,300525,博思软件,17.57,-3.25,-0.59,185864.0,330373005.52,3.58,18.15,17.5,18.06,18.16,3.01,285.67,5.68
98,99,300563,神宇股份,41.65,-3.27,-1.41,61276.0,258266138.0,4.32,43.31,41.45,43.01,43.06,4.95,82.8,7.2
99,100,300053,航宇微,13.87,-3.28,-0.47,209559.0,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
100,101,002298,中电鑫龙,5.87,-3.29,-0.2,428172.0,253333553.93,3.13,6.04,5.85,6.02,6.07,6.55,-8.67,1.34
101,102,002808,ST恒久,3.21,-3.31,-0.11,58588.0,19028669.0,4.22,3.33,3.19,3.29,3.32,3.14,-37.96,2.69
102,103,002067,景兴纸业,4.06,-3.33,-0.14,573725.0,235230089.24,2.86,4.17,4.05,4.16,4.2,5.14,76.27,0.89
103,104,300299,富春股份,6.29,-3.38,-0.22,339709.0,215922542.61,3.38,6.48,6.26,6.47,6.51,4.93,-77.59,8.05
104,105,300212,易华录,25.45,-3.38,-0.89,172658.0,445232351.16,3.49,26.32,25.4,26.23,26.34,2.47,-22.42,6.14
105,106,002441,众业达,9.39,-3.4,-0.33,212401.0,200751869.0,3.81,9.65,9.28,9.63,9.72,5.32,27.42,1.13
106,107,300448,浩云科技,7.36,-3.41,-0.26,293131.0,218589557.31,5.91,7.75,7.3,7.6,7.62,5.96,439.96,3.78
107,108,301428,世纪恒通,46.16,-3.43,-1.64,66879.0,315484687.93,5.23,48.5,46.0,47.57,47.8,10.93,52.04,3.67
108,109,688671,碧兴物联,19.72,-3.43,-0.7,8898.0,17596047.0,4.46,20.43,19.52,20.43,20.42,1.94,-42.24,1.4
109,110,300311,任子行,6.92,-3.49,-0.25,418358.0,291834192.19,3.77,7.15,6.88,7.15,7.17,7.78,-39.4,7.44
110,111,300562,乐心医疗,15.39,-3.51,-0.56,85999.0,133922379.0,4.26,16.02,15.34,15.91,15.95,5.34,49.68,3.23
