,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000555,神州信息,15.96,9.99,1.45,1360664,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
1,2,300541,先进数通,15.94,4.46,0.68,1113823,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
2,3,002104,恒宝股份,7.49,2.32,0.17,504093,372042829.56,6.28,7.58,7.12,7.25,7.32,8.41,43.49,2.49
3,4,300386,飞天诚信,16.95,1.44,0.24,140107,235460152.0,2.87,16.98,16.5,16.69,16.71,5.64,-235.75,4.65
4,5,002822,ST中装,3.58,1.42,0.05,80447,28459181.43,3.68,3.6,3.47,3.52,3.53,1.47,-2.48,1.38
5,6,000889,ST中嘉,2.64,0.0,0.0,240465,63778086.17,2.65,2.69,2.62,2.63,2.64,2.76,-80.26,21.94
6,7,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
7,8,601528,瑞丰银行,5.38,-0.74,-0.04,140448,75784149.0,1.85,5.45,5.35,5.4,5.42,0.82,5.49,0.59
8,9,688489,三未信安,36.96,-0.75,-0.28,7985,29480089.0,3.03,37.33,36.2,37.01,37.24,1.58,100.46,2.29
9,10,000617,中油资本,6.47,-0.92,-0.06,533151,346768303.0,2.14,6.57,6.43,6.52,6.53,0.42,14.13,0.81
10,11,688262,国芯科技,29.27,-1.11,-0.33,116093,336727139.0,8.01,30.5,28.13,29.48,29.6,4.39,-55.92,4.47
11,12,002376,新北洋,7.26,-1.22,-0.09,377824,274166168.7,3.4,7.42,7.17,7.36,7.35,4.8,113.04,1.58
12,13,600226,亨通股份,2.8,-1.41,-0.04,221904,62490211.0,2.46,2.86,2.79,2.85,2.84,0.73,34.28,2.51
13,14,300205,ST天喻,4.6,-1.5,-0.07,60414,27839216.0,2.78,4.68,4.55,4.63,4.67,1.42,-13.13,1.46
14,15,300085,银之杰,38.67,-1.63,-0.64,506304,2006192858.83,4.6,40.38,38.57,38.92,39.31,7.97,-325.32,45.27
15,16,002537,海联金汇,6.01,-1.64,-0.1,189073,114215932.0,2.62,6.13,5.97,6.08,6.11,1.61,104.97,1.74
