,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601900,南方传媒,15.11,2.51,0.37,93018,139252432.0,3.6,15.18,14.65,14.73,14.74,1.04,19.18,1.69
1,2,601928,凤凰传媒,10.62,1.53,0.16,210886,223322625.0,2.01,10.65,10.44,10.46,10.46,0.83,15.09,1.41
2,3,601811,新华文轩,14.2,1.5,0.21,35336,49995635.0,2.07,14.22,13.93,13.93,13.99,0.45,14.74,1.27
3,4,000719,中原传媒,10.89,0.37,0.04,67991,73781537.17,1.47,10.92,10.76,10.85,10.85,1.02,16.44,1.01
4,5,600373,中文传媒,11.17,-0.53,-0.06,96305,107867595.0,1.07,11.26,11.14,11.23,11.23,0.71,16.05,0.84
5,6,300788,中信出版,32.25,-0.74,-0.24,21875,71209472.0,3.08,33.1,32.1,32.61,32.49,1.15,51.68,2.83
6,7,600229,城市传媒,7.1,-0.84,-0.06,63946,45594651.0,1.96,7.2,7.06,7.06,7.16,0.95,27.1,1.48
7,8,600226,亨通股份,2.8,-1.41,-0.04,221904,62490211.0,2.46,2.86,2.79,2.85,2.84,0.73,34.28,2.51
8,9,603096,新经典,19.08,-1.65,-0.32,14604,28096947.0,2.27,19.44,19.0,19.34,19.4,0.95,17.39,1.54
9,10,000727,冠捷科技,2.89,-2.03,-0.06,1146893,334086429.06,2.71,2.96,2.88,2.95,2.95,2.53,122.77,4.58
10,11,600640,国脉文化,12.58,-2.1,-0.27,68256,86553088.0,2.41,12.85,12.54,12.81,12.85,0.86,565.4,2.52
11,12,301025,读客文化,9.12,-2.15,-0.2,47701,43788063.0,2.47,9.32,9.09,9.21,9.32,1.83,181.74,5.84
12,13,603533,掌阅科技,19.44,-2.41,-0.48,73224,143488412.0,2.71,19.92,19.38,19.85,19.92,1.67,-173.75,3.42
13,14,300364,中文在线,24.28,-2.57,-0.64,173274,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
14,15,002362,汉王科技,23.38,-2.79,-0.67,69525,163829518.98,2.79,23.97,23.3,23.96,24.05,3.35,-57.14,4.84
15,16,301428,世纪恒通,46.16,-3.43,-1.64,66879,315484687.93,5.23,48.5,46.0,47.57,47.8,10.93,52.04,3.67
16,17,300571,平治信息,33.84,-4.41,-1.56,91872,313478100.0,4.44,35.27,33.7,34.88,35.4,7.95,594.24,2.98
17,18,000829,天音控股,11.25,-5.62,-0.67,445142,509119273.57,4.61,11.8,11.25,11.77,11.92,4.35,417.56,3.87
18,19,300603,立昂技术,13.32,-6.85,-0.98,445442,605867152.05,4.83,14.01,13.32,13.95,14.3,12.02,840.31,4.29
