,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,831689,克莱特,49.29,19.93,8.19,148112.0,709566126.12,30.58,52.85,40.28,40.37,41.1,39.8,49.74,7.76
1,2,000779,甘咨询,11.97,10.02,1.09,740426.0,827036859.0,12.68,11.97,10.59,10.7,10.88,15.93,23.14,1.47
2,3,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
3,4,300065,海兰信,19.43,8.67,1.55,2882766.0,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
4,5,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
5,6,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
6,7,300807,天迈科技,41.15,5.51,2.15,83334.0,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
7,8,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
8,9,002178,延华智能,7.38,5.13,0.36,732688.0,534721402.57,4.7,7.4,7.07,7.1,7.02,10.29,-449.82,11.91
9,10,000851,ST高鸿,2.74,4.98,0.13,589538.0,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
10,11,002401,中远海科,20.79,4.79,0.95,714820.0,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
11,12,300157,新锦动力,4.01,4.7,0.18,1327674.0,534895306.44,11.75,4.2,3.75,3.75,3.83,18.87,-19.99,-12.73
12,13,300541,先进数通,15.94,4.46,0.68,1113823.0,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
13,14,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
14,15,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
15,16,002184,海得控制,15.43,3.7,0.55,574467.0,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
16,17,300252,金信诺,12.06,3.52,0.41,801192.0,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
17,18,300698,万马科技,41.95,3.38,1.37,69156.0,284732598.32,8.5,42.8,39.35,40.9,40.58,5.83,135.02,11.85
18,19,000533,顺钠股份,7.38,3.36,0.24,1194634.0,868909368.54,8.26,7.6,7.01,7.06,7.14,17.44,53.64,6.02
19,20,300001,特锐德,25.19,3.32,0.81,481349.0,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
20,21,300846,首都在线,30.45,3.22,0.95,1505927.0,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
21,22,600804,*ST鹏博,1.77,2.91,0.05,863849.0,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
22,23,001230,劲旅环境,20.19,2.28,0.45,29024.0,58220047.89,4.56,20.5,19.6,19.69,19.74,5.37,17.7,1.48
23,24,300290,荣科科技,18.9,2.16,0.4,311267.0,578762791.0,6.7,19.16,17.92,18.23,18.5,4.87,-1370.16,14.76
24,25,300712,永福股份,26.37,1.93,0.5,83520.0,221165766.99,3.25,26.74,25.9,26.06,25.87,4.48,110.41,3.82
25,26,603110,东方材料,18.53,1.93,0.35,173795.0,318787199.0,6.77,18.98,17.75,18.19,18.18,8.64,220.25,5.31
26,27,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
27,28,002110,三钢闽光,4.39,1.62,0.07,389152.0,172218771.08,5.56,4.5,4.26,4.3,4.32,1.6,-6.02,0.56
28,29,600941,中国移动,106.65,1.57,1.65,354595.0,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
29,30,601928,凤凰传媒,10.62,1.53,0.16,210886.0,223322625.0,2.01,10.65,10.44,10.46,10.46,0.83,15.09,1.41
30,31,300153,科泰电源,41.15,1.5,0.61,448041.0,1866749969.59,5.82,42.84,40.48,41.69,40.54,14.07,394.49,15.33
31,32,002822,ST中装,3.58,1.42,0.05,80447.0,28459181.43,3.68,3.6,3.47,3.52,3.53,1.47,-2.48,1.38
32,33,300368,ST汇金,4.99,1.22,0.06,96625.0,48015603.0,2.84,5.04,4.9,4.92,4.93,1.83,-68.0,7.91
33,34,603912,佳力图,10.92,1.2,0.13,671924.0,728482848.0,5.47,11.16,10.57,10.65,10.79,12.4,164.99,3.22
34,35,688418,震有科技,30.71,1.19,0.36,49356.0,152219797.0,5.17,31.5,29.93,30.28,30.35,2.55,219.31,6.57
35,36,600720,中交设计,8.77,0.92,0.08,95372.0,83700609.0,2.19,8.85,8.66,8.7,8.69,1.23,15.39,1.41
36,37,002771,真视通,18.64,0.87,0.16,169607.0,315592646.25,8.06,19.49,18.0,18.29,18.48,9.72,-127.15,6.06
37,38,300365,恒华科技,6.91,0.73,0.05,364903.0,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
38,39,600496,精工钢构,3.31,0.61,0.02,330749.0,109716990.0,2.13,3.35,3.28,3.29,3.29,1.64,10.51,0.76
39,40,301291,明阳电气,47.1,0.6,0.28,43671.0,205047897.38,3.08,47.62,46.18,46.72,46.82,2.5,25.31,3.31
40,41,300500,启迪设计,11.9,0.59,0.07,102221.0,121421292.13,4.73,12.19,11.63,11.8,11.83,6.1,-90.7,1.75
41,42,600745,闻泰科技,34.89,0.58,0.2,322446.0,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
42,43,603042,华脉科技,14.88,0.54,0.08,219363.0,329167429.0,5.81,15.41,14.55,14.7,14.8,13.66,-218.64,2.73
43,44,600126,杭钢股份,11.95,0.5,0.06,3285151.0,3855866281.0,10.09,12.32,11.12,11.5,11.89,9.73,-67.75,2.06
44,45,300895,铜牛信息,58.88,0.48,0.28,169004.0,991779450.84,5.32,59.97,56.85,56.85,58.6,12.23,-96.89,9.17
45,46,601728,中国电信,7.52,0.13,0.01,1163395.0,879850480.0,1.86,7.62,7.48,7.51,7.51,0.15,17.62,1.53
46,47,300166,东方国信,12.79,0.0,0.0,1466842.0,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
47,48,000818,航锦科技,28.57,-0.03,-0.01,741496.0,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
48,49,002544,普天科技,24.14,-0.08,-0.02,375304.0,900422485.07,3.93,24.48,23.53,24.42,24.16,5.53,675.1,4.4
49,50,300732,设研院,6.89,-0.29,-0.02,63621.0,43847858.9,1.88,6.96,6.83,6.88,6.91,1.97,-11.3,0.85
50,51,300052,ST中青宝,11.61,-0.34,-0.04,333228.0,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
51,52,603017,中衡设计,8.84,-0.45,-0.04,29614.0,26099921.0,1.69,8.9,8.75,8.83,8.88,1.07,27.36,1.65
52,53,000070,ST特信,6.16,-0.48,-0.03,94814.0,58476456.44,1.45,6.22,6.13,6.18,6.19,1.07,940.25,2.9
53,54,600010,包钢股份,1.86,-0.53,-0.01,3760182.0,702542968.0,2.14,1.89,1.85,1.86,1.87,1.2,-122.33,1.64
54,55,603003,*ST龙宇,5.36,-0.92,-0.05,39832.0,21550412.0,3.88,5.52,5.31,5.39,5.41,1.06,-18.41,0.57
55,56,600808,马钢股份,3.17,-0.94,-0.03,560321.0,178790160.0,2.5,3.24,3.16,3.2,3.2,0.94,-7.24,0.97
