,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688118,普元信息,26.6,5.14,1.3,76647.0,201063671.0,10.28,27.2,24.6,24.99,25.3,8.35,382.49,2.85
1,2,600289,*ST信通,9.18,5.03,0.44,116981.0,106749978.0,2.63,9.18,8.95,9.13,8.74,2.07,151.09,8.02
2,3,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
3,4,300846,首都在线,30.45,3.22,0.95,1505927.0,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
4,5,002104,恒宝股份,7.49,2.32,0.17,504093.0,372042829.56,6.28,7.58,7.12,7.25,7.32,8.41,43.49,2.49
5,6,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
6,7,688651,盛邦安全,39.3,0.0,0.0,15369.0,60865093.0,6.9,40.98,38.27,39.29,39.3,4.88,147.2,2.97
7,8,600050,中国联通,5.7,-0.18,-0.01,5022475.0,2856257924.0,2.28,5.75,5.62,5.7,5.71,1.63,19.74,1.08
8,9,600571,信雅达,14.39,-0.42,-0.06,374847.0,538499895.0,4.36,14.75,14.12,14.45,14.45,8.19,-878.76,5.99
9,10,300213,佳讯飞鸿,10.43,-0.48,-0.05,1288602.0,1375472492.87,5.73,10.96,10.36,10.8,10.48,23.38,126.37,2.79
10,11,688489,三未信安,36.96,-0.75,-0.28,7985.0,29480089.0,3.03,37.33,36.2,37.01,37.24,1.58,100.46,2.29
11,12,301330,熵基科技,29.65,-1.27,-0.38,41797.0,125412438.5,3.73,30.6,29.48,29.93,30.03,5.46,36.17,1.78
12,13,300021,大禹节水,4.56,-1.3,-0.06,148849.0,68070051.59,1.95,4.63,4.54,4.59,4.62,2.12,97.75,2.09
13,14,002972,科安达,11.54,-1.45,-0.17,35100.0,40667899.8,2.31,11.74,11.47,11.69,11.71,2.64,30.94,2.37
14,15,002912,中新赛克,28.86,-1.8,-0.53,40135.0,116171431.8,2.28,29.34,28.67,29.32,29.39,2.47,82.23,2.93
15,16,002268,电科网安,17.06,-1.84,-0.32,95738.0,164676479.0,2.53,17.45,17.01,17.38,17.38,1.13,-50.75,2.74
16,17,688435,英方软件,36.08,-1.88,-0.69,17109.0,61919370.0,3.32,36.9,35.68,36.41,36.77,3.71,-105.71,2.7
17,18,688244,永信至诚,55.9,-1.93,-1.1,26646.0,151314106.0,6.67,58.8,55.0,57.22,57.0,5.38,668.95,5.57
18,19,603232,格尔软件,15.23,-1.93,-0.3,92435.0,141544625.0,4.89,15.79,15.03,15.38,15.53,4.0,-70.89,2.68
19,20,002439,启明星辰,17.59,-1.95,-0.35,309157.0,546286075.98,2.29,17.92,17.51,17.68,17.94,4.27,-76.51,1.87
20,21,000509,华塑控股,3.45,-1.99,-0.07,141147.0,48915103.0,2.27,3.51,3.43,3.5,3.52,1.32,-225.17,27.28
21,22,600476,湘邮科技,16.51,-2.08,-0.35,59592.0,99431921.0,3.08,17.02,16.5,16.8,16.86,3.7,-467.28,20.93
22,23,300061,旗天科技,12.66,-2.16,-0.28,196152.0,249669836.16,2.63,12.91,12.57,12.9,12.94,3.16,-312.37,11.16
23,24,688171,纬德信息,19.16,-2.29,-0.45,9093.0,17472836.0,3.26,19.64,19.0,19.5,19.61,1.77,133.99,1.96
24,25,300579,数字认证,29.33,-2.3,-0.69,41087.0,121612943.1,3.26,30.2,29.22,29.88,30.02,1.57,-218.86,8.83
25,26,301185,鸥玛软件,18.49,-2.32,-0.44,27623.0,51607256.72,2.75,18.98,18.46,18.93,18.93,1.98,50.83,2.72
26,27,002017,东信和平,10.75,-2.36,-0.26,120933.0,131055271.28,2.63,11.01,10.72,10.93,11.01,2.08,39.35,3.71
27,28,300079,数码视讯,5.67,-2.41,-0.14,285945.0,163726862.67,2.58,5.82,5.67,5.77,5.81,2.23,272.05,1.92
28,29,300188,国投智能,14.81,-2.44,-0.37,178380.0,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
29,30,300002,神州泰岳,13.72,-2.56,-0.36,637755.0,882881690.04,3.27,14.12,13.66,14.01,14.08,3.5,18.69,3.83
30,31,300271,华宇软件,8.2,-2.61,-0.22,227164.0,188464852.54,3.21,8.47,8.2,8.33,8.42,2.85,-18.95,1.64
31,32,300352,北信源,5.58,-2.62,-0.15,350601.0,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
32,33,301159,三维天地,32.06,-2.64,-0.87,14175.0,45894346.01,2.58,32.88,32.03,32.84,32.93,3.34,-16.69,3.36
33,34,688030,山石网科,18.2,-2.67,-0.5,17638.0,32384261.0,3.37,18.74,18.11,18.74,18.7,0.98,-23.87,3.56
34,35,603106,恒银科技,8.65,-2.7,-0.24,107503.0,93581488.0,2.92,8.87,8.61,8.84,8.89,2.07,-94.32,3.66
35,36,688008,澜起科技,74.02,-2.78,-2.12,250379.0,1872391227.0,3.59,76.45,73.72,75.5,76.14,2.19,60.02,7.43
