,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300895,铜牛信息,58.88,0.48,0.28,169004,991779450.84,5.32,59.97,56.85,56.85,58.6,12.23,-96.89,9.17
1,2,688489,三未信安,36.96,-0.75,-0.28,7985,29480089.0,3.03,37.33,36.2,37.01,37.24,1.58,100.46,2.29
2,3,603000,人民网,21.64,-1.23,-0.27,122184,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
3,4,002717,岭南股份,3.42,-1.44,-0.05,1090461,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
4,5,000607,华媒控股,4.15,-1.89,-0.08,85869,35882358.0,2.13,4.23,4.14,4.22,4.23,0.99,283.46,2.59
5,6,600880,博瑞传播,4.84,-2.02,-0.1,345300,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
6,7,300220,金运激光,16.46,-2.14,-0.36,46063,76426738.0,2.2,16.83,16.46,16.7,16.82,3.05,1825.14,40.87
7,8,000925,众合科技,8.91,-2.2,-0.2,459177,410755545.0,3.95,9.16,8.8,9.02,9.11,6.8,-51.97,1.83
8,9,688579,山大地纬,10.53,-2.23,-0.24,62955,66748902.0,2.88,10.79,10.48,10.75,10.77,1.57,63.4,3.06
9,10,300468,四方精创,16.31,-2.28,-0.38,125369,206938653.26,3.54,16.85,16.26,16.85,16.69,2.37,123.59,5.34
10,11,300579,数字认证,29.33,-2.3,-0.69,41087,121612943.1,3.26,30.2,29.22,29.88,30.02,1.57,-218.86,8.83
11,12,002235,安妮股份,5.48,-2.32,-0.13,237563,131298060.0,2.67,5.62,5.47,5.61,5.61,4.29,96.49,4.25
12,13,300079,数码视讯,5.67,-2.41,-0.14,285945,163726862.67,2.58,5.82,5.67,5.77,5.81,2.23,272.05,1.92
13,14,002117,东港股份,13.75,-2.41,-0.34,338778,464139800.75,4.19,14.0,13.41,13.95,14.09,6.47,67.32,5.35
14,15,300364,中文在线,24.28,-2.57,-0.64,173274,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
15,16,603721,中广天择,26.55,-2.64,-0.72,32906,88319162.0,2.09,27.12,26.55,27.02,27.27,2.53,-2697.79,6.72
16,17,301159,三维天地,32.06,-2.64,-0.87,14175,45894346.01,2.58,32.88,32.03,32.84,32.93,3.34,-16.69,3.36
17,18,600633,浙数文化,14.14,-2.82,-0.41,485955,698095785.0,4.05,14.73,14.14,14.4,14.55,3.83,28.33,1.79
18,19,300659,中孚信息,17.14,-3.0,-0.53,60357,104262062.8,4.07,17.7,16.98,17.6,17.67,3.17,-17.75,3.47
19,20,603383,顶点软件,36.88,-3.2,-1.22,52909,197107566.0,3.91,38.2,36.71,37.99,38.1,2.59,56.12,5.36
20,21,688590,新致软件,20.92,-3.24,-0.7,98496,208207914.0,3.38,21.59,20.86,21.42,21.62,3.75,684.55,3.76
21,22,300212,易华录,25.45,-3.38,-0.89,172658,445232351.16,3.49,26.32,25.4,26.23,26.34,2.47,-22.42,6.14
22,23,603918,金桥信息,16.44,-3.46,-0.59,188496,313073199.0,3.11,16.96,16.43,16.88,17.03,5.15,-62.62,5.83
23,24,002152,广电运通,13.61,-3.48,-0.49,575566,792402716.54,3.26,14.04,13.58,14.01,14.1,2.32,36.86,2.69
24,25,301169,零点有数,39.77,-3.61,-1.49,13938,55978413.0,4.17,41.3,39.58,41.3,41.26,1.94,-32.0,5.5
25,26,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
26,27,603636,南威软件,13.76,-3.64,-0.52,199585,278095673.0,3.36,14.21,13.73,14.15,14.28,3.44,-37.06,3.18
27,28,300113,顺网科技,20.5,-3.85,-0.82,357720,739937315.1,3.8,21.23,20.42,21.03,21.32,6.82,49.98,6.57
28,29,000681,视觉中国,22.1,-4.25,-0.98,367805,823781295.0,3.9,22.97,22.07,22.88,23.08,5.44,142.14,4.42
29,30,300379,东方通,16.82,-4.32,-0.76,301306,512602388.8,4.66,17.48,16.66,17.46,17.58,5.72,-38.39,2.68
30,31,300663,科蓝软件,17.08,-4.58,-0.82,234006,405883055.16,4.41,17.86,17.07,17.8,17.9,5.46,-900.28,6.4
31,32,688051,佳华科技,25.44,-5.78,-1.56,15073,38974211.0,6.11,26.97,25.32,26.83,27.0,1.95,-20.69,2.7
32,33,300148,天舟文化,4.54,-7.54,-0.37,982641,454116969.08,5.5,4.79,4.52,4.79,4.91,12.26,135.69,3.99
