,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301331,恩威医药,28.13,11.27,2.85,116027,335278680.13,15.39,30.34,26.45,26.45,25.28,37.09,98.57,2.83
1,2,000915,华特达因,29.58,5.34,1.5,219205,652470547.07,3.99,30.5,29.38,29.91,28.08,9.36,13.44,2.38
2,3,300039,上海凯宝,6.4,1.75,0.11,825320,539924585.39,6.36,6.8,6.4,6.59,6.29,9.0,23.13,1.74
3,4,605199,葫芦娃,16.99,1.55,0.26,296414,515707486.0,8.73,18.3,16.84,17.51,16.73,7.41,60.78,5.89
4,5,300261,雅本化学,6.93,1.32,0.09,338275,234242145.92,4.68,7.08,6.76,6.78,6.84,3.61,-88.27,2.96
5,6,002864,盘龙药业,29.27,1.0,0.29,149545,452571127.99,9.08,31.68,29.05,30.5,28.98,20.21,26.05,1.94
6,7,002422,科伦药业,31.58,0.96,0.3,154553,482345687.11,2.72,31.65,30.8,31.25,31.28,1.18,15.32,2.24
7,8,002317,众生药业,11.32,0.8,0.09,289249,329322069.15,2.23,11.53,11.28,11.45,11.23,3.8,48.59,2.2
8,9,002603,以岭药业,14.7,0.68,0.1,342829,505093979.27,2.67,14.98,14.59,14.92,14.6,2.49,33.2,2.13
9,10,002349,精华制药,7.41,0.54,0.04,304717,228520719.57,3.93,7.67,7.38,7.6,7.37,3.74,27.55,2.38
10,11,300199,翰宇药业,13.24,0.53,0.07,451105,603791496.06,2.89,13.6,13.22,13.23,13.17,6.39,-251.99,16.54
11,12,600572,康恩贝,4.49,0.45,0.02,462787,209213018.0,2.91,4.59,4.46,4.55,4.47,1.8,16.78,1.73
12,13,603567,珍宝岛,11.18,0.36,0.04,115594,130797647.0,3.77,11.56,11.14,11.55,11.14,1.23,19.84,1.36
13,14,300026,红日药业,3.63,0.28,0.01,1175914,435582069.43,5.25,3.81,3.62,3.74,3.62,4.38,213.61,1.26
14,15,002566,益盛药业,7.18,0.14,0.01,78064,56647093.56,4.46,7.47,7.15,7.35,7.17,3.37,49.69,1.07
15,16,300233,金城医药,18.48,0.11,0.02,521864,964936310.25,6.66,19.11,17.88,18.6,18.46,14.11,35.22,1.95
16,17,002424,ST百灵,4.25,0.0,0.0,756637,328762783.81,5.65,4.46,4.22,4.3,4.25,6.24,50.5,1.71
17,18,603858,步长制药,15.23,-0.07,-0.01,85309,130694628.0,2.49,15.53,15.15,15.41,15.24,0.77,40.38,1.51
18,19,002644,佛慈制药,7.92,-0.13,-0.01,99759,80086347.4,4.16,8.21,7.88,8.12,7.93,1.95,77.63,2.29
19,20,000990,诚志股份,7.63,-0.26,-0.02,109914,84186433.0,2.09,7.74,7.58,7.63,7.65,0.9,31.83,0.52
20,21,000153,丰原药业,6.19,-0.48,-0.03,80320,49958528.2,2.57,6.3,6.14,6.24,6.22,1.77,14.65,1.44
21,22,300147,香雪制药,10.02,-0.5,-0.05,448045,462211045.9,6.55,10.66,10.0,10.45,10.07,6.81,-22.82,3.88
22,23,600062,华润双鹤,18.85,-0.68,-0.13,168490,318051038.0,1.58,19.06,18.76,19.0,18.98,1.64,12.03,1.88
23,24,002004,华邦健康,3.95,-0.75,-0.03,191147,75842680.75,1.76,4.0,3.93,3.98,3.98,1.02,12.98,0.77
