,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301136,招标股份,13.95,10.1,1.28,319982,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
1,2,002789,建艺集团,10.4,10.05,0.95,326840,317277984.56,17.04,10.4,8.79,8.79,9.45,24.86,298.55,50.13
2,3,000779,甘咨询,11.97,10.02,1.09,740426,827036859.0,12.68,11.97,10.59,10.7,10.88,15.93,23.14,1.47
3,4,603359,东珠生态,7.18,9.95,0.65,111710,80207737.0,0.0,7.18,7.18,7.18,6.53,2.5,183.49,0.97
4,5,301038,深水规院,22.48,5.69,1.21,192334,421755194.44,10.34,22.91,20.71,21.0,21.27,11.21,-740.22,4.61
5,6,002310,*ST东园,2.02,5.21,0.1,1099696,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
6,7,300778,新城市,11.7,4.09,0.46,136353,157900689.79,5.69,11.75,11.11,11.21,11.24,6.7,-13.57,1.81
7,8,301396,宏景科技,86.25,3.98,3.3,185315,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
8,9,300826,测绘股份,16.98,3.85,0.63,97271,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
9,10,001230,劲旅环境,20.19,2.28,0.45,29024,58220047.89,4.56,20.5,19.6,19.69,19.74,5.37,17.7,1.48
10,11,300844,山水比德,36.2,2.12,0.75,20487,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
11,12,605069,正和生态,9.7,2.0,0.19,161221,154580673.0,5.47,9.85,9.33,9.51,9.51,19.16,386.99,1.97
12,13,300070,碧水源,4.85,1.89,0.09,677300,331434095.53,4.41,4.99,4.78,4.78,4.76,1.97,-306.98,0.65
13,14,603815,交建股份,6.96,1.75,0.12,156242,108851609.0,3.51,7.07,6.83,6.83,6.84,2.52,32.16,1.85
14,15,300197,节能铁汉,2.27,1.34,0.03,1016900,231221902.43,4.46,2.32,2.22,2.24,2.24,3.43,-7.97,1.81
15,16,300947,德必集团,20.31,1.3,0.26,71657,144592629.65,2.89,20.43,19.85,20.0,20.05,4.74,103.46,2.44
16,17,301151,冠龙节能,16.52,1.16,0.19,72700,120966454.32,5.21,17.05,16.2,16.32,16.33,13.04,93.67,1.38
17,18,300989,蕾奥规划,16.18,1.06,0.17,79847,130458810.5,4.43,16.53,15.82,15.85,16.01,5.3,-95.45,3.39
18,19,000010,美丽生态,3.1,0.98,0.03,351916,108199839.44,3.58,3.14,3.03,3.08,3.07,6.69,-44.98,16.29
19,20,600720,中交设计,8.77,0.92,0.08,95372,83700609.0,2.19,8.85,8.66,8.7,8.69,1.23,15.39,1.41
20,21,600736,苏州高新,6.08,0.83,0.05,288652,173609593.0,3.98,6.15,5.91,6.05,6.03,2.51,22.15,0.94
21,22,002443,金洲管道,6.22,0.81,0.05,100560,62463571.0,1.62,6.25,6.15,6.15,6.17,1.94,19.75,0.94
22,23,300187,永清环保,5.3,0.76,0.04,115374,61750333.96,3.99,5.45,5.24,5.26,5.26,1.79,30.66,3.18
23,24,000809,*ST和展,3.36,0.6,0.02,114134,38529282.95,2.4,3.41,3.33,3.34,3.34,1.38,-26.5,1.01
24,25,300500,启迪设计,11.9,0.59,0.07,102221,121421292.13,4.73,12.19,11.63,11.8,11.83,6.1,-90.7,1.75
25,26,002060,广东建工,3.59,0.56,0.02,226945,81750096.14,1.96,3.63,3.56,3.57,3.57,1.45,15.69,1.03
26,27,603797,联泰环保,4.17,0.48,0.02,65950,27428649.0,1.93,4.2,4.12,4.13,4.15,1.13,10.98,0.77
27,28,600939,重庆建工,2.87,0.35,0.01,192764,55375498.0,2.1,2.9,2.84,2.85,2.86,1.01,-77.78,0.69
28,29,601686,友发集团,5.68,0.35,0.02,26512,15056921.0,1.24,5.72,5.65,5.65,5.66,0.19,60.77,1.38
29,30,002375,亚厦股份,4.03,0.25,0.01,123842,50025978.0,1.99,4.08,4.0,4.02,4.02,0.93,16.01,0.68
30,31,605287,德才股份,14.43,0.14,0.02,21218,30708674.0,3.4,14.74,14.25,14.25,14.41,1.52,19.32,1.06
31,32,000926,福星股份,2.35,0.0,0.0,279752,65810875.52,2.13,2.38,2.33,2.34,2.35,1.78,168.82,0.31
32,33,002887,绿茵生态,7.62,0.0,0.0,44760,34046794.0,2.36,7.7,7.52,7.65,7.62,2.81,33.86,0.93
33,34,603843,正平股份,3.81,0.0,0.0,524529,197826220.0,4.72,3.84,3.66,3.81,3.81,7.5,-23.25,2.99
34,35,002743,富煌钢构,6.04,0.0,0.0,99225,59993934.15,1.99,6.1,5.98,6.04,6.04,2.28,29.04,0.81
35,36,002663,普邦股份,1.84,0.0,0.0,255796,47170455.83,2.72,1.87,1.82,1.85,1.84,1.83,-106.22,1.1
36,37,601368,绿城水务,4.83,0.0,0.0,77867,37776311.0,1.66,4.89,4.81,4.83,4.83,0.88,23.86,0.89
37,38,600512,腾达建设,2.38,0.0,0.0,180732,43204990.0,1.68,2.41,2.37,2.38,2.38,1.14,18.28,0.6
38,39,600502,安徽建工,4.56,0.0,0.0,197385,90397228.0,1.54,4.61,4.54,4.56,4.56,1.15,6.1,0.75
39,40,002062,宏润建设,5.0,0.0,0.0,145293,72911661.5,2.2,5.07,4.96,5.01,5.0,1.47,18.59,1.26
40,41,300675,建科院,15.44,-0.06,-0.01,49852,77413764.0,3.04,15.75,15.28,15.42,15.45,3.4,943.0,3.74
41,42,603137,恒尚节能,11.62,-0.26,-0.03,25468,29482886.0,4.21,11.95,11.46,11.73,11.65,3.45,18.22,1.76
42,43,600853,龙建股份,3.88,-0.26,-0.01,190033,73874394.0,2.06,3.92,3.84,3.88,3.89,1.88,9.54,1.07
43,44,002108,沧州明珠,3.58,-0.28,-0.01,301613,107860016.62,1.95,3.61,3.54,3.6,3.59,1.83,32.31,1.17
44,45,300732,设研院,6.89,-0.29,-0.02,63621,43847858.9,1.88,6.96,6.83,6.88,6.91,1.97,-11.3,0.85
45,46,300958,建工修复,12.27,-0.41,-0.05,26241,32202675.51,1.95,12.41,12.17,12.32,12.32,2.88,169.2,1.4
46,47,603017,中衡设计,8.84,-0.45,-0.04,29614,26099921.0,1.69,8.9,8.75,8.83,8.88,1.07,27.36,1.65
47,48,003013,地铁设计,15.28,-0.52,-0.08,25928,39698383.0,1.69,15.45,15.19,15.27,15.36,0.65,15.78,2.45
48,49,002482,广田集团,1.92,-0.52,-0.01,371482,71825742.64,2.07,1.95,1.91,1.92,1.93,0.99,-30.32,12.05
49,50,301167,建研设计,13.82,-0.58,-0.08,23306,32198586.32,2.73,14.04,13.66,13.87,13.9,3.28,149.33,1.67
50,51,300388,节能国祯,7.53,-0.66,-0.05,64674,48852145.8,2.11,7.64,7.48,7.54,7.58,0.95,13.99,1.15
51,52,002761,浙江建投,8.88,-0.67,-0.06,120439,107506251.35,2.35,9.04,8.83,8.92,8.94,1.11,51.71,1.47
52,53,002909,集泰股份,5.79,-0.69,-0.04,73042,42251865.04,2.4,5.87,5.73,5.8,5.83,1.92,117.36,2.37
53,54,001267,汇绿生态,9.23,-0.75,-0.07,58046,53615112.65,2.15,9.37,9.17,9.31,9.3,1.03,205.52,4.73
54,55,301115,建科股份,14.44,-0.76,-0.11,24616,35566944.0,2.13,14.62,14.31,14.5,14.55,2.33,95.74,1.03
55,56,002671,龙泉股份,4.6,-0.86,-0.04,98642,45599147.0,2.16,4.68,4.58,4.62,4.64,1.79,24.48,1.54
56,57,603388,ST元成,3.33,-0.89,-0.03,74277,24567253.0,4.76,3.37,3.21,3.36,3.36,2.28,-9.81,1.0
57,58,002431,棕榈股份,2.1,-0.94,-0.02,199899,42322007.78,3.3,2.15,2.08,2.12,2.12,1.1,-4.87,1.44
58,59,300437,清水源,8.29,-0.96,-0.08,66640,55741225.25,3.11,8.52,8.26,8.39,8.37,3.79,-28.6,1.41
59,60,000826,启迪环境,1.98,-1.0,-0.02,480336,96054319.8,3.5,2.04,1.97,1.99,2.0,3.37,-1.9,0.97
60,61,300564,筑博设计,12.55,-1.03,-0.13,26694,33766066.4,3.08,12.86,12.47,12.66,12.68,2.36,1256.12,1.6
61,62,603955,大千生态,20.75,-1.05,-0.22,60631,125507862.0,3.86,21.09,20.28,20.9,20.97,4.47,137.88,1.82
62,63,002775,文科股份,3.64,-1.09,-0.04,61140,22238445.72,2.72,3.7,3.6,3.7,3.68,1.39,271.14,9.97
63,64,301098,金埔园林,8.43,-1.17,-0.1,33645,28432154.0,2.23,8.55,8.36,8.51,8.53,2.25,73.27,1.17
64,65,603357,设计总院,9.33,-1.17,-0.11,96243,90605250.0,2.44,9.54,9.31,9.41,9.44,1.75,12.48,1.47
65,66,603778,国晟科技,3.31,-1.19,-0.04,106070,35218745.0,2.39,3.37,3.29,3.34,3.35,1.65,-10.7,2.58
66,67,605303,园林股份,10.02,-1.28,-0.13,85889,85999375.0,2.27,10.17,9.94,10.13,10.15,5.33,-18.5,1.4
67,68,600510,黑牡丹,5.28,-1.31,-0.07,89164,47106684.0,2.43,5.36,5.23,5.34,5.35,0.86,51.49,0.54
68,69,300948,冠中生态,10.13,-1.36,-0.14,26327,26656713.0,2.82,10.3,10.01,10.3,10.27,2.01,-149.36,1.69
69,70,300983,尤安设计,17.99,-1.42,-0.26,4936,8931647.53,2.52,18.4,17.94,18.4,18.25,0.42,-53.27,1.03
70,71,002717,岭南股份,3.42,-1.44,-0.05,1090461,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
71,72,301505,苏州规划,23.9,-1.44,-0.35,13032,31237885.0,1.53,24.18,23.81,24.18,24.25,2.24,94.86,2.15
72,73,300635,中达安,10.62,-1.48,-0.16,37961,40453789.0,2.97,10.84,10.52,10.68,10.78,3.17,497.66,3.24
73,74,300374,中铁装配,16.77,-1.53,-0.26,70433,120004506.4,3.82,17.41,16.76,17.0,17.03,3.46,-46.24,4.91
74,75,002457,青龙管业,12.06,-1.55,-0.19,97837,118734796.0,2.04,12.27,12.02,12.21,12.25,2.94,26.67,1.74
75,76,688057,金达莱,11.75,-1.67,-0.2,14058,16618073.0,3.35,12.1,11.7,12.1,11.95,0.51,23.45,1.03
76,77,300649,杭州园林,11.99,-1.72,-0.21,27482,33065169.0,3.11,12.27,11.89,12.27,12.2,2.59,-71.78,3.08
77,78,603176,汇通集团,5.01,-1.76,-0.09,33375,16820833.0,2.16,5.11,5.0,5.08,5.1,0.72,26.27,2.12
78,79,603682,锦和商管,5.44,-1.81,-0.1,98627,53937132.0,2.17,5.54,5.42,5.52,5.54,2.09,51.18,2.44
79,80,300977,深圳瑞捷,18.21,-2.1,-0.39,21381,39359266.08,3.39,18.75,18.12,18.51,18.6,2.26,126.35,1.98
80,81,002542,中化岩土,3.68,-2.13,-0.08,396436,146652292.72,3.19,3.77,3.65,3.76,3.76,2.48,-25.86,3.3
81,82,301109,军信股份,21.02,-2.14,-0.46,71292,150657802.94,2.56,21.47,20.92,21.27,21.48,7.23,21.83,1.59
82,83,002339,积成电子,7.61,-2.19,-0.17,194865,149245160.1,2.06,7.76,7.6,7.74,7.78,4.07,-31.63,2.27
83,84,300237,美晨科技,2.17,-2.25,-0.05,707261,154465508.0,4.95,2.25,2.14,2.2,2.22,4.92,-12.15,22.43
84,85,300935,盈建科,22.31,-2.32,-0.53,12327,27779515.2,2.71,22.9,22.28,22.82,22.84,2.05,-35.28,2.08
85,86,300949,奥雅股份,34.99,-2.4,-0.86,10791,37873190.0,3.85,35.99,34.61,35.85,35.85,3.15,-15.31,2.42
86,87,603030,全筑股份,2.67,-2.55,-0.07,239163,64056344.0,3.28,2.73,2.64,2.73,2.74,1.82,-76.65,3.53
87,88,301046,能辉科技,21.9,-2.58,-0.58,28669,63332270.41,3.29,22.54,21.8,22.48,22.48,2.53,48.74,3.95
88,89,300103,达刚控股,6.66,-2.77,-0.19,70321,47151200.5,3.36,6.85,6.62,6.79,6.85,2.22,-57.42,3.52
89,90,300746,汉嘉设计,12.93,-3.0,-0.4,61663,80468754.4,3.23,13.33,12.9,13.3,13.33,2.78,497.47,2.47
90,91,301091,深城交,46.02,-3.22,-1.53,57012,265674233.2,3.93,47.83,45.96,47.83,47.55,2.01,236.5,8.16
91,92,603803,瑞斯康达,10.92,-3.36,-0.38,151375,166899458.0,3.19,11.24,10.88,11.19,11.3,3.56,-54.05,2.79
92,93,300986,志特新材,19.39,-3.44,-0.69,142093,276444619.47,4.98,20.05,19.05,19.6,20.08,5.43,64.27,3.3
