,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301137,哈焊华通,21.9,17.36,3.24,229900,489891256.77,17.04,22.39,19.21,19.3,18.66,22.61,176.14,2.99
1,2,873570,坤博精工,52.46,8.88,4.28,71706,381573082.88,18.64,57.79,48.81,48.89,48.18,32.03,143.23,6.96
2,3,603011,合锻智能,9.29,4.38,0.39,784649,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
3,4,001379,腾达科技,24.88,4.01,0.96,180802,452289687.89,12.21,26.31,23.39,23.51,23.92,26.87,64.82,3.43
4,5,002184,海得控制,15.43,3.7,0.55,574467,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
5,6,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
6,7,301232,飞沃科技,29.51,2.43,0.7,37448,109599373.6,4.41,29.6,28.33,28.61,28.81,8.38,-22.88,1.52
7,8,301421,波长光电,56.66,1.94,1.08,115947,659229785.72,6.64,58.3,54.61,54.61,55.58,25.04,159.57,5.54
8,9,835579,机科股份,33.06,1.47,0.48,80738,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
9,10,300293,蓝英装备,25.08,0.72,0.18,115641,289333748.57,3.73,25.33,24.4,24.89,24.9,4.13,-2560.0,9.22
10,11,300370,安控科技,3.39,0.3,0.01,659962,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
11,12,600560,金自天正,18.12,0.28,0.05,124313,224026478.0,3.71,18.39,17.72,17.96,18.07,5.56,79.51,4.36
12,13,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
13,14,600545,卓郎智能,2.55,-0.39,-0.01,393258,99727277.0,2.73,2.58,2.51,2.53,2.56,2.2,-28.78,1.44
14,15,300809,华辰装备,43.25,-0.44,-0.19,142847,614743854.84,5.64,44.43,41.98,43.0,43.44,10.12,141.65,6.87
15,16,301525,儒竞科技,86.1,-0.52,-0.45,27706,240504450.52,4.96,89.0,84.71,85.69,86.55,5.61,40.93,2.57
16,17,300112,万讯自控,9.89,-0.6,-0.06,254001,255931926.0,7.04,10.41,9.71,9.94,9.95,10.69,-39.14,2.72
17,18,002035,华帝股份,7.46,-0.8,-0.06,110539,82731581.92,2.13,7.57,7.41,7.52,7.52,1.42,11.75,1.71
18,19,688539,高华科技,28.03,-0.81,-0.23,15418,42986260.0,2.05,28.24,27.66,28.1,28.26,1.5,87.51,2.99
19,20,002248,华东数控,9.4,-1.05,-0.1,264710,248420438.0,3.79,9.6,9.24,9.46,9.5,8.61,236.06,40.47
20,21,601138,工业富联,20.63,-1.06,-0.22,714499,1479176185.0,1.58,20.91,20.58,20.78,20.85,0.36,17.65,2.68
21,22,603656,泰禾智能,19.83,-1.29,-0.26,35382,70275225.0,1.69,20.06,19.72,20.0,20.09,1.93,169.37,2.82
22,23,688768,容知日新,51.45,-1.51,-0.79,10753,55464134.0,3.81,52.5,50.51,51.99,52.24,1.32,41.85,4.29
23,24,688128,中国电研,22.86,-1.59,-0.37,33920,78359146.0,2.63,23.42,22.81,23.14,23.23,0.84,19.87,2.87
24,25,603221,爱丽家居,9.84,-1.6,-0.16,30332,29995154.0,1.7,9.99,9.82,9.96,10.0,1.26,19.29,1.56
25,26,603135,中重科技,11.13,-1.68,-0.19,110815,123780872.0,3.36,11.41,11.03,11.2,11.32,4.39,768.18,2.36
26,27,002685,华东重机,6.72,-1.9,-0.13,405331,276213316.04,4.23,6.99,6.7,6.84,6.85,4.02,150.11,4.63
27,28,301041,金百泽,26.91,-2.07,-0.57,26524,71971587.0,2.44,27.52,26.85,27.4,27.48,3.36,100.52,4.27
28,29,001339,智微智能,56.09,-2.13,-1.22,117868,671751652.54,6.0,58.75,55.31,56.11,57.31,16.12,128.15,6.91
29,30,601727,上海电气,7.94,-2.22,-0.18,1522651,1217082871.0,2.59,8.09,7.88,8.09,8.12,1.2,122.35,2.31
30,31,603066,音飞储存,12.4,-2.44,-0.31,139228,173335368.0,3.7,12.73,12.26,12.64,12.71,4.73,25.78,2.52
31,32,688060,云涌科技,36.23,-2.5,-0.93,2853,10459189.0,3.77,37.57,36.17,37.0,37.16,0.47,-224.34,2.33
32,33,300002,神州泰岳,13.72,-2.56,-0.36,637755,882881690.04,3.27,14.12,13.66,14.01,14.08,3.5,18.69,3.83
