,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300067,安诺其,7.41,15.6,1.0,4137554,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
1,2,300700,岱勒新材,10.05,11.92,1.07,660570,671187574.3,19.82,10.78,9.0,9.0,8.98,24.42,-35.18,3.46
2,3,603028,赛福天,8.31,10.07,0.76,71252,59210744.0,0.0,8.31,8.31,8.31,7.55,2.48,-64.65,3.58
3,4,002165,红 宝 丽,5.48,10.04,0.5,1046017,555926006.92,8.63,5.48,5.05,5.08,4.98,14.38,65.56,2.0
4,5,001212,中旗新材,27.9,6.41,1.68,83970,226725334.76,8.7,27.98,25.7,26.21,26.22,8.2,67.69,2.15
5,6,600558,大西洋,5.3,4.95,0.25,878991,461862271.0,10.3,5.49,4.97,4.97,5.05,9.79,41.4,2.08
6,7,300963,中洲特材,10.4,4.42,0.44,333806,337372393.52,7.53,10.4,9.65,9.76,9.96,16.65,35.1,3.32
7,8,600810,神马股份,8.86,4.24,0.36,394810,344007950.0,8.82,9.15,8.4,8.41,8.5,3.93,268.23,1.3
8,9,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
9,10,001379,腾达科技,24.88,4.01,0.96,180802,452289687.89,12.21,26.31,23.39,23.51,23.92,26.87,64.82,3.43
10,11,002057,中钢天源,8.82,3.76,0.32,696511,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
11,12,688357,建龙微纳,27.78,3.54,0.95,24966,68103682.0,5.4,27.99,26.54,27.05,26.83,2.5,37.35,1.55
12,13,002080,中材科技,15.23,3.04,0.45,410748,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
13,14,603181,皇马科技,12.58,2.53,0.31,112915,140482819.0,4.07,12.65,12.15,12.23,12.27,1.92,19.45,2.47
14,15,600456,宝钛股份,36.68,2.43,0.87,673885,2514465969.0,8.91,39.08,35.89,35.92,35.81,14.1,25.44,2.54
15,16,000973,佛塑科技,7.08,2.16,0.15,442698,309436203.54,4.62,7.1,6.78,6.89,6.93,4.58,61.72,2.42
16,17,002318,久立特材,23.79,2.15,0.5,74621,178013418.33,3.99,24.08,23.15,23.3,23.29,0.78,16.69,3.07
17,18,301591,肯特股份,43.04,2.01,0.85,65019,278635983.0,7.75,44.4,41.13,41.8,42.19,19.15,45.86,4.2
18,19,300952,恒辉安防,33.58,1.97,0.65,175462,603691030.71,7.99,35.58,32.95,32.95,32.93,19.56,42.23,3.74
19,20,002129,TCL中环,9.32,1.86,0.17,1377266,1291151630.51,3.72,9.53,9.19,9.19,9.15,3.41,-4.66,1.09
20,21,603155,新亚强,14.61,1.81,0.26,123608,178756793.0,5.92,14.85,14.0,14.15,14.35,3.91,34.93,1.96
21,22,300537,广信材料,20.13,1.67,0.33,151418,304519747.98,5.71,20.47,19.34,19.71,19.8,10.52,84.05,4.93
22,23,300842,帝科股份,54.99,1.66,0.9,116625,635744800.44,4.84,55.79,53.17,54.18,54.09,9.32,21.49,4.62
23,24,688231,隆达股份,16.33,1.62,0.26,56054,92694801.0,6.6,17.08,16.02,16.07,16.07,4.43,60.49,1.49
24,25,000592,平潭发展,3.33,1.52,0.05,2332360,772205186.94,5.49,3.38,3.2,3.24,3.28,12.18,213.79,3.17
25,26,688388,嘉元科技,19.24,1.42,0.27,123026,237298820.0,3.85,19.62,18.89,18.9,18.97,2.89,-37.17,1.19
26,27,300034,钢研高纳,17.18,1.18,0.2,365695,633724676.4,4.71,17.66,16.86,16.91,16.98,4.77,43.72,3.63
27,28,688019,安集科技,153.8,1.14,1.73,20985,320351376.0,2.24,154.5,151.09,151.09,152.07,1.62,36.92,7.39
28,29,600273,嘉化能源,8.02,1.13,0.09,231380,185587242.0,2.14,8.08,7.91,7.93,7.93,1.66,10.58,1.12
29,30,300179,四方达,10.73,1.13,0.12,457003,490913474.62,5.18,10.96,10.41,10.5,10.61,12.17,41.61,4.37
30,31,300993,玉马科技,10.87,1.12,0.12,143943,155796117.95,3.91,11.0,10.58,10.73,10.75,5.97,19.62,2.43
31,32,688102,斯瑞新材,10.01,1.11,0.11,114294,113676317.0,3.84,10.1,9.72,9.88,9.9,1.57,62.1,6.55
32,33,833394,民士达,27.4,1.03,0.28,42700,117048487.55,4.13,27.98,26.86,27.03,27.12,8.9,39.86,5.6
33,34,002389,航天彩虹,21.23,0.95,0.2,201903,424867987.8,3.47,21.45,20.72,20.79,21.03,2.04,2566.13,2.64
34,35,300586,美联新材,9.05,0.89,0.08,241286,218971391.45,5.57,9.3,8.8,8.91,8.97,4.51,132.17,3.36
35,36,838971,天马新材,33.05,0.89,0.29,49031,158962508.21,8.94,33.99,31.06,31.77,32.76,5.79,66.73,7.76
36,37,688281,华秦科技,90.6,0.88,0.79,17971,162981678.0,3.23,91.99,89.09,89.3,89.81,1.48,42.6,3.88
37,38,301019,宁波色母,17.99,0.78,0.14,74704,134565834.44,6.16,18.58,17.48,17.78,17.85,6.7,31.63,2.72
38,39,601117,中国化学,7.51,0.67,0.05,764415,576481405.0,2.14,7.61,7.45,7.45,7.46,1.26,8.97,0.76
39,40,300777,中简科技,35.58,0.65,0.23,109419,388185850.97,2.86,35.96,34.95,35.3,35.35,2.58,50.76,3.68
40,41,002469,三维化学,8.04,0.63,0.05,275588,221943241.0,2.25,8.11,7.93,7.93,7.99,4.38,26.81,2.0
41,42,300055,万邦达,5.42,0.56,0.03,159586,86841673.77,2.97,5.52,5.36,5.41,5.39,2.52,667.51,0.88
42,43,600500,中化国际,3.86,0.52,0.02,256274,99121883.0,1.82,3.9,3.83,3.84,3.84,0.71,-20.12,0.92
43,44,002076,星光股份,4.09,0.49,0.02,1007707,408812980.17,3.93,4.13,3.97,4.04,4.07,9.75,-1660.4,14.04
44,45,301538,骏鼎达,75.89,0.44,0.33,17592,134644017.76,5.07,78.01,74.18,75.48,75.56,7.89,27.6,3.52
45,46,300398,飞凯材料,16.52,0.43,0.07,268655,448387780.93,4.07,16.9,16.23,16.4,16.45,5.1,31.91,2.28
46,47,002091,江苏国泰,7.71,0.39,0.03,176669,136409131.67,1.69,7.79,7.66,7.66,7.68,1.11,11.26,0.8
47,48,603010,万盛股份,10.58,0.38,0.04,38206,40387378.0,1.71,10.66,10.48,10.54,10.54,0.79,39.37,1.59
48,49,002132,恒星科技,3.05,0.33,0.01,411358,126078387.4,3.29,3.12,3.02,3.02,3.04,2.94,172.26,1.18
49,50,300699,光威复材,33.54,0.3,0.1,209082,707800058.86,4.16,34.6,33.21,33.83,33.44,2.55,37.32,5.03
50,51,002686,亿利达,6.76,0.3,0.02,374226,253769564.78,6.82,7.05,6.59,6.68,6.74,7.16,61.79,2.32
51,52,600623,华谊集团,7.25,0.28,0.02,262456,189115496.0,2.49,7.3,7.12,7.2,7.23,1.41,19.22,0.68
52,53,000881,中广核技,7.26,0.28,0.02,157528,114867638.6,3.45,7.41,7.16,7.17,7.24,1.99,-38.31,1.26
53,54,600458,时代新材,14.04,0.21,0.03,132941,189696790.0,4.21,14.52,13.93,13.93,14.01,1.66,28.49,1.93
54,55,000786,北新建材,30.25,0.17,0.05,75191,227974293.6,2.25,30.7,30.02,30.11,30.2,0.46,12.19,2.03
55,56,301522,上大股份,38.05,0.16,0.06,49339,187772766.0,2.13,38.48,37.67,37.8,37.99,6.98,87.57,7.61
56,57,688122,西部超导,47.8,0.13,0.06,82155,395138886.0,2.97,48.63,47.21,47.65,47.74,1.26,38.35,4.68
57,58,000737,北方铜业,10.15,0.1,0.01,1400533,1464212814.51,9.07,10.95,10.03,10.03,10.14,7.9,26.53,3.12
58,59,301611,珂玛科技,58.27,0.02,0.01,32965,193205419.87,3.43,59.55,57.55,58.26,58.26,5.49,84.39,17.65
59,60,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
60,61,600490,鹏欣资源,3.91,0.0,0.0,1164093,462374449.0,4.6,4.07,3.89,3.95,3.91,5.84,-55.45,1.44
