,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408.0,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,831689,克莱特,49.29,19.93,8.19,148112.0,709566126.12,30.58,52.85,40.28,40.37,41.1,39.8,49.74,7.76
2,3,300569,天能重工,6.32,19.92,1.05,1277900.0,770810997.99,19.92,6.32,5.27,5.38,5.27,12.56,841.41,1.18
3,4,300185,通裕重工,2.9,7.41,0.2,3683071.0,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
4,5,002342,巨力索具,6.39,7.39,0.44,3637474.0,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
5,6,300125,ST聆达,8.34,6.92,0.54,257860.0,208096066.84,6.67,8.35,7.83,8.01,7.8,9.71,-2.94,-14.16
6,7,002529,海源复材,9.41,6.81,0.6,401738.0,376225702.06,7.04,9.69,9.07,9.32,8.81,15.45,-43.72,5.99
7,8,301155,海力风电,67.38,5.23,3.35,91948.0,612317439.52,7.11,68.3,63.75,64.68,64.03,7.83,126.56,2.68
8,9,002083,孚日股份,5.3,4.54,0.23,790927.0,417778637.5,8.88,5.5,5.05,5.06,5.07,8.36,11.18,1.09
9,10,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
10,11,603169,兰石重装,6.13,3.9,0.23,657432.0,402467335.0,5.59,6.23,5.9,5.92,5.9,5.03,62.24,2.47
11,12,001258,立新能源,7.02,3.54,0.24,356764.0,248958297.97,5.9,7.15,6.75,6.76,6.78,7.61,37.93,2.18
12,13,002857,三晖电气,15.79,3.41,0.52,96824.0,150056929.0,8.45,15.98,14.69,15.0,15.27,7.56,-71.81,4.2
13,14,000533,顺钠股份,7.38,3.36,0.24,1194634.0,868909368.54,8.26,7.6,7.01,7.06,7.14,17.44,53.64,6.02
14,15,300129,泰胜风能,7.83,3.3,0.25,811172.0,640896030.48,8.18,8.15,7.53,7.53,7.58,12.21,36.78,1.66
15,16,601615,明阳智能,12.05,3.26,0.38,900217.0,1081583348.0,5.66,12.24,11.58,11.64,11.67,3.96,25.39,1.01
16,17,002478,常宝股份,5.57,3.15,0.17,475708.0,263519731.44,4.63,5.63,5.38,5.39,5.4,6.61,9.15,0.93
17,18,002080,中材科技,15.23,3.04,0.45,410748.0,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
18,19,002564,*ST天沃,4.1,2.76,0.11,209405.0,85852398.09,4.51,4.18,4.0,4.01,3.99,2.44,481.3,29.37
19,20,000507,珠海港,5.39,2.28,0.12,530619.0,284622124.9,3.61,5.44,5.25,5.25,5.27,5.88,15.57,0.94
20,21,603693,江苏新能,10.97,2.05,0.22,174315.0,191422337.0,4.84,11.2,10.68,10.68,10.75,1.96,17.3,1.46
21,22,002531,天顺风能,7.86,1.95,0.15,613656.0,484760921.58,5.19,8.05,7.65,7.65,7.71,3.43,36.32,1.56
22,23,002129,TCL中环,9.32,1.86,0.17,1377266.0,1291151630.51,3.72,9.53,9.19,9.19,9.15,3.41,-4.66,1.09
23,24,688348,昱能科技,51.47,1.68,0.85,45978.0,234473272.0,5.02,52.27,49.73,50.35,50.62,5.71,56.52,2.22
24,25,300842,帝科股份,54.99,1.66,0.9,116625.0,635744800.44,4.84,55.79,53.17,54.18,54.09,9.32,21.49,4.62
25,26,000035,中国天楹,4.98,1.63,0.08,582984.0,291680832.44,4.08,5.08,4.88,4.89,4.9,2.4,25.7,1.14
26,27,600644,乐山电力,6.97,1.6,0.11,222722.0,155244967.0,3.64,7.05,6.8,6.8,6.86,4.14,44.09,1.93
27,28,002202,金风科技,9.67,1.26,0.12,990531.0,961288112.37,4.4,9.89,9.47,9.52,9.55,2.95,17.1,1.11
28,29,002256,兆新股份,2.46,1.23,0.03,536960.0,131560838.0,4.12,2.5,2.4,2.43,2.43,3.73,-40.44,4.11
29,30,600273,嘉化能源,8.02,1.13,0.09,231380.0,185587242.0,2.14,8.08,7.91,7.93,7.93,1.66,10.58,1.12
30,31,600582,天地科技,6.53,1.08,0.07,808618.0,525787407.0,2.32,6.57,6.42,6.5,6.46,1.95,10.31,1.11
31,32,002389,航天彩虹,21.23,0.95,0.2,201903.0,424867987.8,3.47,21.45,20.72,20.79,21.03,2.04,2566.13,2.64
32,33,600736,苏州高新,6.08,0.83,0.05,288652.0,173609593.0,3.98,6.15,5.91,6.05,6.03,2.51,22.15,0.94
33,34,000012,南  玻Ａ,5.05,0.8,0.04,234216.0,118090785.04,1.4,5.07,5.0,5.01,5.01,1.2,14.79,1.1
34,35,600098,广州发展,6.38,0.79,0.05,218505.0,139656882.0,1.58,6.42,6.32,6.33,6.33,0.62,10.57,0.84
35,36,000899,赣能股份,9.1,0.78,0.07,344092.0,315399947.91,3.77,9.29,8.95,8.95,9.03,3.53,10.42,1.57
36,37,300187,永清环保,5.3,0.76,0.04,115374.0,61750333.96,3.99,5.45,5.24,5.26,5.26,1.79,30.66,3.18
37,38,688599,天合光能,17.8,0.74,0.13,292183.0,520531517.0,2.38,18.0,17.58,17.6,17.67,1.34,-11.23,1.47
38,39,000993,闽东电力,9.12,0.66,0.06,149432.0,136223703.42,2.32,9.2,8.99,9.0,9.06,3.4,27.37,1.68
39,40,000720,新能泰山,3.04,0.66,0.02,152129.0,46476958.0,2.98,3.1,3.01,3.03,3.02,1.21,-66.54,1.56
40,41,601016,节能风电,3.13,0.64,0.02,850023.0,265804255.0,1.93,3.15,3.09,3.1,3.11,1.42,12.88,1.18
41,42,600805,悦达投资,4.8,0.63,0.03,157296.0,75889399.0,3.77,4.9,4.72,4.73,4.77,1.85,121.85,0.93
42,43,600509,天富能源,6.57,0.61,0.04,391800.0,258008699.0,2.91,6.68,6.49,6.5,6.53,2.85,13.71,1.17
