,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600250,南京商旅,9.96,10.06,0.91,266959,253825254.0,12.27,9.96,8.85,9.01,9.05,8.6,59.35,5.15
1,2,603466,风语筑,9.51,6.14,0.55,310160,290255215.0,4.91,9.58,9.14,9.4,8.96,5.21,35.11,2.56
2,3,600576,祥源文旅,10.21,4.4,0.43,147011,148330578.0,7.06,10.35,9.66,9.68,9.78,2.23,73.29,3.87
3,4,300144,宋城演艺,10.26,4.27,0.42,1085460,1097439654.46,5.79,10.3,9.73,9.77,9.84,4.61,20.03,3.34
4,5,000793,ST华闻,2.52,4.13,0.1,605425,152455766.5,5.79,2.54,2.4,2.4,2.42,3.09,-36.0,6.04
5,6,000069,华侨城Ａ,2.49,2.89,0.07,853735,212630931.58,6.2,2.54,2.39,2.4,2.42,1.24,-2.31,0.4
6,7,600640,国脉文化,11.43,2.88,0.32,49780,55732470.0,3.96,11.43,10.99,11.08,11.11,0.63,513.71,2.29
7,8,002707,众信旅游,8.78,2.81,0.24,900961,786236300.52,6.56,8.96,8.4,8.46,8.54,10.92,52.4,9.78
8,9,603388,ST元成,3.84,2.67,0.1,216504,83567244.0,7.75,3.93,3.64,3.74,3.74,6.65,-11.31,1.15
9,10,603199,九华旅游,41.15,2.59,1.04,91430,371445737.0,7.38,42.19,39.23,39.9,40.11,8.26,24.49,3.16
10,11,600258,首旅酒店,16.33,2.19,0.35,423543,682892915.0,9.32,16.99,15.5,15.83,15.98,3.79,22.61,1.56
11,12,002244,滨江集团,10.09,2.13,0.21,478071,492189823.38,7.89,10.61,9.83,9.83,9.88,1.78,14.41,1.18
12,13,002033,丽江股份,10.06,2.03,0.2,370592,370026778.45,4.26,10.15,9.73,9.8,9.86,6.74,26.21,2.19
13,14,000796,凯撒旅业,4.23,1.68,0.07,957803,402024733.14,4.81,4.28,4.08,4.16,4.16,7.2,-280.19,7.9
14,15,000610,西安旅游,13.97,1.6,0.22,276717,383028321.42,5.96,14.23,13.41,13.62,13.75,11.75,-28.56,8.06
15,16,000888,峨眉山Ａ,15.49,1.57,0.24,348695,533502297.64,4.72,15.62,14.9,15.15,15.25,6.62,25.1,3.1
16,17,300005,探路者,9.95,1.53,0.15,908507,893322708.62,6.22,10.13,9.52,9.79,9.8,10.29,64.81,4.21
17,18,000978,桂林旅游,6.67,1.37,0.09,187543,124010670.0,3.65,6.71,6.47,6.54,6.58,5.21,-15.27,2.91
18,19,002627,三峡旅游,5.54,1.28,0.07,313991,172707675.2,3.66,5.6,5.4,5.46,5.47,4.38,26.9,1.3
19,20,600138,中青旅,10.52,1.25,0.13,239697,250688691.0,3.18,10.59,10.26,10.33,10.39,3.31,47.46,1.21
20,21,301262,海看股份,22.89,1.19,0.27,9198,20977521.48,1.95,22.94,22.5,22.59,22.62,0.75,21.75,2.73
21,22,603136,天目湖,12.96,1.09,0.14,193476,248458600.0,8.42,13.4,12.32,12.61,12.82,7.16,30.74,2.65
22,23,603721,中广天择,22.73,0.98,0.22,16463,37275766.0,3.2,22.83,22.11,22.11,22.51,1.27,-2309.64,5.75
23,24,002780,三夫户外,11.18,0.9,0.1,82080,90995975.2,4.51,11.3,10.8,10.9,11.08,6.28,154.32,2.53
24,25,300133,华策影视,6.76,0.6,0.04,335841,226606348.08,3.13,6.83,6.62,6.64,6.72,2.07,57.98,1.82
25,26,600088,中视传媒,16.67,-0.89,-0.15,28419,47629678.0,1.78,16.9,16.6,16.65,16.82,0.71,44.94,4.83
26,27,000524,岭南控股,13.77,-3.44,-0.49,593123,810890578.27,6.31,14.26,13.36,13.7,14.26,8.85,61.46,4.07
