,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
1,2,603776,永安行,24.61,10.01,2.24,148743,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
2,3,603686,福龙马,13.97,10.0,1.27,460403,606243665.0,10.79,13.97,12.6,12.6,12.7,11.08,37.72,1.75
3,4,300516,久之洋,39.5,7.16,2.64,126367,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
4,5,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
5,6,300807,天迈科技,41.15,5.51,2.15,83334,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
6,7,300198,纳川股份,2.91,5.43,0.15,3092782,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
7,8,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
8,9,688788,科思科技,70.64,4.48,3.03,31000,216670918.0,7.57,71.87,66.75,67.02,67.61,2.93,-26.38,3.45
9,10,300698,万马科技,41.95,3.38,1.37,69156,284732598.32,8.5,42.8,39.35,40.9,40.58,5.83,135.02,11.85
10,11,300177,中海达,12.8,3.23,0.4,1456461,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
11,12,603211,晋拓股份,22.92,3.15,0.7,316385,720267601.0,9.45,23.5,21.4,21.69,22.22,46.56,108.48,5.28
12,13,688502,茂莱光学,266.01,3.1,7.99,9482,250040438.0,5.53,269.8,255.52,258.02,258.02,5.64,332.88,11.92
13,14,002383,合众思壮,8.82,2.44,0.21,383237,336332254.04,5.11,8.95,8.51,8.63,8.61,6.22,-76.85,3.57
14,15,001230,劲旅环境,20.19,2.28,0.45,29024,58220047.89,4.56,20.5,19.6,19.69,19.74,5.37,17.7,1.48
15,16,002444,巨星科技,29.19,2.03,0.58,221899,645123361.88,2.45,29.36,28.66,28.68,28.61,1.94,13.51,2.15
16,17,603228,景旺电子,35.69,1.97,0.69,270611,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
17,18,301421,波长光电,56.66,1.94,1.08,115947,659229785.72,6.64,58.3,54.61,54.61,55.58,25.04,159.57,5.54
