,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300461,田中精机,25.6,10.44,2.42,198138,496016992.0,17.26,26.65,22.65,22.86,23.18,24.62,-87.83,6.19
1,2,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
2,3,000400,许继电气,25.13,0.96,0.24,262887,662110256.49,2.77,25.5,24.81,24.81,24.89,2.61,21.46,2.31
3,4,300870,欧陆通,148.3,0.77,1.13,31075,461576205.73,3.74,151.5,146.0,146.0,147.17,2.94,75.01,7.26
4,5,002885,京泉华,15.54,0.65,0.1,344706,525297024.99,7.51,15.82,14.66,15.12,15.44,14.83,74.85,2.96
5,6,603195,公牛集团,73.3,0.41,0.3,16129,117366266.0,2.15,73.64,72.07,72.85,73.0,0.13,21.77,6.38
6,7,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
7,8,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
8,9,600330,天通股份,7.33,-0.81,-0.06,245486,181817652.0,2.71,7.52,7.32,7.4,7.39,1.99,54.59,1.13
9,10,002475,立讯精密,39.86,-1.39,-0.56,644422,2592809766.74,3.93,41.19,39.6,40.65,40.42,0.89,23.86,4.5
10,11,002635,安洁科技,16.63,-1.77,-0.3,187212,315396308.44,3.25,17.17,16.62,16.8,16.93,4.73,37.14,1.89
11,12,002138,顺络电子,29.92,-1.9,-0.58,129983,390423403.92,2.95,30.6,29.7,30.41,30.5,1.73,28.99,3.85
12,13,000049,德赛电池,23.61,-1.99,-0.48,64127,152547251.89,2.49,24.11,23.51,24.05,24.09,1.67,30.8,1.42
13,14,688396,华润微,45.79,-2.05,-0.96,60870,280656440.0,2.33,46.8,45.71,46.5,46.75,0.46,78.35,2.71
14,15,300207,欣旺达,22.63,-2.12,-0.49,255161,582548237.17,3.03,23.26,22.56,23.04,23.12,1.49,25.84,1.77
15,16,002735,王子新材,9.54,-2.25,-0.22,96585,92838856.6,2.66,9.76,9.5,9.72,9.76,3.44,212.16,2.03
16,17,002121,科陆电子,4.63,-2.32,-0.11,209274,97800901.5,2.74,4.75,4.62,4.73,4.74,1.49,-16.58,15.4
17,18,300787,海能实业,13.55,-2.38,-0.33,40029,54633702.8,2.74,13.88,13.5,13.88,13.88,2.48,52.49,2.45
18,19,300686,智动力,9.01,-2.8,-0.26,75842,68744917.72,3.24,9.27,8.97,9.19,9.27,3.92,-21.87,2.11
19,20,000063,中兴通讯,35.11,-3.01,-1.09,1275809,4519847650.36,3.29,36.19,35.0,36.01,36.2,3.17,19.94,2.31
20,21,301489,思泉新材,62.91,-3.02,-1.96,16618,106028870.02,3.51,65.12,62.84,64.38,64.87,4.89,65.24,3.55
21,22,001696,宗申动力,22.41,-3.2,-0.74,306569,693986710.6,3.07,23.1,22.39,23.03,23.15,3.44,49.2,5.22
22,23,300327,中颖电子,24.03,-3.26,-0.81,87981,213752909.99,2.98,24.76,24.02,24.76,24.84,2.59,68.39,4.83
23,24,002298,中电鑫龙,5.87,-3.29,-0.2,428172,253333553.93,3.13,6.04,5.85,6.02,6.07,6.55,-8.67,1.34
24,25,002906,华阳集团,34.87,-3.7,-1.34,97412,343461692.98,5.0,36.48,34.67,36.48,36.21,1.86,29.54,2.92
25,26,600699,均胜电子,18.22,-3.85,-0.73,277451,511377093.0,3.59,18.88,18.2,18.87,18.95,2.03,20.45,1.89
26,27,002055,得润电子,6.23,-3.86,-0.25,353713,221898342.0,4.01,6.47,6.21,6.43,6.48,5.98,-22.46,1.51
27,28,300322,硕贝德,13.92,-4.07,-0.59,228315,321571178.65,4.48,14.49,13.84,14.4,14.51,5.13,1333.52,6.26
28,29,002590,万安科技,13.83,-4.09,-0.59,245544,342913895.64,3.74,14.32,13.78,14.32,14.42,4.96,36.48,2.54
29,30,603595,东尼电子,20.78,-4.46,-0.97,62265,131526431.0,5.15,21.82,20.7,21.74,21.75,2.68,-85.02,3.2
30,31,688458,美芯晟,36.74,-4.52,-1.74,24968,92650043.0,3.9,38.07,36.57,37.81,38.48,2.97,-61.31,2.17
31,32,002036,联创电子,11.88,-4.65,-0.58,672578,809579175.59,4.33,12.4,11.86,12.32,12.46,6.39,-204.39,4.69
32,33,300866,安克创新,99.0,-4.72,-4.9,42092,421081319.7,5.49,103.88,98.18,103.03,103.9,1.42,26.81,6.36
33,34,002861,瀛通通讯,14.16,-4.84,-0.72,136546,196402646.9,4.3,14.79,14.15,14.63,14.88,9.09,-60.43,2.42
34,35,300136,信维通信,25.38,-5.19,-1.39,450547,1166120575.65,5.23,26.7,25.3,26.5,26.77,5.46,34.54,3.42
35,36,002993,奥海科技,42.85,-5.41,-2.45,66573,290076397.2,4.86,45.01,42.81,45.0,45.3,2.8,29.52,2.47
36,37,002139,拓邦股份,15.7,-5.88,-0.98,740920,1181653755.1,5.1,16.51,15.66,16.5,16.68,6.92,29.21,2.93
37,38,605488,福莱新材,47.9,-6.04,-3.08,77321,375536637.0,5.24,50.44,47.77,50.03,50.98,4.0,100.7,6.75
38,39,301622,英思特,71.77,-6.17,-4.72,36859,270881026.0,5.82,76.22,71.77,75.6,76.49,13.41,45.38,5.89
39,40,002681,奋达科技,8.3,-6.21,-0.55,1489567,1258753703.44,4.52,8.65,8.25,8.65,8.85,9.65,73.38,6.06
40,41,002594,比亚迪,372.0,-7.0,-27.99,282107,10685254370.83,5.83,393.31,370.0,393.01,399.99,2.43,33.6,7.27
41,42,002577,雷柏科技,23.43,-7.54,-1.91,137075,327532845.91,5.49,24.82,23.43,24.62,25.34,4.85,145.44,5.61
