,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301136,招标股份,13.95,10.1,1.28,319982,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
1,2,300826,测绘股份,16.98,3.85,0.63,97271,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
2,3,300177,中海达,12.8,3.23,0.4,1456461,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
3,4,301390,经纬股份,37.05,1.81,0.66,39969,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
4,5,688651,盛邦安全,39.3,0.0,0.0,15369,60865093.0,6.9,40.98,38.27,39.29,39.3,4.88,147.2,2.97
5,6,003013,地铁设计,15.28,-0.52,-0.08,25928,39698383.0,1.69,15.45,15.19,15.27,15.36,0.65,15.78,2.45
6,7,600118,中国卫星,27.68,-0.61,-0.17,157287,439785915.0,2.66,28.32,27.58,27.8,27.85,1.33,-1665.37,5.21
7,8,688066,航天宏图,21.13,-0.98,-0.21,158924,339266566.0,4.45,21.88,20.93,21.0,21.34,6.08,-3.86,5.62
8,9,603559,*ST通脉,8.27,-1.19,-0.1,14284,11854467.0,5.02,8.53,8.11,8.39,8.37,0.36,-29.52,5.11
9,10,688509,正元地信,4.16,-1.19,-0.05,84104,35136451.0,2.61,4.24,4.13,4.21,4.21,2.19,-17.9,2.46
10,11,000925,众合科技,8.91,-2.2,-0.2,459177,410755545.0,3.95,9.16,8.8,9.02,9.11,6.8,-51.97,1.83
11,12,300036,超图软件,16.92,-2.37,-0.41,91153,155863895.55,2.77,17.36,16.88,17.24,17.33,2.08,237.7,2.92
12,13,002236,大华股份,17.85,-2.88,-0.53,1062577,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
13,14,300053,航宇微,13.87,-3.28,-0.47,209559,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
14,15,002298,中电鑫龙,5.87,-3.29,-0.2,428172,253333553.93,3.13,6.04,5.85,6.02,6.07,6.55,-8.67,1.34
15,16,301169,零点有数,39.77,-3.61,-1.49,13938,55978413.0,4.17,41.3,39.58,41.3,41.26,1.94,-32.0,5.5
16,17,002355,兴民智通,7.31,-3.69,-0.28,409670,302748200.47,3.56,7.57,7.3,7.52,7.59,6.63,25.2,3.78
17,18,300588,熙菱信息,13.6,-4.02,-0.57,65416,89865748.4,5.72,14.25,13.44,14.25,14.17,3.7,-76.5,7.29
18,19,301221,光庭信息,50.95,-4.23,-2.25,34071,176814849.0,4.32,53.15,50.85,52.81,53.2,7.81,322.93,2.35
19,20,600410,华胜天成,9.02,-4.35,-0.41,726730,663182272.0,3.5,9.35,9.02,9.35,9.43,6.63,-34.66,2.42
20,21,301172,君逸数码,29.76,-4.95,-1.55,44240,133714896.33,4.54,31.15,29.73,31.0,31.31,6.3,90.88,2.54
21,22,300287,飞利信,6.89,-5.1,-0.37,1295274,901878684.54,3.58,7.15,6.89,7.12,7.26,9.88,-59.79,7.86
22,23,300324,旋极信息,4.69,-5.25,-0.26,1275093,605906779.68,4.24,4.87,4.66,4.87,4.95,7.46,-42.23,2.7
23,24,430564,天润科技,22.3,-6.18,-1.47,27893,64106893.68,7.24,23.96,22.24,23.5,23.77,8.26,206.93,5.15
24,25,300047,天源迪科,14.61,-6.59,-1.03,738635,1099247023.05,5.24,15.42,14.6,15.4,15.64,13.44,216.78,2.8
