,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,301079,邵阳液压,29.06,19.98,4.84,274491,789379368.32,10.73,29.06,26.46,28.28,24.22,39.82,140.73,6.49
2,3,600320,振华重工,4.92,10.07,0.45,1159817,567077307.0,2.91,4.92,4.79,4.85,4.47,3.49,44.91,1.7
3,4,603028,赛福天,8.31,10.07,0.76,71252,59210744.0,0.0,8.31,8.31,8.31,7.55,2.48,-64.65,3.58
4,5,002204,大连重工,7.0,10.06,0.64,230333,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
5,6,002278,神开股份,11.29,10.04,1.03,1299283,1454305402.04,5.46,11.29,10.73,10.73,10.26,38.88,152.1,3.69
6,7,600097,开创国际,11.73,10.04,1.07,64274,75393402.0,0.0,11.73,11.73,11.73,10.66,2.67,129.41,1.29
7,8,603949,雪龙集团,21.31,10.02,1.94,303167,626047286.0,9.45,21.31,19.48,21.31,19.37,14.42,75.7,4.48
8,9,603767,中马传动,20.43,10.02,1.86,652797,1301152153.0,7.11,20.43,19.11,19.98,18.57,21.15,94.35,4.37
9,10,002633,申科股份,15.7,10.02,1.43,232703,355702359.69,13.1,15.7,13.83,14.24,14.27,15.59,251.68,5.61
10,11,603776,永安行,24.61,10.01,2.24,148743,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
11,12,002406,远东传动,10.88,10.01,0.99,3413554,3643606182.42,7.08,10.88,10.18,10.88,9.89,56.68,69.11,1.99
12,13,001239,永达股份,19.8,10.0,1.8,418829,816925273.54,9.11,19.8,18.16,19.15,18.0,36.74,78.92,3.74
13,14,002553,南方精工,25.65,9.99,2.33,1186067,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
14,15,002713,东易日盛,7.05,9.98,0.64,49340,34784841.0,0.0,7.05,7.05,7.05,6.41,1.2,-3.82,-5.72
