,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002165,红 宝 丽,5.48,10.04,0.5,1046017,555926006.92,8.63,5.48,5.05,5.08,4.98,14.38,65.56,2.0
1,2,000779,甘咨询,11.97,10.02,1.09,740426,827036859.0,12.68,11.97,10.59,10.7,10.88,15.93,23.14,1.47
2,3,603280,南方路机,28.0,10.02,2.55,92157,249020109.0,12.89,28.0,24.72,24.96,25.45,32.98,27.02,2.33
3,4,000555,神州信息,15.96,9.99,1.45,1360664,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
4,5,000908,*ST景峰,4.84,4.99,0.23,544335,258318365.53,6.72,4.84,4.53,4.53,4.61,6.9,-65.42,-35.72
5,6,600810,神马股份,8.86,4.24,0.36,394810,344007950.0,8.82,9.15,8.4,8.41,8.5,3.93,268.23,1.3
6,7,002696,百洋股份,5.96,4.01,0.23,512690,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
7,8,600117,西宁特钢,2.38,1.28,0.03,652108,155566838.0,3.83,2.43,2.34,2.36,2.35,2.0,-14.43,1.54
8,9,002765,蓝黛科技,16.07,0.44,0.07,1659055,2730151340.11,8.19,17.12,15.81,15.98,16.0,27.84,75.85,4.28
9,10,000506,*ST中润,5.37,0.37,0.02,290622,156835659.24,3.55,5.48,5.29,5.29,5.35,3.13,-41.53,8.54
10,11,002424,ST百灵,4.25,0.0,0.0,756637,328762783.81,5.65,4.46,4.22,4.3,4.25,6.24,50.5,1.71
11,12,603790,雅运股份,15.93,-0.06,-0.01,91508,141362296.0,6.4,15.93,14.91,15.81,15.94,4.78,35.08,2.5
12,13,600603,ST广物,7.53,-0.92,-0.07,51376,38766742.0,3.29,7.69,7.44,7.46,7.6,0.43,15.97,1.3
13,14,000798,中水渔业,7.77,-1.15,-0.09,421836,336538186.5,7.25,8.27,7.7,7.86,7.86,11.53,131.77,5.8
14,15,000761,本钢板材,4.02,-3.37,-0.14,574493,235542162.68,5.05,4.23,4.02,4.19,4.16,1.55,-3.86,1.28
15,16,600698,湖南天雁,7.7,-3.51,-0.28,956665,748460230.0,7.27,8.18,7.6,7.7,7.98,11.52,5017.1,10.77
16,17,603506,南都物业,11.34,-3.9,-0.46,119282,136893545.0,5.85,11.89,11.2,11.59,11.8,6.35,26.48,1.88
17,18,001318,阳光乳业,15.81,-4.24,-0.7,502326,838597277.19,12.3,17.54,15.51,16.51,16.51,65.19,39.21,3.25
18,19,600589,大位科技,8.77,-4.67,-0.43,2893070,2612622949.0,9.57,9.44,8.56,9.11,9.2,19.57,-585.86,19.47
19,20,000615,ST美谷,3.58,-4.79,-0.18,258230,94725575.0,4.79,3.75,3.57,3.69,3.76,3.39,-24.77,22.05
20,21,600495,晋西车轴,4.32,-4.85,-0.22,881051,385131203.0,3.96,4.48,4.3,4.41,4.54,7.29,651.46,1.61
21,22,603119,浙江荣泰,39.92,-4.95,-2.08,204649,825226193.0,7.67,42.4,39.18,42.0,42.0,10.04,65.39,8.22
22,23,603023,*ST威帝,3.06,-4.97,-0.16,109256,33857578.0,4.97,3.22,3.06,3.17,3.22,1.96,360.98,2.2
23,24,002052,*ST同洲,5.72,-4.98,-0.3,319096,185428882.05,7.14,6.15,5.72,5.9,6.02,4.28,-224.17,-1113.63
24,25,002708,光洋股份,13.35,-5.25,-0.74,971747,1331437205.32,8.52,14.45,13.25,13.64,14.09,18.91,140.06,4.29
