,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002633,申科股份,15.7,10.02,1.43,232703,355702359.69,13.1,15.7,13.83,14.24,14.27,15.59,251.68,5.61
1,2,002406,远东传动,10.88,10.01,0.99,3413554,3643606182.42,7.08,10.88,10.18,10.88,9.89,56.68,69.11,1.99
2,3,002553,南方精工,25.65,9.99,2.33,1186067,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
3,4,603359,东珠生态,7.18,9.95,0.65,111710,80207737.0,0.0,7.18,7.18,7.18,6.53,2.5,183.49,0.97
4,5,002342,巨力索具,6.39,7.39,0.44,3637474,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
5,6,603828,ST柯利达,4.68,4.93,0.22,61833,28831553.0,1.79,4.68,4.6,4.64,4.46,1.04,123.5,3.71
6,7,000595,宝塔实业,7.77,4.86,0.36,1647532,1290996916.9,10.8,8.15,7.35,7.95,7.41,14.48,-111.66,20.82
7,8,000601,韶能股份,5.42,2.65,0.14,2331603,1247927154.33,16.67,5.81,4.93,5.28,5.28,21.58,22.32,1.37
8,9,002168,ST惠程,2.52,-1.18,-0.03,280224,70930629.21,7.45,2.65,2.46,2.58,2.55,3.57,-17.84,-28.51
9,10,002655,共达电声,15.15,-2.45,-0.38,1402904,2163931601.76,13.01,16.47,14.45,14.85,15.53,38.98,70.04,8.21
10,11,001268,联合精密,23.69,-9.99,-2.63,168136,416515912.25,10.07,26.34,23.69,26.0,26.32,41.93,38.19,2.57
11,12,603677,奇精机械,27.91,-10.0,-3.1,264536,751804171.0,5.93,29.75,27.91,28.79,31.01,13.73,79.7,4.66
12,13,000678,襄阳轴承,17.01,-10.0,-1.89,1009595,1771710430.84,10.0,18.9,17.01,18.87,18.9,21.97,-301.4,9.59
