,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
1,2,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
2,3,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
3,4,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
4,5,301396,宏景科技,86.25,3.98,3.3,185315.0,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
5,6,300096,ST易联众,3.91,2.36,0.09,119347.0,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
6,7,300423,昇辉科技,8.2,1.36,0.11,203411.0,167220751.39,4.57,8.39,8.02,8.19,8.09,6.12,187.92,2.74
7,8,002528,ST英飞拓,2.63,1.15,0.03,276229.0,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
8,9,000888,峨眉山Ａ,13.68,0.81,0.11,185062.0,251883454.48,2.65,13.77,13.41,13.41,13.57,3.51,22.16,2.74
9,10,832171,志晟信息,31.9,0.41,0.13,79763.0,257374891.82,7.59,33.1,30.69,30.8,31.77,12.1,-31.43,14.92
10,11,300010,豆神教育,8.11,0.0,0.0,875623.0,708138810.04,2.84,8.2,7.97,8.02,8.11,5.26,113.37,15.45
11,12,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
12,13,603189,网达软件,19.12,-0.62,-0.12,311815.0,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
13,14,688489,三未信安,36.96,-0.75,-0.28,7985.0,29480089.0,3.03,37.33,36.2,37.01,37.24,1.58,100.46,2.29
14,15,600662,外服控股,5.33,-1.11,-0.06,90261.0,48394372.0,2.23,5.42,5.3,5.33,5.39,0.4,18.19,2.73
15,16,603000,人民网,21.64,-1.23,-0.27,122184.0,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
16,17,300021,大禹节水,4.56,-1.3,-0.06,148849.0,68070051.59,1.95,4.63,4.54,4.59,4.62,2.12,97.75,2.09
17,18,603373,安邦护卫,30.62,-1.35,-0.42,9630.0,29704295.0,2.35,31.28,30.55,31.04,31.04,2.12,28.68,1.88
18,19,000156,华数传媒,8.76,-1.57,-0.14,413443.0,366612668.0,3.03,9.01,8.74,8.84,8.9,2.43,30.4,1.09
19,20,688369,致远互联,34.58,-1.71,-0.6,27047.0,93678146.0,4.78,35.76,34.08,34.33,35.18,2.35,-23.76,3.57
20,21,002268,电科网安,17.06,-1.84,-0.32,95738.0,164676479.0,2.53,17.45,17.01,17.38,17.38,1.13,-50.75,2.74
21,22,603232,格尔软件,15.23,-1.93,-0.3,92435.0,141544625.0,4.89,15.79,15.03,15.38,15.53,4.0,-70.89,2.68
22,23,300469,信息发展,36.05,-1.98,-0.73,124051.0,442499280.08,4.05,36.7,35.21,36.28,36.78,5.0,-103.07,17.47
23,24,003040,楚天龙,13.11,-2.09,-0.28,71929.0,94867846.0,2.46,13.39,13.06,13.31,13.39,1.57,-160.3,4.29
24,25,300061,旗天科技,12.66,-2.16,-0.28,196152.0,249669836.16,2.63,12.91,12.57,12.9,12.94,3.16,-312.37,11.16
25,26,688579,山大地纬,10.53,-2.23,-0.24,62955.0,66748902.0,2.88,10.79,10.48,10.75,10.77,1.57,63.4,3.06
26,27,300579,数字认证,29.33,-2.3,-0.69,41087.0,121612943.1,3.26,30.2,29.22,29.88,30.02,1.57,-218.86,8.83
27,28,300168,万达信息,8.46,-2.31,-0.2,253676.0,215725868.16,2.77,8.65,8.41,8.61,8.66,1.76,-16.37,6.89
28,29,301313,凡拓数创,23.64,-2.31,-0.56,28555.0,67957318.0,2.52,24.15,23.54,24.12,24.2,4.28,-14.6,2.81
29,30,300578,会畅通讯,20.21,-2.37,-0.49,42433.0,86578926.0,2.51,20.7,20.18,20.65,20.7,2.19,130.68,3.41
30,31,301218,华是科技,22.53,-2.38,-0.55,23606.0,53603395.5,3.16,23.19,22.46,23.19,23.08,3.37,-411.76,2.78
31,32,300188,国投智能,14.81,-2.44,-0.37,178380.0,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
32,33,300987,川网传媒,15.85,-2.46,-0.4,40810.0,65054330.0,3.26,16.3,15.77,16.13,16.25,2.35,198.62,3.47
33,34,002368,太极股份,25.64,-2.55,-0.67,119727.0,309485436.31,2.77,26.29,25.56,26.06,26.31,1.93,-423.83,3.18
34,35,300546,雄帝科技,19.12,-2.6,-0.51,62422.0,120449530.8,3.16,19.63,19.01,19.45,19.63,4.69,247.68,3.3
35,36,300271,华宇软件,8.2,-2.61,-0.22,227164.0,188464852.54,3.21,8.47,8.2,8.33,8.42,2.85,-18.95,1.64
36,37,300352,北信源,5.58,-2.62,-0.15,350601.0,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
37,38,000948,南天信息,18.74,-2.65,-0.51,116250.0,219263817.0,2.91,19.19,18.63,19.05,19.25,2.98,98.95,2.78
38,39,002301,齐心集团,7.6,-2.69,-0.21,112052.0,85999150.24,2.56,7.8,7.6,7.78,7.81,1.56,25.93,1.73
39,40,002316,ST亚联,3.61,-2.7,-0.1,94511.0,34353613.0,3.5,3.71,3.58,3.71,3.71,3.0,98.45,19.91
40,41,002657,中科金财,21.81,-2.72,-0.61,300296.0,658167400.0,4.77,22.6,21.53,22.09,22.42,8.93,-71.01,4.1
41,42,300369,绿盟科技,7.85,-2.85,-0.23,138301.0,109757833.0,2.72,8.06,7.84,8.05,8.08,1.73,-14.43,2.57
42,43,301117,佳缘科技,33.33,-2.97,-1.02,21672.0,72945773.46,3.55,34.37,33.15,34.3,34.35,3.82,-129.18,2.38
43,44,688232,新点软件,32.7,-2.97,-1.0,23795.0,78716719.0,3.83,33.8,32.51,33.72,33.7,1.37,50.63,1.94
44,45,300075,数字政通,18.68,-3.16,-0.61,222565.0,420604230.08,3.58,19.29,18.6,19.08,19.29,4.33,424.4,2.93
45,46,300872,天阳科技,16.84,-3.22,-0.56,133229.0,227697194.44,3.79,17.45,16.79,17.39,17.4,3.36,68.56,2.46
46,47,301091,深城交,46.02,-3.22,-1.53,57012.0,265674233.2,3.93,47.83,45.96,47.83,47.55,2.01,236.5,8.16
47,48,300525,博思软件,17.57,-3.25,-0.59,185864.0,330373005.52,3.58,18.15,17.5,18.06,18.16,3.01,285.67,5.68
48,49,002298,中电鑫龙,5.87,-3.29,-0.2,428172.0,253333553.93,3.13,6.04,5.85,6.02,6.07,6.55,-8.67,1.34
49,50,688228,开普云,60.18,-3.4,-2.12,19742.0,120467624.0,4.82,62.59,59.59,60.8,62.3,2.92,196.63,3.12
50,51,300074,华平股份,4.81,-3.41,-0.17,214787.0,104482491.0,3.41,4.98,4.81,4.98,4.98,4.03,-32.62,2.53
51,52,603918,金桥信息,16.44,-3.46,-0.59,188496.0,313073199.0,3.11,16.96,16.43,16.88,17.03,5.15,-62.62,5.83
52,53,688207,格灵深瞳,16.26,-3.56,-0.6,62445.0,102885756.0,3.2,16.8,16.26,16.7,16.86,3.31,-20.35,2.06
53,54,301169,零点有数,39.77,-3.61,-1.49,13938.0,55978413.0,4.17,41.3,39.58,41.3,41.26,1.94,-32.0,5.5
54,55,002090,金智科技,9.85,-3.62,-0.37,226923.0,226042692.52,4.01,10.2,9.79,10.15,10.22,5.73,80.95,2.67
55,56,603636,南威软件,13.76,-3.64,-0.52,199585.0,278095673.0,3.36,14.21,13.73,14.15,14.28,3.44,-37.06,3.18
56,57,301070,开勒股份,52.91,-3.64,-2.0,16859.0,90779961.18,4.46,55.25,52.8,54.55,54.91,3.97,306.95,4.24
57,58,002474,榕基软件,7.08,-3.67,-0.27,275905.0,198077539.02,3.67,7.34,7.07,7.31,7.35,5.2,-167.25,3.0
58,59,002279,久其软件,6.93,-3.75,-0.27,383041.0,269445691.52,3.89,7.2,6.92,7.19,7.2,4.85,-19.72,4.48
59,60,600756,浪潮软件,16.28,-3.78,-0.64,123835.0,204069244.0,3.84,16.85,16.2,16.8,16.92,3.82,-41.77,2.38
60,61,301378,通达海,30.09,-3.93,-1.23,19407.0,59247531.3,4.73,31.48,30.0,30.95,31.32,4.42,-44.72,2.14
61,62,300730,科创信息,14.18,-3.99,-0.59,153306.0,220207602.5,4.47,14.76,14.1,14.7,14.77,7.79,-40.64,11.0
62,63,300634,彩讯股份,27.12,-4.2,-1.19,220238.0,605704612.0,3.46,27.98,27.0,27.7,28.31,5.07,47.02,4.52
63,64,603206,嘉环科技,19.45,-4.23,-0.86,127694.0,252170593.0,3.55,20.14,19.42,20.1,20.31,14.64,59.1,2.67
64,65,300379,东方通,16.82,-4.32,-0.76,301306.0,512602388.8,4.66,17.48,16.66,17.46,17.58,5.72,-38.39,2.68
65,66,002530,金财互联,10.62,-4.32,-0.48,477834.0,516055739.4,4.95,11.17,10.62,11.06,11.1,6.87,1939.76,6.42
66,67,600410,华胜天成,9.02,-4.35,-0.41,726730.0,663182272.0,3.5,9.35,9.02,9.35,9.43,6.63,-34.66,2.42
67,68,002065,东华软件,11.21,-4.51,-0.53,1602839.0,1825837556.72,4.34,11.7,11.19,11.63,11.74,5.51,55.01,3.04
68,69,300678,中科信息,36.23,-4.78,-1.82,127129.0,469094542.6,4.68,38.0,36.22,38.0,38.05,4.45,1301.32,12.55
69,70,600718,东软集团,11.78,-5.08,-0.63,767530.0,918563065.0,5.08,12.38,11.75,12.33,12.41,6.38,69.8,1.48
70,71,300287,飞利信,6.89,-5.1,-0.37,1295274.0,901878684.54,3.58,7.15,6.89,7.12,7.26,9.88,-59.79,7.86
71,72,688343,云天励飞-U,60.87,-5.23,-3.36,136569.0,845383598.0,6.23,64.7,60.7,64.1,64.23,5.3,-37.71,5.48
72,73,301380,挖金客,49.58,-5.35,-2.8,29306.0,148457680.8,4.35,51.78,49.5,51.78,52.38,9.72,74.57,4.99
73,74,300339,润和软件,56.07,-5.4,-3.2,705886.0,4006616558.94,6.02,58.97,55.4,58.58,59.27,9.08,302.59,13.0
74,75,837592,华信永道,62.59,-5.58,-3.7,20738.0,134290586.46,7.89,67.56,62.33,65.61,66.29,5.43,238.76,9.98
75,76,837092,汉鑫科技,44.86,-5.8,-2.76,22582.0,102622553.89,6.93,47.4,44.1,47.4,47.62,7.07,135.62,7.04
76,77,300047,天源迪科,14.61,-6.59,-1.03,738635.0,1099247023.05,5.24,15.42,14.6,15.4,15.64,13.44,216.78,2.8
77,78,835207,众诚科技,26.73,-6.7,-1.92,51218.0,140013817.19,6.88,28.48,26.51,28.26,28.65,9.09,-66.32,8.3
