,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
1,2,300698,万马科技,41.95,3.38,1.37,69156,284732598.32,8.5,42.8,39.35,40.9,40.58,5.83,135.02,11.85
2,3,300423,昇辉科技,8.2,1.36,0.11,203411,167220751.39,4.57,8.39,8.02,8.19,8.09,6.12,187.92,2.74
3,4,002528,ST英飞拓,2.63,1.15,0.03,276229,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
4,5,002638,勤上股份,2.43,0.83,0.02,442746,107009805.82,3.32,2.45,2.37,2.42,2.41,3.29,-62.82,1.43
5,6,603303,得邦照明,12.68,-0.7,-0.09,16499,20996773.0,2.11,12.88,12.61,12.83,12.77,0.35,17.41,1.7
6,7,002963,豪尔赛,11.95,-0.75,-0.09,27801,33223047.0,1.91,12.09,11.86,12.02,12.04,2.26,217.12,1.17
7,8,300889,爱克股份,16.7,-0.95,-0.16,24363,40890376.0,2.61,17.07,16.63,16.95,16.86,2.49,-27.64,1.7
8,9,300650,太龙股份,13.42,-1.25,-0.17,85841,114570454.8,3.24,13.58,13.14,13.4,13.59,5.46,62.92,2.41
9,10,300565,科信技术,13.71,-1.51,-0.21,213091,298389389.6,4.24,14.28,13.69,13.92,13.92,9.36,-19.73,4.83
10,11,300317,珈伟新能,3.84,-1.54,-0.06,229205,88627970.18,2.82,3.93,3.82,3.88,3.9,2.77,-31.74,1.76
11,12,002598,山东章鼓,10.83,-2.08,-0.23,92576,101039164.0,2.44,11.09,10.82,10.99,11.06,3.28,38.63,2.61
12,13,605178,时空科技,18.03,-2.17,-0.4,29532,53596097.0,2.93,18.49,17.95,18.38,18.43,2.98,-9.86,1.22
13,14,000925,众合科技,8.91,-2.2,-0.2,459177,410755545.0,3.95,9.16,8.8,9.02,9.11,6.8,-51.97,1.83
14,15,002929,润建股份,58.6,-2.35,-1.41,164637,972260205.34,5.58,60.35,57.0,59.48,60.01,7.72,42.76,2.66
15,16,603322,超讯通信,46.5,-2.74,-1.31,84475,394325570.0,4.62,48.01,45.8,47.0,47.81,5.36,216.15,22.84
16,17,301091,深城交,46.02,-3.22,-1.53,57012,265674233.2,3.93,47.83,45.96,47.83,47.55,2.01,236.5,8.16
17,18,603679,华体科技,13.3,-3.34,-0.46,62639,84428590.0,4.07,13.82,13.26,13.69,13.76,3.81,-52.62,2.66
18,19,300232,洲明科技,7.71,-3.38,-0.27,275455,214800776.43,3.38,7.95,7.68,7.94,7.98,3.11,49.41,1.75
19,20,688589,力合微,27.9,-3.39,-0.98,30590,86298344.0,3.74,28.87,27.79,28.79,28.88,2.52,39.82,3.15
20,21,002587,奥拓电子,6.21,-3.57,-0.23,235159,147336962.93,4.04,6.43,6.17,6.41,6.44,4.56,-153.1,3.04
21,22,002654,万润科技,13.23,-3.85,-0.53,409968,548374815.58,3.49,13.69,13.21,13.62,13.76,4.85,252.04,7.42
22,23,002660,茂硕电源,10.57,-4.43,-0.49,217970,232584824.86,5.88,11.05,10.4,11.03,11.06,8.48,74.35,2.97
23,24,831641,格利尔,15.1,-5.68,-0.91,20369,31359946.83,6.81,16.05,14.96,16.0,16.01,4.56,-114.9,3.35
24,25,002358,森源电气,6.25,-9.55,-0.66,1123823,729609798.32,8.83,6.84,6.23,6.8,6.91,12.09,33.37,1.77
