,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002713,东易日盛,7.05,9.98,0.64,49340,34784841.0,0.0,7.05,7.05,7.05,6.41,1.2,-3.82,-5.72
1,2,605318,法狮龙,28.83,7.37,1.98,39192,108568809.0,12.07,29.49,26.25,27.35,26.85,3.12,-221.86,4.75
2,3,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
3,4,603211,晋拓股份,22.92,3.15,0.7,316385,720267601.0,9.45,23.5,21.4,21.69,22.22,46.56,108.48,5.28
4,5,002706,良信股份,9.42,2.95,0.27,532933,500369357.33,4.59,9.57,9.15,9.15,9.15,5.83,25.54,2.58
5,6,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
6,7,000651,格力电器,43.74,2.41,1.03,708548,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
7,8,002444,巨星科技,29.19,2.03,0.58,221899,645123361.88,2.45,29.36,28.66,28.68,28.61,1.94,13.51,2.15
8,9,603486,科沃斯,65.11,1.8,1.15,99793,663286012.0,7.41,68.39,63.65,63.95,63.96,1.75,45.68,5.47
9,10,300423,昇辉科技,8.2,1.36,0.11,203411,167220751.39,4.57,8.39,8.02,8.19,8.09,6.12,187.92,2.74
10,11,002528,ST英飞拓,2.63,1.15,0.03,276229,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
11,12,002242,九阳股份,10.38,1.07,0.11,164829,173513782.24,6.13,10.84,10.21,10.22,10.27,2.15,60.89,2.3
12,13,688599,天合光能,17.8,0.74,0.13,292183,520531517.0,2.38,18.0,17.58,17.6,17.67,1.34,-11.23,1.47
13,14,002885,京泉华,15.54,0.65,0.1,344706,525297024.99,7.51,15.82,14.66,15.12,15.44,14.83,74.85,2.96
14,15,002397,梦洁股份,4.16,0.48,0.02,310674,128232083.81,2.42,4.18,4.08,4.1,4.14,5.28,113.23,2.63
15,16,002918,蒙娜丽莎,9.56,0.42,0.04,65377,62359886.0,1.58,9.62,9.47,9.48,9.52,2.98,21.18,0.96
16,17,603195,公牛集团,73.3,0.41,0.3,16129,117366266.0,2.15,73.64,72.07,72.85,73.0,0.13,21.77,6.38
17,18,002375,亚厦股份,4.03,0.25,0.01,123842,50025978.0,1.99,4.08,4.0,4.02,4.02,0.93,16.01,0.68
18,19,002705,新宝股份,16.34,0.25,0.04,70045,114858059.05,2.09,16.61,16.27,16.29,16.3,0.87,12.63,1.61
19,20,002790,瑞尔特,8.17,0.25,0.02,40667,33142496.6,1.47,8.21,8.09,8.11,8.15,1.56,18.12,1.6
20,21,000333,美的集团,75.28,0.15,0.11,384528,2903191224.54,2.21,76.43,74.77,74.77,75.17,0.56,13.64,2.76
21,22,002293,罗莱生活,8.24,0.12,0.01,67583,55992325.9,3.65,8.44,8.14,8.2,8.23,0.82,19.71,1.72
22,23,002853,皮阿诺,15.57,0.06,0.01,24537,38219693.5,2.96,15.76,15.3,15.5,15.56,1.85,264.79,2.2
23,24,002468,申通快递,12.33,0.0,0.0,193811,241838916.82,3.65,12.7,12.25,12.25,12.33,1.3,21.7,2.01
24,25,300335,迪森股份,5.38,0.0,0.0,308587,166658924.07,3.35,5.49,5.31,5.36,5.38,8.02,29.76,1.33
25,26,603515,欧普照明,17.4,-0.06,-0.01,13854,24126550.0,1.61,17.56,17.28,17.41,17.41,0.19,15.65,2.0
26,27,688390,固德威,45.95,-0.11,-0.05,84788,388885104.0,3.61,46.75,45.09,45.83,46.0,3.5,-176.53,4.06
27,28,001322,箭牌家居,8.38,-0.12,-0.01,39999,33363178.39,2.15,8.43,8.25,8.33,8.39,2.42,190.28,1.68
28,29,300513,恒实科技,9.04,-0.22,-0.02,164983,150195645.52,4.86,9.33,8.89,9.05,9.06,5.86,-42.52,1.21
29,30,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
30,31,603992,松霖科技,24.66,-0.32,-0.08,25461,62853633.0,2.26,24.96,24.4,24.76,24.74,0.61,23.58,3.25
31,32,002043,兔 宝 宝,10.99,-0.36,-0.04,57848,63660305.85,1.72,11.13,10.94,10.96,11.03,0.79,15.54,2.99
32,33,000521,长虹美菱,8.18,-0.37,-0.03,205205,168572940.6,2.19,8.32,8.14,8.18,8.21,2.34,11.91,1.39
33,34,603408,建霖家居,13.54,-0.44,-0.06,33856,46208380.0,3.38,13.91,13.45,13.64,13.6,0.76,11.46,1.9
34,35,601567,三星医疗,28.5,-0.52,-0.15,57430,165043097.0,3.66,29.39,28.34,28.49,28.65,0.41,16.61,3.44
35,36,002818,富森美,13.55,-0.59,-0.08,19891,27045330.54,1.98,13.76,13.49,13.63,13.63,0.67,14.69,1.74
