,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300461,田中精机,25.6,10.44,2.42,198138.0,496016992.0,17.26,26.65,22.65,22.86,23.18,24.62,-87.83,6.19
1,2,601608,中信重工,5.26,10.04,0.48,1713251.0,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
2,3,600579,中化装备,9.14,9.99,0.83,559554.0,489819391.0,11.91,9.14,8.15,8.32,8.31,11.31,-3.14,-7.93
3,4,300810,中科海讯,44.9,7.96,3.31,293946.0,1305442153.84,15.2,47.88,41.56,41.56,41.59,25.79,-43.27,7.05
4,5,301311,昆船智能,20.87,5.03,1.0,207996.0,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
5,6,301298,东利机械,20.96,4.9,0.98,401064.0,799511850.63,17.62,21.93,18.41,20.0,19.98,41.64,43.24,3.41
6,7,603011,合锻智能,9.29,4.38,0.39,784649.0,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
7,8,300307,慈星股份,10.73,4.17,0.43,939319.0,992526103.2,7.38,10.85,10.09,10.2,10.3,11.98,20.65,2.64
8,9,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
9,10,002184,海得控制,15.43,3.7,0.55,574467.0,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
10,11,603131,上海沪工,20.75,3.54,0.71,312022.0,643272548.0,8.48,21.58,19.88,20.12,20.04,9.81,105.3,5.33
11,12,600282,南钢股份,4.72,2.16,0.1,721608.0,345210086.0,4.76,4.85,4.63,4.65,4.62,1.17,12.87,1.12
12,13,002444,巨星科技,29.19,2.03,0.58,221899.0,645123361.88,2.45,29.36,28.66,28.68,28.61,1.94,13.51,2.15
13,14,300607,拓斯达,36.13,1.83,0.65,516051.0,1805084235.29,12.63,37.68,33.2,35.0,35.48,15.28,1432.32,5.82
14,15,603486,科沃斯,65.11,1.8,1.15,99793.0,663286012.0,7.41,68.39,63.65,63.95,63.96,1.75,45.68,5.47
15,16,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
16,17,835579,机科股份,33.06,1.47,0.48,80738.0,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
17,18,000410,沈阳机床,7.93,1.15,0.09,682637.0,549544599.76,4.59,8.27,7.91,7.95,7.84,4.06,-99.63,17.73
