,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,001382,N新亚,29.91,304.19,22.51,483722,1526195205.91,112.16,37.0,28.7,37.0,7.4,80.43,91.36,7.62
1,2,002498,汉缆股份,3.88,6.89,0.25,2098617,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
2,3,600397,安源煤业,6.57,5.97,0.37,610003,393224131.0,11.29,6.8,6.1,6.16,6.2,6.16,-26.22,19.31
3,4,002178,延华智能,7.38,5.13,0.36,732688,534721402.57,4.7,7.4,7.07,7.1,7.02,10.29,-449.82,11.91
4,5,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
5,6,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
6,7,002184,海得控制,15.43,3.7,0.55,574467,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
7,8,002857,三晖电气,15.79,3.41,0.52,96824,150056929.0,8.45,15.98,14.69,15.0,15.27,7.56,-71.81,4.2
8,9,000533,顺钠股份,7.38,3.36,0.24,1194634,868909368.54,8.26,7.6,7.01,7.06,7.14,17.44,53.64,6.02
9,10,300001,特锐德,25.19,3.32,0.81,481349,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
10,11,300712,永福股份,26.37,1.93,0.5,83520,221165766.99,3.25,26.74,25.9,26.06,25.87,4.48,110.41,3.82
11,12,300933,中辰股份,8.16,1.75,0.14,468626,382523368.56,7.73,8.48,7.86,8.01,8.02,10.06,59.8,2.44
12,13,603530,神马电力,27.8,1.65,0.45,42594,118252838.0,5.74,28.65,27.08,27.18,27.35,1.0,41.8,7.16
13,14,301361,众智科技,36.8,1.52,0.55,44604,162400177.42,3.67,36.99,35.66,36.0,36.25,15.34,62.28,3.82
14,15,300423,昇辉科技,8.2,1.36,0.11,203411,167220751.39,4.57,8.39,8.02,8.19,8.09,6.12,187.92,2.74
15,16,688191,智洋创新,25.74,1.18,0.3,61728,154631782.0,8.61,26.2,24.01,25.66,25.44,4.0,79.07,4.47
16,17,002560,通达股份,7.03,1.01,0.07,309920,216622620.0,3.02,7.1,6.89,6.9,6.96,6.84,38.5,1.4
17,18,000400,许继电气,25.13,0.96,0.24,262887,662110256.49,2.77,25.5,24.81,24.81,24.89,2.61,21.46,2.31
18,19,300187,永清环保,5.3,0.76,0.04,115374,61750333.96,3.99,5.45,5.24,5.26,5.26,1.79,30.66,3.18
19,20,300365,恒华科技,6.91,0.73,0.05,364903,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
20,21,002471,中超控股,2.84,0.71,0.02,542986,155189632.7,3.55,2.89,2.79,2.8,2.82,4.16,-427.67,2.32
21,22,601700,风范股份,4.78,0.63,0.03,163008,77891021.0,2.53,4.83,4.71,4.71,4.75,1.43,47.97,2.03
