,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688793,倍轻松,35.9,6.65,2.24,68981,250984417.0,13.93,38.57,33.88,33.88,33.66,8.03,327.04,8.29
1,2,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
2,3,002080,中材科技,15.23,3.04,0.45,410748,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
3,4,688173,希荻微,12.92,2.95,0.37,142112,185304981.0,9.32,13.55,12.38,12.65,12.55,5.92,-18.8,3.57
4,5,688519,南亚新材,35.32,0.71,0.25,60093,214965226.0,6.24,36.96,34.77,35.75,35.07,2.59,162.09,3.47
5,6,002603,以岭药业,14.7,0.68,0.1,342829,505093979.27,2.67,14.98,14.59,14.92,14.6,2.49,33.2,2.13
6,7,002625,光启技术,40.75,-0.71,-0.29,191782,783462968.2,1.34,41.2,40.65,40.93,41.04,1.08,122.61,9.99
7,8,002432,九安医疗,41.44,-1.03,-0.43,48097,200278973.16,1.86,42.09,41.31,41.85,41.87,1.09,10.74,1.02
8,9,603341,龙旗科技,45.5,-1.04,-0.48,42895,195432575.0,3.89,46.41,44.62,45.67,45.98,1.61,36.84,3.83
9,10,002426,胜利精密,3.7,-1.07,-0.04,3832857,1415625210.37,8.02,3.85,3.55,3.71,3.74,11.26,-329.62,3.81
10,11,002547,春兴精工,5.37,-1.1,-0.06,2603841,1429656323.28,7.37,5.66,5.26,5.43,5.43,23.57,-25.71,91.37
11,12,601231,环旭电子,16.98,-1.11,-0.19,151414,257924783.0,2.85,17.33,16.84,17.1,17.17,0.69,22.51,2.12
12,13,300408,三环集团,37.97,-1.15,-0.44,110056,423363385.65,3.23,39.09,37.85,38.41,38.41,0.59,33.17,3.66
13,14,300538,同益股份,15.8,-1.25,-0.2,62165,99563524.0,3.56,16.32,15.75,15.9,16.0,5.41,344.64,2.74
14,15,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
15,16,002475,立讯精密,39.86,-1.39,-0.56,644422,2592809766.74,3.93,41.19,39.6,40.65,40.42,0.89,23.86,4.5
16,17,300592,华凯易佰,12.58,-1.41,-0.18,56042,70762800.4,2.12,12.8,12.53,12.74,12.76,1.53,20.18,2.3
17,18,603160,汇顶科技,76.2,-1.52,-1.18,50020,383698745.0,2.73,78.07,75.96,77.11,77.38,1.08,58.3,3.94
18,19,300236,上海新阳,35.66,-1.68,-0.61,29766,106972923.6,2.45,36.46,35.57,36.09,36.27,1.07,64.59,2.51
19,20,300246,宝莱特,7.31,-1.75,-0.13,64435,47362163.52,2.82,7.49,7.28,7.43,7.44,3.05,-106.34,1.58
20,21,002635,安洁科技,16.63,-1.77,-0.3,187212,315396308.44,3.25,17.17,16.62,16.8,16.93,4.73,37.14,1.89
21,22,603296,华勤技术,78.95,-1.77,-1.42,63434,502755515.0,2.4,80.43,78.5,80.0,80.37,1.11,29.35,3.71
22,23,301587,中瑞股份,24.91,-1.89,-0.48,19111,47919724.16,4.29,25.9,24.81,25.2,25.39,6.26,50.89,1.83
