,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301079,邵阳液压,29.06,19.98,4.84,274491.0,789379368.32,10.73,29.06,26.46,28.28,24.22,39.82,140.73,6.49
1,2,300700,岱勒新材,10.05,11.92,1.07,660570.0,671187574.3,19.82,10.78,9.0,9.0,8.98,24.42,-35.18,3.46
2,3,002204,大连重工,7.0,10.06,0.64,230333.0,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
3,4,601608,中信重工,5.26,10.04,0.48,1713251.0,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
4,5,002829,星网宇达,22.73,10.02,2.07,239149.0,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
5,6,603280,南方路机,28.0,10.02,2.55,92157.0,249020109.0,12.89,28.0,24.72,24.96,25.45,32.98,27.02,2.33
6,7,603776,永安行,24.61,10.01,2.24,148743.0,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
7,8,603686,福龙马,13.97,10.0,1.27,460403.0,606243665.0,10.79,13.97,12.6,12.6,12.7,11.08,37.72,1.75
8,9,002553,南方精工,25.65,9.99,2.33,1186067.0,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
9,10,601226,华电科工,7.6,9.99,0.69,302414.0,224781898.0,8.68,7.6,7.0,7.01,6.91,2.6,61.74,2.08
10,11,873570,坤博精工,52.46,8.88,4.28,71706.0,381573082.88,18.64,57.79,48.81,48.89,48.18,32.03,143.23,6.96
11,12,300810,中科海讯,44.9,7.96,3.31,293946.0,1305442153.84,15.2,47.88,41.56,41.56,41.59,25.79,-43.27,7.05
12,13,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
13,14,301261,恒工精密,120.75,6.61,7.49,57927.0,673541358.29,11.48,122.0,109.0,110.01,113.26,15.29,146.28,6.99
14,15,300265,通光线缆,10.06,6.46,0.61,852913.0,870031475.61,16.61,11.0,9.43,9.43,9.45,18.62,66.51,2.05
15,16,002178,延华智能,7.38,5.13,0.36,732688.0,534721402.57,4.7,7.4,7.07,7.1,7.02,10.29,-449.82,11.91
16,17,301311,昆船智能,20.87,5.03,1.0,207996.0,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
17,18,000595,宝塔实业,7.77,4.86,0.36,1647532.0,1290996916.9,10.8,8.15,7.35,7.95,7.41,14.48,-111.66,20.82
18,19,002523,天桥起重,4.23,4.7,0.19,1836964.0,765045914.71,9.9,4.39,3.99,4.0,4.04,13.01,255.08,2.59
19,20,600968,海油发展,4.08,3.82,0.15,1488528.0,604240028.0,4.83,4.13,3.94,3.94,3.93,1.46,11.57,1.58
20,21,002184,海得控制,15.43,3.7,0.55,574467.0,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
21,22,603131,上海沪工,20.75,3.54,0.71,312022.0,643272548.0,8.48,21.58,19.88,20.12,20.04,9.81,105.3,5.33
22,23,300252,金信诺,12.06,3.52,0.41,801192.0,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
23,24,300527,中船应急,8.88,3.5,0.3,691342.0,612408034.68,6.41,9.06,8.51,8.53,8.58,7.01,1302.74,3.35
24,25,002857,三晖电气,15.79,3.41,0.52,96824.0,150056929.0,8.45,15.98,14.69,15.0,15.27,7.56,-71.81,4.2
25,26,600487,亨通光电,17.59,3.23,0.55,2108044.0,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
26,27,603211,晋拓股份,22.92,3.15,0.7,316385.0,720267601.0,9.45,23.5,21.4,21.69,22.22,46.56,108.48,5.28
27,28,001208,华菱线缆,11.18,3.04,0.33,349748.0,389401076.63,5.16,11.32,10.76,10.77,10.85,12.95,51.95,3.74
28,29,600302,标准股份,6.23,2.81,0.17,351678.0,218436808.0,7.1,6.43,6.0,6.0,6.06,10.16,-33.9,2.86
29,30,301232,飞沃科技,29.51,2.43,0.7,37448.0,109599373.6,4.41,29.6,28.33,28.61,28.81,8.38,-22.88,1.52
30,31,688187,时代电气,50.76,2.11,1.05,206694.0,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
31,32,300011,鼎汉技术,9.17,1.89,0.17,400742.0,365617266.4,4.67,9.29,8.87,8.96,9.0,7.99,244.44,3.85
32,33,300607,拓斯达,36.13,1.83,0.65,516051.0,1805084235.29,12.63,37.68,33.2,35.0,35.48,15.28,1432.32,5.82
33,34,603579,荣泰健康,18.77,1.79,0.33,75170.0,142005349.0,5.75,19.35,18.29,18.29,18.44,4.24,17.52,1.75
34,35,300296,利亚德,8.03,1.77,0.14,3531104.0,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
35,36,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
36,37,000035,中国天楹,4.98,1.63,0.08,582984.0,291680832.44,4.08,5.08,4.88,4.89,4.9,2.4,25.7,1.14
37,38,600528,中铁工业,8.0,1.52,0.12,270846.0,217484138.0,3.05,8.11,7.87,7.88,7.88,1.22,10.11,0.75
38,39,835579,机科股份,33.06,1.47,0.48,80738.0,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
39,40,301315,威士顿,58.5,1.25,0.72,34489.0,199914172.96,4.05,59.2,56.86,57.78,57.78,9.32,128.84,5.1
40,41,603273,天元智能,19.6,1.24,0.24,99329.0,195076142.0,4.08,19.89,19.1,19.1,19.36,17.72,120.6,4.89
41,42,300412,迦南科技,5.71,1.24,0.07,489905.0,282940743.3,6.21,5.95,5.6,5.6,5.64,10.36,78.57,2.7
42,43,002682,龙洲股份,4.93,1.23,0.06,579335.0,285736351.54,5.13,5.03,4.78,4.82,4.87,10.3,-28.8,1.93
43,44,688450,光格科技,25.89,1.21,0.31,21488.0,55257840.0,5.28,26.35,25.0,25.58,25.58,4.46,-24.94,1.68
44,45,000959,首钢股份,3.59,1.13,0.04,349650.0,125973643.68,2.82,3.64,3.54,3.54,3.55,0.54,102.77,0.56
45,46,301005,超捷股份,36.71,1.1,0.4,114558.0,418248760.26,5.7,37.37,35.3,36.17,36.31,8.65,145.66,6.46
46,47,873726,卓兆点胶,29.6,1.09,0.32,25198.0,74213882.97,4.47,30.01,28.7,29.4,29.28,10.83,-88.58,4.26
47,48,600582,天地科技,6.53,1.08,0.07,808618.0,525787407.0,2.32,6.57,6.42,6.5,6.46,1.95,10.31,1.11
48,49,300201,海伦哲,6.01,0.84,0.05,637992.0,382658977.44,4.19,6.12,5.87,5.93,5.96,6.35,34.18,4.26
49,50,300200,高盟新材,8.96,0.79,0.07,151032.0,135172216.21,3.71,9.07,8.74,8.85,8.89,3.57,26.21,2.42
50,51,300293,蓝英装备,25.08,0.72,0.18,115641.0,289333748.57,3.73,25.33,24.4,24.89,24.9,4.13,-2560.0,9.22
51,52,002471,中超控股,2.84,0.71,0.02,542986.0,155189632.7,3.55,2.89,2.79,2.8,2.82,4.16,-427.67,2.32
52,53,600869,远东股份,5.07,0.6,0.03,930205.0,481033900.0,7.74,5.33,4.94,5.0,5.04,4.19,-84.99,2.52
53,54,300476,胜宏科技,85.16,0.54,0.46,543697.0,4691312803.89,5.63,88.77,84.0,84.0,84.7,6.36,63.28,8.22
54,55,002697,红旗连锁,5.67,0.53,0.03,475980.0,268949153.37,2.66,5.72,5.57,5.62,5.64,4.42,14.83,1.78
55,56,300455,航天智装,14.36,0.49,0.07,199122.0,288320750.38,3.43,14.68,14.19,14.21,14.29,2.81,280.21,5.69
56,57,002765,蓝黛科技,16.07,0.44,0.07,1659055.0,2730151340.11,8.19,17.12,15.81,15.98,16.0,27.84,75.85,4.28
57,58,002641,公元股份,4.74,0.42,0.02,188336.0,89557113.8,3.39,4.81,4.65,4.66,4.72,1.66,29.57,1.07
58,59,002448,中原内配,10.04,0.4,0.04,1399428.0,1456581212.94,10.1,11.0,9.99,10.17,10.0,28.74,19.02,1.69
59,60,600008,首创环保,3.11,0.32,0.01,1072940.0,334955678.0,1.61,3.14,3.09,3.1,3.1,1.46,5.27,1.06
60,61,300370,安控科技,3.39,0.3,0.01,659962.0,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
61,62,002705,新宝股份,16.34,0.25,0.04,70045.0,114858059.05,2.09,16.61,16.27,16.29,16.3,0.87,12.63,1.61
62,63,002903,宇环数控,24.59,0.24,0.06,618143.0,1595578767.49,13.05,26.98,23.78,25.89,24.53,59.39,215.14,4.86
63,64,301213,观想科技,50.18,0.16,0.08,13264.0,66097024.28,2.22,50.37,49.26,50.1,50.1,2.56,546.7,5.03
64,65,688169,石头科技,250.0,0.09,0.22,40099.0,1025831309.0,6.11,264.77,249.5,256.0,249.78,2.17,23.31,3.59
65,66,600775,南京熊猫,11.14,0.0,0.0,465244.0,518014990.0,3.95,11.38,10.94,11.3,11.14,6.92,-77.18,3.18
66,67,600526,菲达环保,4.95,0.0,0.0,112669.0,55840218.0,1.82,5.0,4.91,4.92,4.95,1.58,20.75,1.03
67,68,002062,宏润建设,5.0,0.0,0.0,145293.0,72911661.5,2.2,5.07,4.96,5.01,5.0,1.47,18.59,1.26
68,69,300875,捷强装备,29.86,-0.13,-0.04,43467.0,129959225.3,3.88,30.47,29.31,29.67,29.9,5.08,-237.36,2.4
69,70,300099,尤洛卡,7.37,-0.14,-0.01,268964.0,196094436.0,2.71,7.41,7.21,7.28,7.38,4.63,71.55,2.3
70,71,603619,中曼石油,18.55,-0.16,-0.03,220793.0,415216873.0,3.12,19.05,18.47,18.79,18.58,4.78,9.62,2.22
71,72,002519,银河电子,5.43,-0.18,-0.01,1047873.0,574468782.47,4.78,5.6,5.34,5.4,5.44,9.37,32.32,1.91
72,73,603638,艾迪精密,22.56,-0.18,-0.04,194102.0,448042805.0,11.19,24.58,22.05,22.05,22.6,2.34,50.12,5.9
73,74,300513,恒实科技,9.04,-0.22,-0.02,164983.0,150195645.52,4.86,9.33,8.89,9.05,9.06,5.86,-42.52,1.21
74,75,000988,华工科技,43.51,-0.23,-0.1,229925.0,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
75,76,688408,中信博,57.62,-0.31,-0.18,35188.0,203311404.0,1.82,58.35,57.3,57.58,57.8,1.74,19.45,2.85
76,77,001324,长青科技,19.34,-0.36,-0.07,35669.0,69038416.2,2.42,19.57,19.1,19.23,19.41,4.37,41.09,2.43
77,78,600499,科达制造,7.95,-0.38,-0.03,119310.0,95370369.0,2.26,8.08,7.9,7.98,7.98,0.62,16.27,1.34
78,79,002111,威海广泰,11.6,-0.43,-0.05,123737.0,143117749.67,2.92,11.74,11.4,11.62,11.65,2.59,35.91,2.01
79,80,301525,儒竞科技,86.1,-0.52,-0.45,27706.0,240504450.52,4.96,89.0,84.71,85.69,86.55,5.61,40.93,2.57
80,81,600980,北矿科技,17.32,-0.57,-0.1,50945.0,88662630.0,2.64,17.66,17.2,17.55,17.42,2.9,30.98,2.36
81,82,300112,万讯自控,9.89,-0.6,-0.06,254001.0,255931926.0,7.04,10.41,9.71,9.94,9.95,10.69,-39.14,2.72
82,83,300667,必创科技,20.06,-0.69,-0.14,368180.0,762181483.47,8.91,21.51,19.71,20.2,20.2,21.33,-817.91,3.22
83,84,603648,畅联股份,10.04,-0.69,-0.07,56271.0,56778496.0,3.07,10.27,9.96,10.11,10.11,1.55,27.8,1.97
84,85,002226,江南化工,5.68,-0.7,-0.04,278891.0,160195574.6,2.97,5.84,5.67,5.72,5.72,1.05,15.05,1.61
85,86,600022,山东钢铁,1.39,-0.71,-0.01,880287.0,123726642.0,2.14,1.42,1.39,1.4,1.4,0.82,-7.69,0.76
86,87,300828,锐新科技,17.27,-0.75,-0.13,72570.0,123924492.0,3.56,17.42,16.8,17.25,17.4,5.82,57.03,3.94
87,88,002035,华帝股份,7.46,-0.8,-0.06,110539.0,82731581.92,2.13,7.57,7.41,7.52,7.52,1.42,11.75,1.71
88,89,603031,安孚科技,30.56,-0.81,-0.25,30492.0,93423305.0,1.98,30.96,30.35,30.81,30.81,1.44,38.36,3.51
89,90,000425,徐工机械,8.92,-0.89,-0.08,410568.0,366939524.5,2.22,9.07,8.87,8.95,9.0,0.51,14.89,1.79
90,91,301302,华如科技,24.93,-0.95,-0.24,40443.0,101244549.5,2.98,25.44,24.69,25.0,25.17,4.8,-10.89,2.12
91,92,300815,玉禾田,17.38,-0.97,-0.17,59132.0,103243911.46,2.79,17.73,17.24,17.39,17.55,1.52,10.48,1.72
92,93,300609,汇纳科技,27.69,-0.97,-0.27,44267.0,123846000.0,3.22,28.43,27.53,28.0,27.96,3.69,-64.33,3.19
93,94,600998,九州通,5.06,-0.98,-0.05,339945.0,174174268.0,2.74,5.2,5.06,5.15,5.11,0.67,11.28,1.03
94,95,002026,山东威达,12.8,-1.01,-0.13,559528.0,717660342.4,5.49,13.17,12.46,12.75,12.93,13.07,21.45,1.61
95,96,601138,工业富联,20.63,-1.06,-0.22,714499.0,1479176185.0,1.58,20.91,20.58,20.78,20.85,0.36,17.65,2.68
