,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
1,2,300057,万顺新材,5.46,2.25,0.12,462102,250883087.52,5.24,5.54,5.26,5.3,5.34,6.45,-100.6,0.9
2,3,300386,飞天诚信,16.95,1.44,0.24,140107,235460152.0,2.87,16.98,16.5,16.69,16.71,5.64,-235.75,4.65
3,4,002389,航天彩虹,21.23,0.95,0.2,201903,424867987.8,3.47,21.45,20.72,20.79,21.03,2.04,2566.13,2.64
4,5,301013,利和兴,20.78,0.82,0.17,339017,696811318.22,5.14,21.08,20.02,20.5,20.61,17.91,237.73,5.7
5,6,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
6,7,300679,电连技术,55.79,-0.99,-0.56,64425,356196249.82,3.25,56.37,54.54,56.2,56.35,1.8,38.67,4.97
7,8,300120,经纬辉开,9.68,-1.12,-0.11,301974,290080673.34,5.11,9.87,9.37,9.71,9.79,5.69,63.48,1.84
8,9,300657,弘信电子,37.85,-1.23,-0.47,520284,1987111117.6,3.94,38.92,37.41,38.03,38.32,11.39,253.44,13.93
9,10,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
10,11,300317,珈伟新能,3.84,-1.54,-0.06,229205,88627970.18,2.82,3.93,3.82,3.88,3.9,2.77,-31.74,1.76
11,12,603051,鹿山新材,25.87,-1.6,-0.42,28846,75326615.0,3.23,26.7,25.85,25.88,26.29,4.71,65.37,1.76
12,13,300054,鼎龙股份,27.36,-1.69,-0.47,108043,297956400.34,2.87,28.06,27.26,27.75,27.83,1.48,51.16,5.91
13,14,002631,德尔未来,4.57,-1.72,-0.08,191856,88086095.3,3.44,4.68,4.52,4.66,4.65,2.42,2171.18,1.54
14,15,300097,ST智云,5.15,-1.72,-0.09,128983,66543299.6,2.29,5.23,5.11,5.21,5.24,4.78,87.36,2.33
15,16,002635,安洁科技,16.63,-1.77,-0.3,187212,315396308.44,3.25,17.17,16.62,16.8,16.93,4.73,37.14,1.89
16,17,300263,隆华科技,7.62,-1.8,-0.14,349404,270621106.4,3.87,7.89,7.59,7.71,7.76,4.67,33.41,2.18
17,18,688378,奥来德,22.07,-1.91,-0.43,40525,89436133.0,2.98,22.54,21.87,22.54,22.5,2.01,50.95,2.64
18,19,002952,亚世光电,21.53,-1.91,-0.42,32974,71461446.0,2.69,22.04,21.45,21.72,21.95,2.5,156.81,4.08
19,20,301051,信濠光电,24.36,-1.97,-0.49,17246,42002832.6,3.1,24.84,24.07,24.7,24.85,1.29,-14.95,1.66
20,21,688150,莱特光电,20.23,-2.03,-0.42,34445,69932243.0,2.76,20.69,20.12,20.67,20.65,1.92,48.77,4.51
21,22,300566,激智科技,20.54,-2.14,-0.45,83845,172532988.65,2.43,20.9,20.39,20.85,20.99,3.67,23.99,2.77
22,23,000050,深天马Ａ,8.55,-2.17,-0.19,171858,147957196.46,2.4,8.72,8.51,8.71,8.74,0.7,-31.43,0.77
23,24,300331,苏大维格,21.26,-2.48,-0.54,57297,122601131.71,3.17,21.79,21.1,21.66,21.8,2.85,105.17,3.33
24,25,000100,TCL科技,4.56,-2.56,-0.12,3338848,1539398798.95,2.78,4.69,4.56,4.67,4.68,1.84,42.11,1.62
25,26,300389,艾比森,11.58,-2.69,-0.32,49118,57358344.99,3.19,11.91,11.53,11.9,11.9,2.11,36.45,2.83
26,27,301511,德福科技,15.08,-2.71,-0.42,112583,171210632.8,3.55,15.53,14.98,15.51,15.5,3.01,-34.93,2.36
27,28,300686,智动力,9.01,-2.8,-0.26,75842,68744917.72,3.24,9.27,8.97,9.19,9.27,3.92,-21.87,2.11
28,29,300088,长信科技,6.46,-2.86,-0.19,748887,487604117.37,3.31,6.63,6.41,6.6,6.65,3.01,41.31,1.88
29,30,002845,同兴达,15.82,-2.89,-0.47,98808,157549736.3,2.64,16.21,15.78,16.2,16.29,3.95,53.64,1.89
30,31,300219,鸿利智汇,7.23,-2.95,-0.22,152123,111123359.0,3.49,7.45,7.19,7.4,7.45,2.15,42.02,1.97
31,32,688786,悦安新材,26.6,-2.96,-0.81,15156,40650461.0,3.36,27.42,26.5,27.38,27.41,1.26,45.98,4.49
32,33,300400,劲拓股份,17.45,-3.11,-0.56,65752,115933156.0,3.22,17.98,17.4,17.83,18.01,2.74,52.63,5.45
33,34,300596,利安隆,31.49,-3.11,-1.01,62199,199261905.22,3.94,32.77,31.49,32.35,32.5,2.77,17.27,1.66
34,35,002851,麦格米特,59.93,-3.12,-1.93,223113,1347906598.82,3.85,61.79,59.41,61.25,61.86,4.89,59.65,5.66
35,36,002876,三利谱,26.29,-3.13,-0.85,37042,98609438.0,3.17,27.11,26.25,27.04,27.14,2.49,52.96,1.94
36,37,300327,中颖电子,24.03,-3.26,-0.81,87981,213752909.99,2.98,24.76,24.02,24.76,24.84,2.59,68.39,4.83
37,38,688328,深科达,16.33,-3.32,-0.56,31186,51193345.0,3.79,16.85,16.21,16.69,16.89,3.3,-14.28,1.91
38,39,300812,易天股份,20.48,-3.4,-0.72,40292,83223029.0,3.4,21.09,20.37,21.01,21.2,4.35,-154.38,3.3
39,40,002815,崇达技术,11.6,-3.41,-0.41,213432,250410590.1,3.33,11.96,11.56,11.89,12.01,3.33,35.87,1.79
40,41,300169,天晟新材,7.33,-3.43,-0.26,126603,94008801.0,3.29,7.57,7.32,7.56,7.59,4.2,281.38,27.04
41,42,605588,冠石科技,44.88,-3.59,-1.67,31516,142704056.0,4.6,46.6,44.46,46.5,46.55,4.31,211.04,3.09
42,43,688210,统联精密,21.75,-3.59,-0.81,44785,98270741.0,4.34,22.51,21.53,22.35,22.56,4.17,47.0,2.73
43,44,300567,精测电子,68.89,-3.64,-2.6,110070,772265909.77,4.85,72.15,68.68,71.01,71.49,5.43,172.26,5.4
44,45,002632,道明光学,9.36,-3.7,-0.36,190775,181269683.38,3.5,9.67,9.33,9.66,9.72,3.28,30.45,2.79
45,46,300269,联建光电,4.14,-3.72,-0.16,250813,104813613.0,3.95,4.3,4.13,4.27,4.3,4.77,-247.45,29.03
46,47,300162,雷曼光电,7.34,-3.93,-0.3,136917,101674194.0,4.19,7.64,7.32,7.62,7.64,4.02,-53.29,3.28
47,48,300602,飞荣达,21.7,-4.02,-0.91,186194,408745100.46,3.8,22.44,21.58,22.42,22.61,4.75,90.99,3.31
48,49,300980,祥源新材,27.8,-4.3,-1.25,65955,184686739.04,7.85,29.6,27.32,29.47,29.05,6.71,138.01,2.81
49,50,002579,中京电子,8.56,-4.36,-0.39,250360,217597726.12,4.58,8.94,8.53,8.84,8.95,4.3,-41.99,2.18
50,51,300545,联得装备,33.79,-4.41,-1.56,63497,216694320.0,3.85,35.02,33.66,35.01,35.35,5.56,23.4,3.29
