,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002204,大连重工,7.0,10.06,0.64,230333,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
1,2,002907,华森制药,14.39,10.02,1.31,90885,130783845.97,0.0,14.39,14.39,14.39,13.08,2.94,60.43,3.63
2,3,603686,福龙马,13.97,10.0,1.27,460403,606243665.0,10.79,13.97,12.6,12.6,12.7,11.08,37.72,1.75
3,4,000555,神州信息,15.96,9.99,1.45,1360664,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
4,5,002115,三维通信,9.38,9.96,0.85,1694326,1565939432.87,11.96,9.38,8.36,8.51,8.53,22.53,-231.69,3.26
5,6,600583,海油工程,6.2,7.27,0.42,3446947,2145302075.0,9.17,6.36,5.83,5.88,5.78,7.8,12.68,1.04
6,7,002498,汉缆股份,3.88,6.89,0.25,2098617,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
7,8,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
8,9,002310,*ST东园,2.02,5.21,0.1,1099696,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
9,10,001872,招商港口,21.42,5.05,1.03,243955,520240164.16,7.26,21.88,20.4,20.54,20.39,1.4,10.75,0.88
10,11,600777,ST新潮,2.19,4.78,0.1,999507,218471842.0,1.44,2.19,2.16,2.17,2.09,1.57,6.76,0.69
11,12,600876,凯盛新能,10.85,4.73,0.49,249719,265308706.0,12.45,11.39,10.1,10.44,10.36,6.31,-21.25,1.6
12,13,000039,中集集团,9.56,4.71,0.43,1345893,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
13,14,600105,永鼎股份,6.18,4.57,0.27,2003783,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
14,15,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
15,16,000006,深振业Ａ,6.76,4.32,0.28,505532,334417286.98,8.49,6.94,6.39,6.45,6.48,3.74,-13.07,1.42
16,17,601098,中南传媒,13.2,4.18,0.53,255851,332313985.0,4.81,13.25,12.64,12.64,12.67,1.42,18.58,1.56
17,18,600072,中船科技,14.12,4.13,0.56,993698,1405969063.0,6.34,14.47,13.61,13.7,13.56,9.17,-226.02,1.98
18,19,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
19,20,601808,中海油服,15.53,3.95,0.59,499918,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
20,21,601298,青岛港,8.79,3.9,0.33,292789,256243598.0,4.02,8.91,8.57,8.59,8.46,0.54,10.9,1.34
21,22,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
22,23,600871,石化油服,2.04,3.55,0.07,2391007,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
23,24,600482,中国动力,23.4,3.54,0.8,616091,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
24,25,000796,凯撒旅业,4.21,3.44,0.14,1318817,551308552.69,5.41,4.25,4.03,4.03,4.07,9.91,-278.87,7.86
25,26,002258,利尔化学,9.08,3.42,0.3,226906,204304198.62,4.9,9.18,8.75,8.75,8.78,2.84,33.75,0.94
26,27,601615,明阳智能,12.05,3.26,0.38,900217,1081583348.0,5.66,12.24,11.58,11.64,11.67,3.96,25.39,1.01
27,28,600487,亨通光电,17.59,3.23,0.55,2108044,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
28,29,002353,杰瑞股份,36.86,3.1,1.11,169898,627644169.01,4.98,37.52,35.74,35.78,35.75,2.45,17.71,1.88
29,30,600350,山东高速,10.03,3.08,0.3,215574,213296279.0,4.32,10.13,9.71,9.73,9.73,0.44,14.51,1.67
30,31,002080,中材科技,15.23,3.04,0.45,410748,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
31,32,603337,杰克股份,31.49,2.98,0.91,44548,139246500.0,4.71,31.88,30.44,30.44,30.58,0.94,18.42,3.45
32,33,601989,中国重工,4.51,2.97,0.13,4213906,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
