,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,831689,克莱特,49.29,19.93,8.19,148112,709566126.12,30.58,52.85,40.28,40.37,41.1,39.8,49.74,7.76
2,3,301137,哈焊华通,21.9,17.36,3.24,229900,489891256.77,17.04,22.39,19.21,19.3,18.66,22.61,176.14,2.99
3,4,002204,大连重工,7.0,10.06,0.64,230333,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
4,5,603280,南方路机,28.0,10.02,2.55,92157,249020109.0,12.89,28.0,24.72,24.96,25.45,32.98,27.02,2.33
5,6,601226,华电科工,7.6,9.99,0.69,302414,224781898.0,8.68,7.6,7.0,7.01,6.91,2.6,61.74,2.08
6,7,300185,通裕重工,2.9,7.41,0.2,3683071,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
7,8,002498,汉缆股份,3.88,6.89,0.25,2098617,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
8,9,002724,海洋王,8.48,5.74,0.46,1161113,995693957.26,9.98,8.82,8.02,8.69,8.02,20.31,93.88,2.31
9,10,300198,纳川股份,2.91,5.43,0.15,3092782,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
10,11,600558,大西洋,5.3,4.95,0.25,878991,461862271.0,10.3,5.49,4.97,4.97,5.05,9.79,41.4,2.08
11,12,002255,海陆重工,7.43,4.94,0.35,1403142,1070549021.62,10.59,7.79,7.04,7.05,7.08,21.99,16.36,1.49
12,13,833781,瑞奇智造,11.05,4.84,0.51,119621,128830125.33,7.4,11.14,10.36,10.54,10.54,12.89,50.58,3.79
13,14,002523,天桥起重,4.23,4.7,0.19,1836964,765045914.71,9.9,4.39,3.99,4.0,4.04,13.01,255.08,2.59
14,15,300963,中洲特材,10.4,4.42,0.44,333806,337372393.52,7.53,10.4,9.65,9.76,9.96,16.65,35.1,3.32
15,16,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
