,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
1,2,603303,得邦照明,12.68,-0.7,-0.09,16499,20996773.0,2.11,12.88,12.61,12.83,12.77,0.35,17.41,1.7
2,3,001326,联域股份,34.36,-1.29,-0.45,8379,28848713.0,2.36,34.9,34.08,34.9,34.81,4.04,20.06,2.07
3,4,600703,三安光电,12.4,-1.43,-0.18,399107,497472559.0,2.38,12.64,12.34,12.56,12.58,0.8,187.72,1.68
4,5,300582,英飞特,13.73,-1.44,-0.2,76110,104360667.81,2.3,13.9,13.58,13.75,13.93,3.43,66.02,2.7
5,6,301002,崧盛股份,17.79,-1.77,-0.32,18719,33649609.2,3.75,18.41,17.73,18.15,18.11,2.56,88.09,2.76
6,7,300303,聚飞光电,7.02,-1.96,-0.14,402219,284521565.7,3.21,7.2,6.97,7.14,7.16,3.05,29.18,2.66
7,8,605365,立达信,15.85,-2.52,-0.41,22174,35398486.0,2.46,16.18,15.78,16.16,16.26,0.44,21.4,2.17
8,9,002449,国星光电,10.1,-2.79,-0.29,283222,288804450.2,2.69,10.36,10.08,10.35,10.39,4.59,70.23,1.63
9,10,300219,鸿利智汇,7.23,-2.95,-0.22,152123,111123359.0,3.49,7.45,7.19,7.4,7.45,2.15,42.02,1.97
10,11,300241,瑞丰光电,5.5,-3.0,-0.17,187403,104117901.02,3.0,5.65,5.48,5.63,5.67,3.28,63.42,1.77
11,12,300306,远方信息,13.22,-3.36,-0.46,55151,73492037.0,3.36,13.6,13.14,13.58,13.68,3.5,38.43,2.32
12,13,002654,万润科技,13.23,-3.85,-0.53,409968,548374815.58,3.49,13.69,13.21,13.62,13.76,4.85,252.04,7.42
13,14,300162,雷曼光电,7.34,-3.93,-0.3,136917,101674194.0,4.19,7.64,7.32,7.62,7.64,4.02,-53.29,3.28
14,15,002137,实益达,8.8,-4.03,-0.37,295953,263027110.89,3.27,9.1,8.8,9.08,9.17,7.46,141.31,3.3
15,16,002745,木林森,9.2,-4.17,-0.4,401659,373675571.25,4.9,9.62,9.15,9.56,9.6,3.77,28.22,1.06
16,17,300543,朗科智能,12.33,-4.93,-0.64,207544,258709887.05,4.7,12.88,12.27,12.8,12.97,8.9,58.52,2.88
17,18,002983,芯瑞达,18.52,-6.93,-1.38,91129,175026570.01,8.94,20.26,18.48,19.88,19.9,7.11,41.36,3.18
