,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
1,2,600487,亨通光电,17.59,3.23,0.55,2108044,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
2,3,603211,晋拓股份,22.92,3.15,0.7,316385,720267601.0,9.45,23.5,21.4,21.69,22.22,46.56,108.48,5.28
3,4,600764,中国海防,31.64,2.56,0.79,371930,1205940057.0,10.02,33.94,30.85,30.98,30.85,5.23,113.12,2.79
4,5,301517,陕西华达,55.42,2.06,1.12,52649,290823800.82,5.1,56.36,53.59,53.95,54.3,12.39,131.61,4.45
5,6,300342,天银机电,19.24,1.0,0.19,341410,658387821.7,4.2,19.6,18.8,18.86,19.05,8.17,110.95,5.32
6,7,002792,通宇通讯,15.74,0.58,0.09,333336,527084072.96,6.45,16.24,15.23,15.42,15.65,10.62,119.77,2.96
7,8,000547,航天发展,7.69,0.39,0.03,324145,250802740.68,4.05,7.91,7.6,7.63,7.66,2.04,-16.53,1.95
8,9,600741,华域汽车,17.84,-0.34,-0.06,190236,341490631.0,2.4,18.18,17.75,17.92,17.9,0.6,9.43,0.94
9,10,002446,盛路通信,6.71,-0.89,-0.06,333580,225411896.93,3.55,6.91,6.67,6.73,6.77,3.94,69.31,1.87
10,11,002413,雷科防务,4.95,-1.2,-0.06,454374,228288556.08,3.19,5.1,4.94,4.99,5.01,3.63,-36.36,1.77
11,12,001270,铖昌科技,31.71,-1.4,-0.45,38271,122352085.94,3.95,32.75,31.48,31.93,32.16,3.77,-156.33,4.83
12,13,002023,海特高新,10.47,-1.41,-0.15,129379,136518022.24,3.01,10.72,10.4,10.58,10.62,1.75,93.99,1.81
13,14,002194,武汉凡谷,13.08,-1.88,-0.25,389579,516828700.64,4.88,13.65,13.0,13.35,13.33,7.65,143.94,3.52
14,15,002414,高德红外,8.24,-1.9,-0.16,343956,284802174.87,3.1,8.44,8.18,8.36,8.4,1.01,525.63,5.17
15,16,300427,红相股份,5.78,-2.36,-0.14,123063,71675952.6,2.53,5.91,5.76,5.91,5.92,2.49,-8.74,2.39
16,17,002156,通富微电,27.4,-2.42,-0.68,323168,892535277.73,2.88,28.08,27.27,27.94,28.08,2.13,56.44,2.87
17,18,301050,雷电微力,54.22,-2.48,-1.38,74657,409743072.08,4.26,56.2,53.83,55.02,55.6,3.57,26.63,4.56
18,19,600210,紫江企业,6.74,-2.6,-0.18,387964,264177077.0,3.03,6.92,6.71,6.9,6.92,2.56,14.53,1.74
19,20,301628,强达电路,92.88,-2.71,-2.59,15911,149374407.0,3.21,95.88,92.82,95.47,95.47,8.44,65.91,6.7
20,21,831961,创远信科,18.72,-2.8,-0.54,56387,106224184.53,3.95,19.26,18.5,19.0,19.26,5.35,160.34,3.53
21,22,002236,大华股份,17.85,-2.88,-0.53,1062577,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
22,23,300292,吴通控股,5.29,-3.11,-0.17,529504,282882636.0,3.11,5.45,5.28,5.43,5.46,4.74,66.76,5.19
23,24,300366,创意信息,10.08,-3.26,-0.34,161594,165043579.8,3.45,10.44,10.08,10.32,10.42,3.05,-23.72,3.53
24,25,603118,共进股份,11.15,-3.38,-0.39,413434,465362321.0,2.95,11.48,11.14,11.45,11.54,5.25,480.63,1.74
25,26,834021,流金科技,6.88,-3.51,-0.25,165718,115305662.31,5.75,7.19,6.78,7.05,7.13,6.58,-70.76,3.33
26,27,300322,硕贝德,13.92,-4.07,-0.59,228315,321571178.65,4.48,14.49,13.84,14.4,14.51,5.13,1333.52,6.26
27,28,002590,万安科技,13.83,-4.09,-0.59,245544,342913895.64,3.74,14.32,13.78,14.32,14.42,4.96,36.48,2.54
28,29,002970,锐明技术,54.82,-4.51,-2.59,56926,317677586.0,4.84,57.39,54.61,56.67,57.41,4.9,33.09,5.88
29,30,002402,和而泰,20.83,-4.71,-1.03,684890,1440713467.39,4.16,21.67,20.76,21.66,21.86,8.55,40.67,4.13
30,31,603633,徕木股份,8.59,-4.77,-0.43,186005,162100012.0,4.55,8.99,8.58,8.96,9.02,4.36,39.23,1.87
31,32,300136,信维通信,25.38,-5.19,-1.39,450547,1166120575.65,5.23,26.7,25.3,26.5,26.77,5.46,34.54,3.42
32,33,301419,阿莱德,34.25,-5.44,-1.97,34460,120015187.0,5.27,36.08,34.17,36.01,36.22,9.75,92.93,3.69
33,34,000581,威孚高科,23.24,-5.53,-1.36,457565,1083039174.74,5.08,24.49,23.24,24.3,24.6,5.55,13.6,1.19
34,35,300684,中石科技,24.93,-5.64,-1.49,128658,329205236.04,5.37,26.35,24.93,26.3,26.42,6.41,42.4,3.84
35,36,301488,豪恩汽电,68.85,-5.89,-4.31,21076,147571788.46,5.66,72.99,68.85,72.3,73.16,9.0,67.82,4.96
36,37,605228,神通科技,11.82,-6.26,-0.79,107894,129538223.0,5.55,12.49,11.79,12.48,12.61,2.55,228.09,3.32
37,38,300691,联合光电,23.3,-6.28,-1.56,188517,450753467.96,6.23,24.66,23.11,24.52,24.86,8.95,131.47,3.83
38,39,835640,富士达,27.0,-6.57,-1.9,74092,203887483.2,5.33,28.54,27.0,28.54,28.9,4.1,75.06,5.81
39,40,301536,星宸科技,69.08,-6.81,-5.05,39404,277692341.37,6.81,74.13,69.08,74.0,74.13,10.4,111.17,10.05
40,41,688219,会通股份,13.71,-7.05,-1.04,198099,279645025.0,7.05,14.75,13.71,14.57,14.75,4.21,33.27,2.81
