,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300203,聚光科技,16.93,-0.06,-0.01,83408,140794766.0,3.07,17.2,16.68,16.9,16.94,1.86,48.43,2.51
1,2,300875,捷强装备,29.86,-0.13,-0.04,43467,129959225.3,3.88,30.47,29.31,29.67,29.9,5.08,-237.36,2.4
2,3,300137,ST先河,6.47,-0.31,-0.02,43161,28141367.83,2.93,6.6,6.41,6.41,6.49,0.82,483.11,1.95
3,4,002658,雪迪龙,6.91,-0.43,-0.03,80457,55822743.0,2.02,7.01,6.87,6.94,6.94,2.24,43.44,1.76
4,5,688622,禾信仪器,91.29,-0.47,-0.43,17744,164394261.0,6.73,95.19,89.02,91.24,91.72,2.53,-131.46,16.86
5,6,688600,皖仪科技,15.96,-0.75,-0.12,13588,21682043.0,2.61,16.2,15.78,16.12,16.08,1.01,117.28,2.7
6,7,002332,仙琚制药,10.03,-0.99,-0.1,242093,244796411.7,2.17,10.21,9.99,10.13,10.13,2.46,14.04,1.65
7,8,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
8,9,300165,ST天瑞,3.18,-1.55,-0.05,108305,34500769.4,2.48,3.23,3.15,3.21,3.23,2.58,-172.74,1.14
9,10,300862,蓝盾光电,29.08,-2.22,-0.66,79386,230501562.2,6.15,29.83,28.0,29.35,29.74,5.24,-632.81,2.69
10,11,002322,理工能科,14.34,-2.78,-0.41,70607,102798771.0,4.14,14.92,14.31,14.75,14.75,1.93,21.86,1.87
