,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601678,滨化股份,4.03,2.03,0.08,698654,282860077.0,4.81,4.14,3.95,4.0,3.95,3.44,32.87,0.73
1,2,603810,丰山集团,12.62,0.96,0.12,65713,84057330.0,5.44,13.1,12.42,12.45,12.5,3.98,-63.15,1.42
2,3,000830,鲁西化工,12.21,0.08,0.01,180202,220357221.63,1.64,12.34,12.14,12.16,12.2,0.95,11.11,1.28
3,4,603978,深圳新星,14.45,-0.07,-0.01,44035,63437280.0,2.35,14.57,14.23,14.47,14.46,2.09,-23.3,1.65
4,5,600096,云天化,22.11,-0.41,-0.09,286980,636021500.0,2.61,22.49,21.91,22.18,22.2,1.56,6.88,1.89
5,6,600010,包钢股份,1.86,-0.53,-0.01,3760182,702542968.0,2.14,1.89,1.85,1.86,1.87,1.2,-122.33,1.64
6,7,002407,多氟多,12.28,-0.73,-0.09,145404,179360862.37,1.62,12.42,12.22,12.36,12.37,1.35,439.2,1.65
7,8,605020,永和股份,22.72,-0.83,-0.19,46824,106794771.0,2.27,23.14,22.62,22.9,22.91,1.24,54.74,2.5
8,9,600141,兴发集团,22.51,-0.84,-0.19,110667,249723073.0,2.42,22.9,22.35,22.61,22.7,1.0,14.17,1.18
9,10,603379,三美股份,40.88,-1.02,-0.42,59302,244016970.0,3.22,41.97,40.64,41.37,41.3,0.97,33.37,4.01
10,11,002012,凯恩股份,4.78,-1.04,-0.05,95768,45850076.64,2.48,4.85,4.73,4.81,4.83,2.05,91.58,1.45
11,12,300821,东岳硅材,8.26,-1.08,-0.09,94363,78230991.2,2.4,8.42,8.22,8.27,8.35,0.79,83.91,1.99
12,13,688146,中船特气,29.24,-1.18,-0.35,27393,80820747.0,2.43,29.9,29.18,29.5,29.59,1.92,50.93,2.81
13,14,603310,巍华新材,18.59,-1.22,-0.23,26511,49847479.0,2.87,19.12,18.58,18.8,18.82,3.84,26.19,1.59
14,15,003017,大洋生物,21.58,-1.24,-0.27,13745,29660059.0,2.33,21.89,21.38,21.73,21.85,1.99,26.52,1.76
15,16,000422,湖北宜化,13.4,-1.25,-0.17,331898,451089802.59,3.91,13.91,13.38,13.57,13.57,3.14,14.35,1.96
16,17,002409,雅克科技,59.66,-1.78,-1.08,58126,351349148.58,2.98,61.47,59.66,60.56,60.74,1.82,28.44,3.91
17,18,603026,石大胜华,35.5,-2.07,-0.75,31346,111956445.0,2.65,36.32,35.36,36.22,36.25,1.55,479.03,1.85
18,19,002709,天赐材料,19.27,-2.13,-0.42,235693,457251781.6,3.05,19.77,19.17,19.66,19.69,1.7,81.78,2.85
19,20,688189,南新制药,6.69,-2.19,-0.15,38405,25965535.0,3.22,6.9,6.68,6.87,6.84,1.4,-5.18,1.92
20,21,300037,新宙邦,33.7,-2.21,-0.76,103072,350242146.29,2.81,34.57,33.6,34.3,34.46,1.89,27.16,2.74
21,22,600378,昊华科技,26.94,-2.36,-0.65,22534,61361948.0,3.01,27.72,26.89,27.5,27.59,0.25,30.62,2.05
22,23,600673,东阳光,9.99,-2.44,-0.25,246739,247840702.0,3.32,10.26,9.92,10.23,10.24,0.82,72.27,3.31
23,24,002738,中矿资源,33.71,-2.46,-0.85,111624,380286533.63,2.98,34.66,33.63,34.5,34.56,1.57,33.42,2.04
24,25,688386,泛亚微透,44.8,-2.61,-1.2,9654,43508582.0,4.57,46.3,44.2,45.79,46.0,1.38,30.73,4.3
25,26,002442,龙星科技,6.55,-2.67,-0.18,470557,310594028.53,4.61,6.77,6.46,6.61,6.73,9.63,22.05,1.84
26,27,002759,天际股份,8.3,-3.71,-0.32,143159,120877164.12,3.71,8.61,8.29,8.6,8.62,2.86,-16.56,0.96
27,28,300343,联创股份,5.85,-3.94,-0.24,275507,164574651.2,4.43,6.12,5.85,6.1,6.09,2.58,-279.48,3.27
28,29,002326,永太科技,10.73,-4.2,-0.47,304018,331983211.99,4.55,11.23,10.72,11.16,11.2,3.78,-82.88,3.22
29,30,002915,中欣氟材,13.43,-4.89,-0.69,109550,149345728.4,5.1,14.12,13.4,14.12,14.12,3.8,-76.25,3.03
30,31,600184,光电股份,13.38,-5.31,-0.75,137637,187412654.0,6.02,14.1,13.25,14.0,14.13,2.71,4619.88,2.7
31,32,600160,巨化股份,23.65,-5.51,-1.38,348582,846874048.0,5.87,25.12,23.65,25.0,25.03,1.29,38.08,3.74
