,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002255,海陆重工,7.43,4.94,0.35,1403142.0,1070549021.62,10.59,7.79,7.04,7.05,7.08,21.99,16.36,1.49
1,2,002977,天箭科技,29.77,4.71,1.34,46442.0,135370512.04,5.42,29.84,28.3,28.3,28.43,6.97,371.57,3.29
2,3,301348,蓝箭电子,25.88,2.17,0.55,162637.0,419328072.22,5.01,26.17,24.9,24.93,25.33,12.19,41206.0,3.42
3,4,300296,利亚德,8.03,1.77,0.14,3531104.0,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
4,5,300870,欧陆通,148.3,0.77,1.13,31075.0,461576205.73,3.74,151.5,146.0,146.0,147.17,2.94,75.01,7.26
5,6,002885,京泉华,15.54,0.65,0.1,344706.0,525297024.99,7.51,15.82,14.66,15.12,15.44,14.83,74.85,2.96
6,7,600745,闻泰科技,34.89,0.58,0.2,322446.0,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
7,8,000547,航天发展,7.69,0.39,0.03,324145.0,250802740.68,4.05,7.91,7.6,7.63,7.66,2.04,-16.53,1.95
8,9,300656,民德电子,24.81,0.24,0.06,30144.0,74447100.57,2.83,24.99,24.29,24.53,24.75,2.41,-312.24,3.8
9,10,300464,星徽股份,5.14,-0.58,-0.03,129486.0,67146746.0,2.32,5.25,5.13,5.19,5.17,3.64,-41.08,4.3
10,11,688200,华峰测控,141.0,-0.75,-1.07,14003.0,196701058.0,2.77,142.98,139.05,141.55,142.07,1.03,57.19,5.35
11,12,300123,亚光科技,6.91,-0.86,-0.06,1030207.0,726351037.95,5.88,7.24,6.83,6.86,6.97,10.3,-64.49,2.94
12,13,300102,乾照光电,11.33,-1.22,-0.14,184440.0,209838307.36,2.09,11.52,11.28,11.39,11.47,2.02,160.2,2.57
13,14,001270,铖昌科技,31.71,-1.4,-0.45,38271.0,122352085.94,3.95,32.75,31.48,31.93,32.16,3.77,-156.33,4.83
14,15,002023,海特高新,10.47,-1.41,-0.15,129379.0,136518022.24,3.01,10.72,10.4,10.58,10.62,1.75,93.99,1.81
15,16,600703,三安光电,12.4,-1.43,-0.18,399107.0,497472559.0,2.38,12.64,12.34,12.56,12.58,0.8,187.72,1.68
16,17,002429,兆驰股份,5.44,-1.63,-0.09,627378.0,344447804.0,2.71,5.57,5.42,5.54,5.53,1.39,13.46,1.57
17,18,300376,ST易事特,3.6,-1.64,-0.06,157476.0,56978144.0,2.19,3.66,3.58,3.64,3.66,0.68,30.51,1.2
18,19,300346,南大光电,36.12,-1.66,-0.61,114277.0,414961249.1,2.61,36.9,35.94,36.74,36.73,2.09,58.74,6.23
19,20,002185,华天科技,10.85,-1.81,-0.2,407392.0,445278173.12,2.44,11.08,10.81,11.0,11.05,1.27,73.03,2.11
20,21,002902,铭普光磁,19.83,-1.98,-0.4,62038.0,123733676.0,2.17,20.24,19.8,20.16,20.23,3.49,-25.11,4.22
21,22,688396,华润微,45.79,-2.05,-0.96,60870.0,280656440.0,2.33,46.8,45.71,46.5,46.75,0.46,78.35,2.71
22,23,688689,银河微电,23.88,-2.17,-0.53,10189.0,24548735.0,2.74,24.45,23.78,24.22,24.41,0.79,44.14,2.31
23,24,603948,建业股份,18.63,-2.2,-0.42,9817.0,18405693.0,2.68,19.09,18.58,18.99,19.05,0.6,13.65,1.48
24,25,605358,立昂微,24.26,-2.22,-0.55,79137.0,193197032.0,2.46,24.79,24.18,24.66,24.81,1.18,-224.79,2.18
25,26,600460,士兰微,24.65,-2.26,-0.57,213619.0,530284030.0,2.58,25.2,24.55,25.15,25.22,1.28,1065.31,3.4
26,27,000016,深康佳Ａ,5.02,-2.33,-0.12,626125.0,315642925.88,3.31,5.15,4.98,5.13,5.14,3.92,-5.64,2.99
27,28,002371,北方华创,418.8,-2.37,-10.16,54038.0,2272787141.14,4.08,431.65,414.15,429.5,428.96,1.01,37.58,7.7
28,29,300787,海能实业,13.55,-2.38,-0.33,40029.0,54633702.8,2.74,13.88,13.5,13.88,13.88,2.48,52.49,2.45
