,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600097,开创国际,11.73,10.04,1.07,64274,75393402.0,0.0,11.73,11.73,11.73,10.66,2.67,129.41,1.29
1,2,600467,好当家,2.79,9.84,0.25,3280715,896298165.0,11.42,2.79,2.5,2.53,2.54,22.46,103.54,1.2
2,3,002086,东方海洋,3.76,9.62,0.33,4725647,1732184355.08,11.37,3.77,3.38,3.43,3.43,31.15,-79.36,4.76
3,4,002696,百洋股份,5.96,4.01,0.23,512690,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
4,5,300094,国联水产,4.09,2.0,0.08,1761210,726535866.92,9.73,4.33,3.94,3.95,4.01,15.94,-43.5,1.85
5,6,002069,獐子岛,3.98,1.79,0.07,308676,124108868.55,5.88,4.13,3.9,3.91,3.91,4.35,-85.76,58.33
6,7,600257,大湖股份,5.05,0.8,0.04,409061,207828304.0,3.99,5.18,4.98,4.98,5.01,8.5,-85.08,2.84
7,8,603668,天马科技,12.51,-0.16,-0.02,97480,122128584.0,3.75,12.77,12.3,12.53,12.53,1.94,67.9,2.78
8,9,002385,大北农,4.05,-0.49,-0.02,601495,244183984.28,1.47,4.09,4.03,4.06,4.07,1.71,97.86,2.11
9,10,603609,禾丰股份,7.6,-0.52,-0.04,39678,30236232.0,1.7,7.69,7.56,7.64,7.64,0.43,18.13,1.07
10,11,600438,通威股份,20.79,-1.0,-0.21,375558,785919473.0,2.38,21.25,20.75,20.95,21.0,0.83,-17.67,1.89
11,12,000798,中水渔业,7.77,-1.15,-0.09,421836,336538186.5,7.25,8.27,7.7,7.86,7.86,11.53,131.77,5.8
12,13,300268,*ST佳沃,9.12,-1.83,-0.17,31343,28514852.0,6.57,9.43,8.82,9.3,9.29,2.34,-1.72,-0.91
13,14,002311,海大集团,48.89,-1.85,-0.92,40107,197178176.43,2.81,50.15,48.75,49.56,49.81,0.24,18.01,3.4
14,15,001313,粤海饲料,9.17,-2.03,-0.19,73797,68862068.0,3.85,9.52,9.16,9.4,9.36,1.06,-71.42,2.48
15,16,300189,神农种业,3.74,-2.35,-0.09,437639,165253693.42,3.13,3.85,3.73,3.8,3.83,4.94,-132.02,5.11
16,17,603739,蔚蓝生物,12.96,-2.41,-0.32,43649,56867447.0,2.94,13.28,12.89,13.28,13.28,1.73,60.21,1.9
