,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301079,邵阳液压,29.06,19.98,4.84,274491.0,789379368.32,10.73,29.06,26.46,28.28,24.22,39.82,140.73,6.49
1,2,000779,甘咨询,11.97,10.02,1.09,740426.0,827036859.0,12.68,11.97,10.59,10.7,10.88,15.93,23.14,1.47
2,3,301038,深水规院,22.48,5.69,1.21,192334.0,421755194.44,10.34,22.91,20.71,21.0,21.27,11.21,-740.22,4.61
3,4,300198,纳川股份,2.91,5.43,0.15,3092782.0,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
4,5,001379,腾达科技,24.88,4.01,0.96,180802.0,452289687.89,12.21,26.31,23.39,23.51,23.92,26.87,64.82,3.43
5,6,000533,顺钠股份,7.38,3.36,0.24,1194634.0,868909368.54,8.26,7.6,7.01,7.06,7.14,17.44,53.64,6.02
6,7,300177,中海达,12.8,3.23,0.4,1456461.0,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
7,8,000601,韶能股份,5.42,2.65,0.14,2331603.0,1247927154.33,16.67,5.81,4.93,5.28,5.28,21.58,22.32,1.37
8,9,002383,合众思壮,8.82,2.44,0.21,383237.0,336332254.04,5.11,8.95,8.51,8.63,8.61,6.22,-76.85,3.57
9,10,002639,雪人股份,7.9,1.94,0.15,1071223.0,847686421.16,5.29,8.15,7.74,7.76,7.75,16.47,136.32,2.48
10,11,301390,经纬股份,37.05,1.81,0.66,39969.0,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
11,12,000600,建投能源,5.8,1.75,0.1,540123.0,314332067.83,4.56,5.92,5.66,5.7,5.7,4.96,18.04,1.03
12,13,002487,大金重工,23.56,1.73,0.4,205974.0,492217337.48,3.8,24.2,23.32,23.32,23.16,3.26,39.96,2.12
13,14,301151,冠龙节能,16.52,1.16,0.19,72700.0,120966454.32,5.21,17.05,16.2,16.32,16.33,13.04,93.67,1.38
14,15,600736,苏州高新,6.08,0.83,0.05,288652.0,173609593.0,3.98,6.15,5.91,6.05,6.03,2.51,22.15,0.94
15,16,002443,金洲管道,6.22,0.81,0.05,100560.0,62463571.0,1.62,6.25,6.15,6.15,6.17,1.94,19.75,0.94
16,17,300365,恒华科技,6.91,0.73,0.05,364903.0,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
17,18,603757,大元泵业,25.4,0.71,0.18,61298.0,155100147.0,4.56,25.96,24.81,25.13,25.22,3.72,16.21,2.73
18,19,603856,东宏股份,11.45,0.7,0.08,58135.0,67447335.0,4.93,11.86,11.3,11.35,11.37,2.27,14.37,1.24
19,20,600869,远东股份,5.07,0.6,0.03,930205.0,481033900.0,7.74,5.33,4.94,5.0,5.04,4.19,-84.99,2.52
20,21,002266,浙富控股,3.41,0.59,0.02,319285.0,108953802.82,2.06,3.45,3.38,3.38,3.39,0.65,17.21,1.59
21,22,002051,中工国际,8.56,0.59,0.05,275355.0,237300462.5,3.64,8.78,8.47,8.51,8.51,2.23,29.37,0.93
22,23,002060,广东建工,3.59,0.56,0.02,226945.0,81750096.14,1.96,3.63,3.56,3.57,3.57,1.45,15.69,1.03
23,24,000065,北方国际,11.33,0.53,0.06,477779.0,550341543.46,5.5,11.78,11.16,11.2,11.27,5.09,11.6,1.27
24,25,601868,中国能建,2.31,0.43,0.01,3681949.0,854649091.0,1.74,2.34,2.3,2.3,2.3,1.14,20.04,0.94
