,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,835579,机科股份,33.06,1.47,0.48,80738,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
1,2,603289,泰瑞机器,9.69,0.31,0.03,70630,68458793.0,3.21,9.83,9.52,9.63,9.66,2.41,48.58,2.04
2,3,603978,深圳新星,14.45,-0.07,-0.01,44035,63437280.0,2.35,14.57,14.23,14.47,14.46,2.09,-23.3,1.65
3,4,605050,福然德,10.99,-0.81,-0.09,30206,33300967.0,2.17,11.17,10.93,11.04,11.08,0.61,17.5,1.29
4,5,002547,春兴精工,5.37,-1.1,-0.06,2603841,1429656323.28,7.37,5.66,5.26,5.43,5.43,23.57,-25.71,91.37
5,6,002863,今飞凯达,5.49,-1.44,-0.08,1302293,742170647.97,9.87,5.98,5.43,5.85,5.57,21.72,40.75,1.2
6,7,603190,亚通精工,23.96,-1.52,-0.37,39053,94850664.0,5.3,25.08,23.79,24.24,24.33,9.64,25.82,1.37
7,8,603982,泉峰汽车,9.14,-1.72,-0.16,129966,120602383.0,4.62,9.53,9.1,9.26,9.3,4.77,-4.91,1.34
8,9,688531,日联科技,61.58,-2.15,-1.35,27907,173123787.0,2.88,63.11,61.3,62.25,62.93,3.81,49.97,2.18
9,10,002182,宝武镁业,12.92,-2.2,-0.29,229317,298581222.67,2.8,13.23,12.86,13.18,13.21,2.65,62.5,2.4
10,11,603768,常青股份,13.6,-2.79,-0.39,57096,78537702.0,3.43,14.05,13.57,13.96,13.99,2.4,34.38,1.32
11,12,001696,宗申动力,22.41,-3.2,-0.74,306569,693986710.6,3.07,23.1,22.39,23.03,23.15,3.44,49.2,5.22
12,13,603348,文灿股份,25.46,-3.3,-0.87,101692,260453573.0,3.99,26.25,25.2,26.25,26.33,3.23,61.79,1.88
13,14,600006,东风股份,7.43,-3.51,-0.27,486915,366067285.0,3.25,7.66,7.41,7.65,7.7,2.43,-97.21,1.83
14,15,002101,广东鸿图,13.88,-3.54,-0.51,154941,217558964.3,2.99,14.3,13.87,14.24,14.39,2.34,22.19,1.18
15,16,603335,迪生力,4.49,-3.65,-0.17,113054,51217161.0,3.65,4.65,4.48,4.63,4.66,2.64,-20.81,5.65
16,17,002085,万丰奥威,18.36,-3.67,-0.7,618879,1153944294.82,4.09,19.14,18.36,19.08,19.06,2.91,51.88,5.65
17,18,300428,立中集团,18.89,-3.72,-0.73,120673,230560622.82,3.26,19.52,18.88,19.45,19.62,2.19,17.32,1.65
18,19,300415,伊之密,23.76,-4.42,-1.1,172280,415114290.84,3.62,24.61,23.71,24.6,24.86,3.8,17.38,3.91
19,20,603917,合力科技,13.56,-4.57,-0.65,92252,126610318.0,5.0,14.21,13.5,14.21,14.21,4.53,630.45,1.63
20,21,601689,拓普集团,58.5,-4.61,-2.83,434009,2565673266.0,5.41,61.47,58.15,60.51,61.33,2.5,34.13,4.81
21,22,301307,美利信,24.54,-4.96,-1.28,129185,320829511.0,6.2,25.79,24.19,25.77,25.82,11.85,-80.86,1.62
22,23,603663,三祥新材,23.18,-5.39,-1.32,206725,487177087.0,4.94,24.3,23.09,24.12,24.5,4.89,95.71,7.51
23,24,002997,瑞鹄模具,43.53,-5.57,-2.57,99761,440813163.73,5.51,45.86,43.32,45.68,46.1,4.77,27.06,4.41
24,25,001311,多利科技,31.27,-6.18,-2.06,64977,207449364.69,5.04,32.73,31.05,32.72,33.33,10.72,16.39,1.67
25,26,301398,星源卓镁,56.28,-7.05,-4.27,24762,142705100.0,7.42,60.5,56.01,59.93,60.55,10.36,60.21,4.16
26,27,605018,长华集团,12.98,-7.09,-0.99,134628,178591056.0,6.3,13.78,12.9,13.67,13.97,2.86,50.98,2.26
27,28,002965,祥鑫科技,61.99,-7.63,-5.12,291846,1842535082.82,11.68,68.33,60.49,66.89,67.11,19.03,35.27,3.09
28,29,300328,宜安科技,11.37,-7.79,-0.96,1300367,1481388958.58,10.95,12.2,10.85,12.03,12.33,18.95,2400.52,7.19
