,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002310,*ST东园,2.02,5.21,0.1,1099696,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
1,2,301265,华新环保,9.71,2.75,0.26,53806,51731653.7,3.92,9.78,9.41,9.45,9.45,3.17,54.5,1.43
2,3,600126,杭钢股份,11.95,0.5,0.06,3285151,3855866281.0,10.09,12.32,11.12,11.5,11.89,9.73,-67.75,2.06
3,4,600548,深高速,11.62,0.09,0.01,32607,37879024.0,1.38,11.7,11.54,11.54,11.61,0.23,22.13,1.42
4,5,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
5,6,002672,东江环保,4.33,-0.46,-0.02,53764,23323669.25,2.07,4.39,4.3,4.36,4.35,0.59,-10.13,1.18
6,7,000826,启迪环境,1.98,-1.0,-0.02,480336,96054319.8,3.5,2.04,1.97,1.99,2.0,3.37,-1.9,0.97
7,8,002340,格林美,6.69,-1.47,-0.1,795613,534786034.51,2.06,6.8,6.66,6.77,6.79,1.56,28.46,1.78
8,9,301026,浩通科技,29.77,-1.49,-0.45,17657,52662250.0,2.45,30.25,29.51,29.88,30.22,2.22,25.57,2.27
9,10,601388,怡球资源,2.5,-2.34,-0.06,394713,99648257.0,3.13,2.57,2.49,2.53,2.56,1.79,53.42,1.22
10,11,601238,广汽集团,8.54,-2.4,-0.21,351442,303163661.0,2.63,8.75,8.52,8.75,8.75,0.48,543.99,0.76
11,12,600676,交运股份,4.31,-2.71,-0.12,125272,54355486.0,3.16,4.42,4.28,4.4,4.43,1.22,-14.77,0.83
12,13,301049,超越科技,24.01,-2.75,-0.68,14059,34076865.0,2.63,24.64,23.99,24.46,24.69,1.49,-48.13,3.15
13,14,600386,北巴传媒,4.97,-3.68,-0.19,291867,146973601.0,4.46,5.19,4.96,5.16,5.16,3.62,120.09,2.25
14,15,838030,德众汽车,7.05,-4.86,-0.36,76700,54683684.98,6.88,7.45,6.94,7.41,7.41,7.85,157.44,2.68
15,16,002009,天奇股份,17.06,-6.52,-1.19,397202,696734478.56,7.67,18.4,17.0,18.3,18.25,9.92,-88.69,3.25
16,17,002645,华宏科技,8.2,-7.87,-0.7,531928,445843205.57,8.65,8.9,8.13,8.86,8.9,10.45,1312.22,1.33
