,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688173,希荻微,12.92,2.95,0.37,142112.0,185304981.0,9.32,13.55,12.38,12.65,12.55,5.92,-18.8,3.57
1,2,600733,北汽蓝谷,8.54,1.3,0.11,2376444.0,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
2,3,600745,闻泰科技,34.89,0.58,0.2,322446.0,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
3,4,002151,北斗星通,26.54,-0.75,-0.2,68595.0,182998464.25,2.02,27.02,26.48,26.53,26.74,1.55,-169.76,2.63
4,5,688262,国芯科技,29.27,-1.11,-0.33,116093.0,336727139.0,8.01,30.5,28.13,29.48,29.6,4.39,-55.92,4.47
5,6,301099,雅创电子,51.0,-1.35,-0.7,52562.0,270859415.31,3.83,52.53,50.55,51.43,51.7,7.71,41.76,4.12
6,7,603501,韦尔股份,136.0,-1.42,-1.96,134741.0,1832940852.0,2.88,138.66,134.68,138.3,137.96,1.11,52.22,7.38
7,8,603375,盛景微,40.3,-1.44,-0.59,43442.0,174916192.0,4.48,41.19,39.36,40.71,40.89,8.02,159.95,2.59
8,9,603160,汇顶科技,76.2,-1.52,-1.18,50020.0,383698745.0,2.73,78.07,75.96,77.11,77.38,1.08,58.3,3.94
9,10,002429,兆驰股份,5.44,-1.63,-0.09,627378.0,344447804.0,2.71,5.57,5.42,5.54,5.53,1.39,13.46,1.57
10,11,002405,四维图新,9.0,-1.64,-0.15,395740.0,358789438.08,2.62,9.21,8.97,9.15,9.15,1.68,-32.9,2.27
11,12,688515,裕太微-U,101.77,-1.68,-1.74,13956.0,145037522.0,5.27,106.96,101.5,104.99,103.51,2.8,-41.2,5.05
12,13,603232,格尔软件,15.23,-1.93,-0.3,92435.0,141544625.0,4.89,15.79,15.03,15.38,15.53,4.0,-70.89,2.68
13,14,688469,芯联集成-U,5.01,-1.96,-0.1,541721.0,273222024.0,2.15,5.11,5.0,5.09,5.11,1.23,-36.58,2.87
14,15,301282,金禄电子,24.11,-2.03,-0.5,42548.0,103280799.0,3.09,24.71,23.95,24.57,24.61,5.9,48.0,2.18
15,16,600584,长电科技,36.26,-2.03,-0.75,312769.0,1142045152.0,2.54,37.04,36.1,36.91,37.01,1.75,45.21,2.42
16,17,688396,华润微,45.79,-2.05,-0.96,60870.0,280656440.0,2.33,46.8,45.71,46.5,46.75,0.46,78.35,2.71
17,18,605111,新洁能,34.75,-2.11,-0.75,119861.0,421691717.0,2.87,35.74,34.72,35.39,35.5,2.89,32.58,3.75
18,19,688689,银河微电,23.88,-2.17,-0.53,10189.0,24548735.0,2.74,24.45,23.78,24.22,24.41,0.79,44.14,2.31
