,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600097,开创国际,11.73,10.04,1.07,64274,75393402.0,0.0,11.73,11.73,11.73,10.66,2.67,129.41,1.29
1,2,600754,锦江酒店,27.29,1.75,0.47,121495,329525757.0,2.72,27.44,26.71,26.8,26.82,1.34,19.81,1.72
2,3,600272,开开实业,15.33,0.66,0.1,177364,276675456.0,3.55,15.86,15.32,15.39,15.23,11.09,80.74,6.02
3,4,600018,上港集团,5.63,0.54,0.03,516429,291728230.0,1.79,5.69,5.59,5.6,5.6,0.22,8.98,0.99
4,5,601083,锦江航运,9.47,0.32,0.03,118179,112196790.0,1.8,9.57,9.4,9.4,9.44,6.09,12.78,1.49
5,6,600649,城投控股,4.31,0.23,0.01,231519,99674243.0,1.63,4.34,4.27,4.29,4.3,0.92,-37.83,0.53
6,7,600822,上海物贸,9.97,0.2,0.02,76568,76108907.0,1.71,10.02,9.85,9.9,9.95,1.93,81.0,4.11
7,8,600629,华建集团,8.26,0.0,0.0,143148,117857690.0,2.42,8.36,8.16,8.21,8.26,1.52,23.91,1.57
8,9,600073,光明肉业,6.68,-0.3,-0.02,92839,62213959.0,1.94,6.77,6.64,6.69,6.7,0.99,12.32,1.21
9,10,600741,华域汽车,17.84,-0.34,-0.06,190236,341490631.0,2.4,18.18,17.75,17.92,17.9,0.6,9.43,0.94
10,11,600819,耀皮玻璃,5.55,-0.36,-0.02,57571,31926294.0,1.97,5.62,5.51,5.55,5.57,0.77,40.43,1.5
11,12,600675,中华企业,2.72,-0.37,-0.01,173255,47349282.0,1.83,2.76,2.71,2.72,2.73,0.29,-23.4,1.16
12,13,600612,老凤祥,52.29,-0.51,-0.27,10905,56983076.0,1.85,52.89,51.92,52.56,52.56,0.34,14.03,2.19
13,14,600825,新华传媒,7.58,-0.52,-0.04,684521,532612037.0,6.82,8.1,7.58,7.62,7.62,6.55,606.62,3.2
14,15,600278,东方创业,6.73,-0.59,-0.04,49815,33673956.0,1.92,6.83,6.7,6.79,6.77,0.57,23.58,0.78
15,16,601607,上海医药,19.09,-0.73,-0.14,110632,212518597.0,1.56,19.37,19.07,19.31,19.23,0.57,13.1,1.0
16,17,600630,龙头股份,9.22,-0.75,-0.07,110381,101974124.0,1.72,9.32,9.16,9.25,9.29,2.6,77.8,5.2
17,18,002561,徐家汇,8.28,-0.84,-0.07,66217,55022724.27,1.68,8.38,8.24,8.36,8.35,1.6,-1315.37,1.56
18,19,600826,兰生股份,7.98,-0.87,-0.07,54199,43463235.0,2.24,8.13,7.95,8.06,8.05,0.74,21.75,1.51
19,20,600626,申达股份,3.93,-1.01,-0.04,292438,116157092.0,6.3,4.16,3.91,4.08,3.97,2.64,-73.14,1.65
20,21,600848,上海临港,9.6,-1.03,-0.1,130784,126495876.0,2.47,9.8,9.56,9.69,9.7,0.55,29.37,1.3
21,22,600597,光明乳业,8.5,-1.05,-0.09,198667,169730646.0,1.75,8.62,8.47,8.55,8.59,1.44,75.52,1.34
22,23,600662,外服控股,5.33,-1.11,-0.06,90261,48394372.0,2.23,5.42,5.3,5.33,5.39,0.4,18.19,2.73
23,24,600635,大众公用,3.9,-1.27,-0.05,305668,119985860.0,2.03,3.97,3.89,3.95,3.95,1.26,50.7,1.37
24,25,600604,市北高新,4.86,-1.42,-0.07,229982,111370907.0,2.84,4.92,4.78,4.9,4.93,1.63,-69.87,1.45
25,26,600636,国新文化,7.59,-1.56,-0.12,60834,46351117.0,2.59,7.72,7.52,7.7,7.71,1.39,-136.01,1.37
26,27,600119,长江投资,7.36,-1.6,-0.12,57424,42513747.0,2.27,7.5,7.33,7.45,7.48,1.57,-72.07,15.08
27,28,600833,第一医药,13.11,-1.65,-0.22,84493,111362467.0,3.53,13.43,12.96,13.33,13.33,3.79,14.89,2.61
28,29,600104,上汽集团,15.32,-1.73,-0.27,376165,580088801.0,1.92,15.61,15.31,15.55,15.59,0.32,19.25,0.61
29,30,600824,益民集团,4.34,-1.81,-0.08,288736,126079225.0,2.26,4.42,4.32,4.41,4.42,2.74,95.73,1.9
30,31,600611,大众交通,6.63,-1.92,-0.13,358916,239689233.0,1.78,6.75,6.63,6.72,6.76,2.3,52.6,1.62
31,32,600692,亚通股份,8.35,-2.0,-0.17,158686,133023960.0,4.11,8.59,8.24,8.48,8.52,6.22,490.54,3.15
32,33,600895,张江高科,25.27,-2.05,-0.53,183403,467226942.0,2.6,25.87,25.2,25.73,25.8,1.18,40.3,2.65
33,34,601727,上海电气,7.94,-2.22,-0.18,1522651,1217082871.0,2.59,8.09,7.88,8.09,8.12,1.2,122.35,2.31
34,35,600622,光大嘉宝,3.16,-2.47,-0.08,443187,141456275.0,2.16,3.23,3.16,3.22,3.24,2.96,-14.04,0.99
35,36,600621,华鑫股份,14.65,-2.66,-0.4,244184,362326408.0,2.79,15.07,14.65,15.04,15.05,2.3,38.36,1.92
36,37,600676,交运股份,4.31,-2.71,-0.12,125272,54355486.0,3.16,4.42,4.28,4.4,4.43,1.22,-14.77,0.83
37,38,600843,上工申贝,12.89,-3.16,-0.42,228742,296770703.0,3.23,13.23,12.8,13.21,13.31,4.87,-177.9,2.86
38,39,600650,锦江在线,14.56,-3.26,-0.49,81645,120022145.0,2.66,14.96,14.56,14.85,15.05,2.09,36.79,2.0
39,40,600602,云赛智联,24.27,-7.08,-1.85,1086032,2731601648.0,8.69,26.35,24.08,25.83,26.12,10.11,157.63,7.05
