,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600320,振华重工,4.92,10.07,0.45,1159817.0,567077307.0,2.91,4.92,4.79,4.85,4.47,3.49,44.91,1.7
1,2,601608,中信重工,5.26,10.04,0.48,1713251.0,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
2,3,601226,华电科工,7.6,9.99,0.69,302414.0,224781898.0,8.68,7.6,7.0,7.01,6.91,2.6,61.74,2.08
3,4,600759,洲际油气,2.54,9.96,0.23,5203959.0,1292524272.0,9.96,2.54,2.31,2.31,2.31,12.56,50.8,1.28
4,5,601890,亚星锚链,10.38,9.96,0.94,1691030.0,1731194224.0,7.2,10.38,9.7,9.89,9.44,17.63,38.67,2.81
5,6,600583,海油工程,6.2,7.27,0.42,3446947.0,2145302075.0,9.17,6.36,5.83,5.88,5.78,7.8,12.68,1.04
6,7,688776,国光电气,72.8,5.13,3.55,41949.0,303597273.0,8.58,74.18,68.24,68.29,69.25,3.87,163.91,4.21
7,8,688339,亿华通-U,25.9,5.03,1.24,110427.0,284301767.0,5.31,26.39,25.08,25.1,24.66,6.93,-13.24,2.32
8,9,600876,凯盛新能,10.85,4.73,0.49,249719.0,265308706.0,12.45,11.39,10.1,10.44,10.36,6.31,-21.25,1.6
9,10,600105,永鼎股份,6.18,4.57,0.27,2003783.0,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
10,11,603489,八方股份,31.38,4.53,1.36,128711.0,382755068.0,12.23,32.0,28.33,29.8,30.02,5.48,107.91,2.8
11,12,600973,宝胜股份,5.25,4.37,0.22,1488188.0,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
12,13,605598,上海港湾,22.87,4.33,0.95,76207.0,173012475.0,6.11,23.04,21.7,21.79,21.92,3.14,38.72,3.03
13,14,600605,汇通能源,38.44,4.29,1.58,84967.0,322301306.0,8.11,39.49,36.5,36.6,36.86,4.12,83.38,5.73
14,15,688206,概伦电子,25.03,4.29,1.03,188349.0,465155713.0,7.88,25.5,23.61,24.21,24.0,10.63,-113.98,5.56
15,16,600810,神马股份,8.86,4.24,0.36,394810.0,344007950.0,8.82,9.15,8.4,8.41,8.5,3.93,268.23,1.3
16,17,601098,中南传媒,13.2,4.18,0.53,255851.0,332313985.0,4.81,13.25,12.64,12.64,12.67,1.42,18.58,1.56
17,18,600072,中船科技,14.12,4.13,0.56,993698.0,1405969063.0,6.34,14.47,13.61,13.7,13.56,9.17,-226.02,1.98
18,19,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
19,20,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
20,21,603606,东方电缆,50.79,4.01,1.96,278691.0,1406488707.0,5.16,51.51,48.99,48.99,48.83,4.05,28.1,5.05
21,22,601808,中海油服,15.53,3.95,0.59,499918.0,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
22,23,601298,青岛港,8.79,3.9,0.33,292789.0,256243598.0,4.02,8.91,8.57,8.59,8.46,0.54,10.9,1.34
23,24,603169,兰石重装,6.13,3.9,0.23,657432.0,402467335.0,5.59,6.23,5.9,5.92,5.9,5.03,62.24,2.47
24,25,600968,海油发展,4.08,3.82,0.15,1488528.0,604240028.0,4.83,4.13,3.94,3.94,3.93,1.46,11.57,1.58
25,26,600178,东安动力,14.28,3.7,0.51,804592.0,1120381992.0,12.2,14.83,13.15,13.53,13.77,17.25,-3156.33,2.64
26,27,600871,石化油服,2.04,3.55,0.07,2391007.0,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
27,28,600482,中国动力,23.4,3.54,0.8,616091.0,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
28,29,603985,恒润股份,15.31,3.45,0.51,398200.0,610552025.0,7.64,15.78,14.65,14.66,14.8,9.03,-68.7,2.06
29,30,601615,明阳智能,12.05,3.26,0.38,900217.0,1081583348.0,5.66,12.24,11.58,11.64,11.67,3.96,25.39,1.01
30,31,600487,亨通光电,17.59,3.23,0.55,2108044.0,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
31,32,601106,中国一重,2.91,3.19,0.09,1212958.0,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
32,33,600084,中信尼雅,5.89,3.15,0.18,69010.0,39885822.0,4.73,5.91,5.64,5.71,5.71,0.61,397.88,5.12
33,34,688502,茂莱光学,266.01,3.1,7.99,9482.0,250040438.0,5.53,269.8,255.52,258.02,258.02,5.64,332.88,11.92
34,35,600350,山东高速,10.03,3.08,0.3,215574.0,213296279.0,4.32,10.13,9.71,9.73,9.73,0.44,14.51,1.67
35,36,603337,杰克股份,31.49,2.98,0.91,44548.0,139246500.0,4.71,31.88,30.44,30.44,30.58,0.94,18.42,3.45
36,37,601989,中国重工,4.51,2.97,0.13,4213906.0,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
37,38,688173,希荻微,12.92,2.95,0.37,142112.0,185304981.0,9.32,13.55,12.38,12.65,12.55,5.92,-18.8,3.57
38,39,603162,海通发展,9.49,2.82,0.26,370476.0,349479115.0,5.53,9.64,9.13,9.18,9.23,13.57,15.85,2.11
