,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408.0,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,301158,德石股份,18.95,11.93,2.02,258624.0,479727389.16,18.49,19.93,16.8,16.88,16.93,17.65,28.68,2.16
2,3,002278,神开股份,11.29,10.04,1.03,1299283.0,1454305402.04,5.46,11.29,10.73,10.73,10.26,38.88,152.1,3.69
3,4,002554,惠博普,2.96,10.04,0.27,1084063.0,317566461.18,7.43,2.96,2.76,2.76,2.69,8.13,-38.61,1.63
4,5,601798,蓝科高新,8.28,9.96,0.75,380708.0,305951438.0,7.97,8.28,7.68,7.72,7.53,10.74,-106.37,2.25
5,6,000852,石化机械,8.29,9.95,0.75,1361530.0,1103134887.48,9.02,8.29,7.61,7.63,7.54,14.47,70.35,2.57
6,7,920082,方正阀门,25.84,7.67,1.84,163265.0,423460030.7,16.42,28.0,24.06,24.06,24.0,50.34,41.57,7.53
7,8,600583,海油工程,6.2,7.27,0.42,3446947.0,2145302075.0,9.17,6.36,5.83,5.88,5.78,7.8,12.68,1.04
8,9,300191,潜能恒信,21.08,5.61,1.12,391803.0,835940613.4,20.14,23.3,19.28,19.75,19.96,17.71,-120.91,6.2
9,10,301063,海锅股份,28.52,5.36,1.45,254443.0,723350395.36,12.78,30.0,26.54,26.81,27.07,29.85,96.94,1.95
10,11,832225,利通科技,15.53,5.22,0.77,89273.0,139579242.21,11.45,16.39,14.7,14.72,14.76,10.78,13.47,2.92
11,12,833781,瑞奇智造,11.05,4.84,0.51,119621.0,128830125.33,7.4,11.14,10.36,10.54,10.54,12.89,50.58,3.79
12,13,688377,迪威尔,23.1,4.76,1.05,112212.0,266682462.0,14.1,25.16,22.05,22.05,22.05,5.76,48.39,2.5
13,14,300157,新锦动力,4.01,4.7,0.18,1327674.0,534895306.44,11.75,4.2,3.75,3.75,3.83,18.87,-19.99,-12.73
14,15,601808,中海油服,15.53,3.95,0.59,499918.0,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
15,16,600968,海油发展,4.08,3.82,0.15,1488528.0,604240028.0,4.83,4.13,3.94,3.94,3.93,1.46,11.57,1.58
16,17,300228,富瑞特装,8.73,3.56,0.3,1224543.0,1081444521.47,14.47,9.45,8.23,8.27,8.43,22.13,30.36,2.45
17,18,600871,石化油服,2.04,3.55,0.07,2391007.0,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
18,19,002478,常宝股份,5.57,3.15,0.17,475708.0,263519731.44,4.63,5.63,5.38,5.39,5.4,6.61,9.15,0.93
19,20,002353,杰瑞股份,36.86,3.1,1.11,169898.0,627644169.01,4.98,37.52,35.74,35.78,35.75,2.45,17.71,1.88
20,21,920088,科力股份,28.8,2.82,0.79,50545.0,147392593.41,10.67,30.5,27.51,27.51,28.01,25.34,35.18,3.91
21,22,000708,中信特钢,12.95,2.61,0.33,414051.0,537282470.2,5.23,13.18,12.52,12.61,12.62,0.82,12.75,1.62
22,23,000507,珠海港,5.39,2.28,0.12,530619.0,284622124.9,3.61,5.44,5.25,5.25,5.27,5.88,15.57,0.94
23,24,600339,中油工程,3.45,2.07,0.07,896822.0,309690017.0,3.85,3.5,3.37,3.38,3.38,1.61,22.85,0.73
24,25,002207,准油股份,6.1,2.01,0.12,201270.0,123515448.12,5.85,6.3,5.95,5.95,5.98,7.72,-79.26,23.54
25,26,002639,雪人股份,7.9,1.94,0.15,1071223.0,847686421.16,5.29,8.15,7.74,7.76,7.75,16.47,136.32,2.48
26,27,002490,ST墨龙,3.72,1.36,0.05,137320.0,50744757.64,3.54,3.76,3.63,3.67,3.67,2.54,34.04,6.05
27,28,300164,通源石油,4.51,1.35,0.06,853126.0,389766198.71,5.39,4.69,4.45,4.45,4.45,14.63,41.37,1.94
28,29,002443,金洲管道,6.22,0.81,0.05,100560.0,62463571.0,1.62,6.25,6.15,6.15,6.17,1.94,19.75,0.94
29,30,300943,春晖智控,15.15,0.33,0.05,184685.0,277465154.22,4.77,15.37,14.65,14.72,15.1,13.75,58.67,3.22
30,31,300370,安控科技,3.39,0.3,0.01,659962.0,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
31,32,600938,中国海油,26.08,0.23,0.06,585483.0,1539518976.0,2.0,26.53,26.01,26.15,26.02,2.06,7.97,1.72
32,33,603689,皖天然气,8.72,0.11,0.01,35089.0,30624283.0,1.49,8.79,8.66,8.69,8.71,0.72,11.33,1.34
33,34,002828,贝肯能源,9.4,0.11,0.01,169963.0,161009857.0,3.94,9.68,9.31,9.35,9.39,8.84,58.22,3.16
34,35,688186,广大特材,23.7,0.0,0.0,62855.0,149840559.0,5.06,24.5,23.3,23.6,23.7,2.93,42.65,1.4
35,36,600248,陕建股份,4.31,0.0,0.0,286324.0,124278997.0,2.09,4.38,4.29,4.31,4.31,0.78,4.1,0.66
36,37,603619,中曼石油,18.55,-0.16,-0.03,220793.0,415216873.0,3.12,19.05,18.47,18.79,18.58,4.78,9.62,2.22
37,38,605090,九丰能源,26.08,-0.27,-0.07,37064.0,96980273.0,1.38,26.33,25.97,26.13,26.15,0.58,8.22,1.85
38,39,300471,厚普股份,9.93,-0.5,-0.05,177643.0,179013466.82,4.21,10.28,9.86,9.92,9.98,4.85,-50.07,3.5
39,40,603036,如通股份,15.48,-1.09,-0.17,69908.0,109230344.0,2.88,15.9,15.45,15.45,15.65,3.39,33.59,2.46
40,41,002629,仁智股份,5.4,-1.1,-0.06,300609.0,163582321.0,3.48,5.54,5.35,5.41,5.46,8.45,-167.46,73.96
41,42,300446,航天智造,20.07,-1.47,-0.3,358464.0,715308759.14,2.99,20.25,19.64,20.01,20.37,11.51,21.46,3.24
42,43,688121,卓然股份,11.95,-1.48,-0.18,32147.0,38769088.0,3.22,12.27,11.88,12.05,12.13,2.27,27.55,1.09
43,44,001332,锡装股份,37.57,-1.49,-0.57,26491.0,101650548.48,4.77,39.32,37.5,38.28,38.14,9.81,14.92,1.75
44,45,872931,无锡鼎邦,14.15,-4.0,-0.59,25214.0,35760142.27,6.45,14.98,14.03,14.57,14.74,8.76,24.63,3.39
45,46,834014,特瑞斯,12.43,-4.02,-0.52,28016.0,35279276.67,5.87,13.08,12.32,12.94,12.95,4.09,19.09,1.9
46,47,300678,中科信息,36.23,-4.78,-1.82,127129.0,469094542.6,4.68,38.0,36.22,38.0,38.05,4.45,1301.32,12.55
47,48,600803,新奥股份,,,,,,,,,,19.65,0.0,13.07,2.68
