,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600320,振华重工,4.92,10.07,0.45,1159817,567077307.0,2.91,4.92,4.79,4.85,4.47,3.49,44.91,1.7
1,2,600097,开创国际,11.73,10.04,1.07,64274,75393402.0,0.0,11.73,11.73,11.73,10.66,2.67,129.41,1.29
2,3,601890,亚星锚链,10.38,9.96,0.94,1691030,1731194224.0,7.2,10.38,9.7,9.89,9.44,17.63,38.67,2.81
3,4,600467,好当家,2.79,9.84,0.25,3280715,896298165.0,11.42,2.79,2.5,2.53,2.54,22.46,103.54,1.2
4,5,002086,东方海洋,3.76,9.62,0.33,4725647,1732184355.08,11.37,3.77,3.38,3.43,3.43,31.15,-79.36,4.76
5,6,300065,海兰信,19.43,8.67,1.55,2882766,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
6,7,002483,润邦股份,7.81,7.72,0.56,1224418,966368895.57,8.69,7.98,7.35,7.4,7.25,13.83,20.38,1.66
7,8,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
8,9,000039,中集集团,9.56,4.71,0.43,1345893,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
9,10,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
10,11,002696,百洋股份,5.96,4.01,0.23,512690,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
11,12,601808,中海油服,15.53,3.95,0.59,499918,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
12,13,300177,中海达,12.8,3.23,0.4,1456461,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
13,14,833171,国航远洋,8.5,2.53,0.21,691984,604715884.62,14.23,9.38,8.2,8.3,8.29,24.12,154.55,3.44
14,15,300094,国联水产,4.09,2.0,0.08,1761210,726535866.92,9.73,4.33,3.94,3.95,4.01,15.94,-43.5,1.85
15,16,002639,雪人股份,7.9,1.94,0.15,1071223,847686421.16,5.29,8.15,7.74,7.76,7.75,16.47,136.32,2.48
16,17,002069,獐子岛,3.98,1.79,0.07,308676,124108868.55,5.88,4.13,3.9,3.91,3.91,4.35,-85.76,58.33
17,18,600185,格力地产,6.28,1.45,0.09,596084,373613283.0,4.2,6.4,6.14,6.15,6.19,3.16,-9.64,2.56
18,19,600798,宁波海运,3.21,1.26,0.04,348727,111827584.0,2.84,3.26,3.17,3.17,3.17,2.89,-336.43,0.99
19,20,600428,中远海特,6.92,1.02,0.07,735574,511379585.0,4.23,7.11,6.82,6.83,6.85,3.43,11.85,1.22
20,21,601866,中远海发,2.42,0.83,0.02,1208997,294307683.0,2.92,2.46,2.39,2.4,2.4,1.22,17.84,1.09
21,22,001205,盛航股份,18.96,0.58,0.11,112688,214245444.44,2.71,19.27,18.76,18.9,18.85,7.5,19.84,1.76
22,23,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
23,24,603209,兴通股份,16.35,-0.18,-0.03,82074,135489088.0,4.09,16.86,16.19,16.33,16.38,4.48,12.35,1.87
24,25,000690,宝新能源,4.19,-0.24,-0.01,539469,227464903.28,2.62,4.27,4.16,4.19,4.2,2.48,11.55,0.75
25,26,601872,招商轮船,6.5,-0.31,-0.02,643385,422245836.0,2.3,6.65,6.5,6.55,6.52,0.79,11.78,1.42
26,27,002320,海峡股份,6.99,-0.43,-0.03,450015,318166670.97,4.99,7.25,6.9,7.02,7.02,2.02,59.86,3.63
27,28,600710,苏美达,10.55,-0.47,-0.05,344494,365904156.0,3.58,10.84,10.46,10.59,10.6,2.64,12.18,1.84
28,29,600026,中远海能,11.64,-0.77,-0.09,467729,548615205.0,2.47,11.89,11.6,11.67,11.73,1.35,12.2,1.54
29,30,000798,中水渔业,7.77,-1.15,-0.09,421836,336538186.5,7.25,8.27,7.7,7.86,7.86,11.53,131.77,5.8
30,31,601919,中远海控,14.26,-1.31,-0.19,781452,1122281155.0,2.35,14.54,14.2,14.4,14.45,0.61,4.64,0.97
31,32,001313,粤海饲料,9.17,-2.03,-0.19,73797,68862068.0,3.85,9.52,9.16,9.4,9.36,1.06,-71.42,2.48
32,33,836826,盖世食品,11.86,-3.03,-0.37,64190,76224067.8,5.97,12.33,11.6,12.2,12.23,10.29,30.59,4.85
