,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301038,深水规院,22.48,5.69,1.21,192334,421755194.44,10.34,22.91,20.71,21.0,21.27,11.21,-740.22,4.61
1,2,300198,纳川股份,2.91,5.43,0.15,3092782,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
2,3,002310,*ST东园,2.02,5.21,0.1,1099696,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
3,4,300778,新城市,11.7,4.09,0.46,136353,157900689.79,5.69,11.75,11.11,11.21,11.24,6.7,-13.57,1.81
4,5,301027,华蓝集团,14.41,2.86,0.4,38179,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
5,6,300844,山水比德,36.2,2.12,0.75,20487,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
6,7,300197,节能铁汉,2.27,1.34,0.03,1016900,231221902.43,4.46,2.32,2.22,2.24,2.24,3.43,-7.97,1.81
7,8,002694,顾地科技,4.83,1.26,0.06,132559,64331973.8,6.08,5.0,4.71,4.77,4.77,2.4,-44.89,7.37
8,9,300989,蕾奥规划,16.18,1.06,0.17,79847,130458810.5,4.43,16.53,15.82,15.85,16.01,5.3,-95.45,3.39
9,10,002443,金洲管道,6.22,0.81,0.05,100560,62463571.0,1.62,6.25,6.15,6.15,6.17,1.94,19.75,0.94
10,11,300425,中建环能,5.41,0.37,0.02,237900,129232045.14,2.41,5.49,5.36,5.36,5.39,3.51,118.23,1.6
11,12,600008,首创环保,3.11,0.32,0.01,1072940,334955678.0,1.61,3.14,3.09,3.1,3.1,1.46,5.27,1.06
12,13,600512,腾达建设,2.38,0.0,0.0,180732,43204990.0,1.68,2.41,2.37,2.38,2.38,1.14,18.28,0.6
13,14,002062,宏润建设,5.0,0.0,0.0,145293,72911661.5,2.2,5.07,4.96,5.01,5.0,1.47,18.59,1.26
14,15,002663,普邦股份,1.84,0.0,0.0,255796,47170455.83,2.72,1.87,1.82,1.85,1.84,1.83,-106.22,1.1
15,16,600502,安徽建工,4.56,0.0,0.0,197385,90397228.0,1.54,4.61,4.54,4.56,4.56,1.15,6.1,0.75
16,17,601368,绿城水务,4.83,0.0,0.0,77867,37776311.0,1.66,4.89,4.81,4.83,4.83,0.88,23.86,0.89
17,18,601158,重庆水务,4.85,0.0,0.0,94527,45991479.0,1.44,4.9,4.83,4.86,4.85,0.2,23.94,1.37
18,19,300203,聚光科技,16.93,-0.06,-0.01,83408,140794766.0,3.07,17.2,16.68,16.9,16.94,1.86,48.43,2.51
19,20,002108,沧州明珠,3.58,-0.28,-0.01,301613,107860016.62,1.95,3.61,3.54,3.6,3.59,1.83,32.31,1.17
20,21,002372,伟星新材,12.28,-0.32,-0.04,69154,85037496.7,2.19,12.44,12.17,12.33,12.32,0.47,20.48,3.84
21,22,600168,武汉控股,4.81,-0.41,-0.02,111433,53803286.0,1.86,4.87,4.78,4.83,4.83,1.12,49.31,0.91
22,23,002658,雪迪龙,6.91,-0.43,-0.03,80457,55822743.0,2.02,7.01,6.87,6.94,6.94,2.24,43.44,1.76
23,24,002271,东方雨虹,13.5,-0.59,-0.08,393792,533216567.12,2.95,13.79,13.39,13.58,13.58,2.06,298.11,1.29
24,25,300422,博世科,4.51,-0.66,-0.03,89637,40438315.0,2.64,4.58,4.46,4.52,4.54,1.73,-31.55,1.13
25,26,000068,华控赛格,3.6,-0.83,-0.03,136076,49182311.84,2.2,3.66,3.58,3.6,3.63,1.35,276.37,5.09
26,27,300564,筑博设计,12.55,-1.03,-0.13,26694,33766066.4,3.08,12.86,12.47,12.66,12.68,2.36,1256.12,1.6
27,28,002775,文科股份,3.64,-1.09,-0.04,61140,22238445.72,2.72,3.7,3.6,3.7,3.68,1.39,271.14,9.97
28,29,002457,青龙管业,12.06,-1.55,-0.19,97837,118734796.0,2.04,12.27,12.02,12.21,12.25,2.94,26.67,1.74
29,30,002131,利欧股份,3.96,-2.46,-0.1,3377277,1341928649.84,2.71,4.05,3.94,4.04,4.06,5.77,-126.05,2.08
30,31,603018,华设集团,8.49,-2.64,-0.23,130625,111501994.0,3.1,8.71,8.44,8.71,8.72,1.91,18.76,1.18
31,32,002596,海南瑞泽,3.91,-2.74,-0.11,696525,276562262.0,4.73,4.09,3.9,4.06,4.02,6.81,-38.67,4.96
32,33,300075,数字政通,18.68,-3.16,-0.61,222565,420604230.08,3.58,19.29,18.6,19.08,19.29,4.33,424.4,2.93
33,34,300284,苏交科,10.31,-3.55,-0.38,258189,268845200.74,4.4,10.72,10.25,10.67,10.69,2.16,63.76,1.56
34,35,300355,蒙草生态,4.96,-4.06,-0.21,822578,415241215.0,3.87,5.16,4.96,5.15,5.17,6.02,119.37,1.82
35,36,603007,ST花王,6.35,-4.94,-0.33,28001,17780635.0,0.0,6.35,6.35,6.35,6.68,0.56,-47.41,6.52
36,37,002586,*ST围海,2.85,-5.0,-0.15,522230,154733719.68,10.0,3.15,2.85,3.15,3.0,5.82,-29.45,1.09
37,38,600326,西藏天路,6.63,-5.42,-0.38,580451,393965536.0,5.42,7.01,6.63,7.01,7.01,4.39,-99.75,2.27
