,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300065,海兰信,19.43,8.67,1.55,2882766,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
1,2,300249,依米康,18.48,1.65,0.3,373617,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
2,3,603516,淳中科技,50.17,1.58,0.78,120167,594085796.0,8.63,51.86,47.6,49.43,49.39,5.95,147.44,7.44
3,4,603912,佳力图,10.92,1.2,0.13,671924,728482848.0,5.47,11.16,10.57,10.65,10.79,12.4,164.99,3.22
4,5,002771,真视通,18.64,0.87,0.16,169607,315592646.25,8.06,19.49,18.0,18.29,18.48,9.72,-127.15,6.06
5,6,300870,欧陆通,148.3,0.77,1.13,31075,461576205.73,3.74,151.5,146.0,146.0,147.17,2.94,75.01,7.26
6,7,603757,大元泵业,25.4,0.71,0.18,61298,155100147.0,4.56,25.96,24.81,25.13,25.22,3.72,16.21,2.73
7,8,300990,同飞股份,47.54,0.34,0.16,26006,120864097.15,6.25,48.29,45.33,47.35,47.38,3.36,86.39,4.56
8,9,002723,小崧股份,8.18,-0.97,-0.08,76544,62754275.2,2.06,8.3,8.13,8.25,8.26,2.41,-49.54,2.18
9,10,002837,英维克,44.15,-1.19,-0.53,174678,770935924.45,2.98,44.89,43.56,44.64,44.68,2.7,69.82,11.77
10,11,300547,川环科技,37.21,-1.22,-0.46,136728,516780055.32,4.38,38.66,37.01,37.46,37.67,7.67,41.03,7.05
11,12,300499,高澜股份,20.78,-1.42,-0.3,216713,450577182.67,3.61,21.22,20.46,21.08,21.08,7.98,-269.55,4.58
12,13,000811,冰轮环境,12.81,-1.46,-0.19,263742,335481132.74,3.92,12.99,12.48,12.99,13.0,3.54,15.48,1.68
13,14,300731,科创新源,28.53,-1.79,-0.52,92875,266599874.28,3.61,29.28,28.23,28.76,29.05,7.73,253.48,5.97
14,15,300351,永贵电器,19.13,-1.8,-0.35,182053,349716389.73,3.13,19.6,18.99,19.3,19.48,6.95,55.29,3.1
15,16,600481,双良节能,5.64,-2.08,-0.12,280552,159427738.0,2.43,5.77,5.63,5.73,5.76,1.5,-5.92,1.97
16,17,300037,新宙邦,33.7,-2.21,-0.76,103072,350242146.29,2.81,34.57,33.6,34.3,34.46,1.89,27.16,2.74
17,18,600850,电科数字,25.13,-2.22,-0.57,105008,266409356.0,2.61,25.77,25.1,25.58,25.7,1.71,42.76,3.74
18,19,688719,爱科赛博,31.48,-2.27,-0.73,17357,55118126.0,3.48,32.35,31.23,31.9,32.21,2.36,49.74,2.04
19,20,688035,德邦科技,39.06,-2.28,-0.91,31390,123817403.0,3.45,40.28,38.9,39.67,39.97,3.53,57.21,2.42
20,21,300442,润泽科技,60.49,-2.44,-1.51,224826,1377064976.8,3.87,62.61,60.21,62.56,62.0,4.06,51.59,11.06
21,22,300594,朗进科技,17.5,-2.45,-0.44,20902,36866440.0,2.51,17.93,17.48,17.9,17.94,2.3,-27.86,1.85
