,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002789,建艺集团,10.4,10.05,0.95,326840,317277984.56,17.04,10.4,8.79,8.79,9.45,24.86,298.55,50.13
1,2,000555,神州信息,15.96,9.99,1.45,1360664,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
2,3,600892,大晟文化,3.87,9.94,0.35,776848,294400834.0,11.65,3.87,3.46,3.52,3.52,13.89,-104.87,17.3
3,4,300301,*ST长方,2.04,6.81,0.13,364128,75105301.83,8.38,2.18,2.02,2.08,1.91,4.61,-33.91,31.4
4,5,300961,深水海纳,22.98,6.49,1.4,597941,1371125481.06,18.4,24.97,21.0,21.02,21.58,39.59,-1603.58,4.05
5,6,002724,海洋王,8.48,5.74,0.46,1161113,995693957.26,9.98,8.82,8.02,8.69,8.02,20.31,93.88,2.31
6,7,301038,深水规院,22.48,5.69,1.21,192334,421755194.44,10.34,22.91,20.71,21.0,21.27,11.21,-740.22,4.61
7,8,001872,招商港口,21.42,5.05,1.03,243955,520240164.16,7.26,21.88,20.4,20.54,20.39,1.4,10.75,0.88
8,9,000039,中集集团,9.56,4.71,0.43,1345893,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
9,10,688788,科思科技,70.64,4.48,3.03,31000,216670918.0,7.57,71.87,66.75,67.02,67.61,2.93,-26.38,3.45
10,11,000006,深振业Ａ,6.76,4.32,0.28,505532,334417286.98,8.49,6.94,6.39,6.45,6.48,3.74,-13.07,1.42
11,12,300778,新城市,11.7,4.09,0.46,136353,157900689.79,5.69,11.75,11.11,11.21,11.24,6.7,-13.57,1.81
12,13,300888,稳健医疗,45.26,4.0,1.74,116409,533122675.4,7.42,47.23,44.0,44.0,43.52,6.63,35.75,2.32
13,14,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
14,15,002609,捷顺科技,9.7,3.19,0.3,281162,270058197.56,5.11,9.72,9.24,9.35,9.4,6.12,109.16,2.62
15,16,002875,安奈儿,13.54,2.5,0.33,107801,143541868.9,5.75,13.66,12.9,13.1,13.21,5.91,-27.82,3.88
16,17,002210,飞马国际,2.57,2.39,0.06,1639162,414558124.75,4.38,2.59,2.48,2.5,2.51,6.16,152.83,21.62
17,18,603228,景旺电子,35.69,1.97,0.69,270611,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
18,19,002822,ST中装,3.58,1.42,0.05,80447,28459181.43,3.68,3.6,3.47,3.52,3.53,1.47,-2.48,1.38
19,20,300197,节能铁汉,2.27,1.34,0.03,1016900,231221902.43,4.46,2.32,2.22,2.24,2.24,3.43,-7.97,1.81
20,21,002256,兆新股份,2.46,1.23,0.03,536960,131560838.0,4.12,2.5,2.4,2.43,2.43,3.73,-40.44,4.11
21,22,001914,招商积余,11.92,1.19,0.14,183504,217921784.76,2.72,12.02,11.7,11.8,11.78,1.73,15.04,1.21
22,23,688418,震有科技,30.71,1.19,0.36,49356,152219797.0,5.17,31.5,29.93,30.28,30.35,2.55,219.31,6.57
23,24,002528,ST英飞拓,2.63,1.15,0.03,276229,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
24,25,002047,宝鹰股份,2.68,1.13,0.03,275578,73628550.9,4.53,2.72,2.6,2.63,2.65,1.82,-7.03,-21.24
25,26,300989,蕾奥规划,16.18,1.06,0.17,79847,130458810.5,4.43,16.53,15.82,15.85,16.01,5.3,-95.45,3.39
26,27,000010,美丽生态,3.1,0.98,0.03,351916,108199839.44,3.58,3.14,3.03,3.08,3.07,6.69,-44.98,16.29
27,28,000012,南  玻Ａ,5.05,0.8,0.04,234216,118090785.04,1.4,5.07,5.0,5.01,5.01,1.2,14.79,1.1
28,29,300870,欧陆通,148.3,0.77,1.13,31075,461576205.73,3.74,151.5,146.0,146.0,147.17,2.94,75.01,7.26
29,30,002885,京泉华,15.54,0.65,0.1,344706,525297024.99,7.51,15.82,14.66,15.12,15.44,14.83,74.85,2.96
30,31,000014,沙河股份,11.42,0.53,0.06,71158,79906964.6,4.14,11.49,11.02,11.35,11.36,2.94,44.22,1.67
31,32,300199,翰宇药业,13.24,0.53,0.07,451105,603791496.06,2.89,13.6,13.22,13.23,13.17,6.39,-251.99,16.54
32,33,601330,绿色动力,6.58,0.46,0.03,87794,58043064.0,2.14,6.67,6.53,6.54,6.55,0.89,13.65,1.16
33,34,000088,盐 田 港,4.78,0.42,0.02,209609,100515217.19,2.1,4.84,4.74,4.75,4.76,0.93,18.48,1.39
34,35,000078,海王生物,2.45,0.41,0.01,335805,82853286.86,3.28,2.51,2.43,2.45,2.44,1.28,104.61,2.12
35,36,002769,普路通,7.7,0.39,0.03,79179,60635415.39,2.48,7.74,7.55,7.6,7.67,2.38,-48.44,2.42
36,37,002356,赫美集团,3.15,0.32,0.01,184825,58843203.12,4.78,3.27,3.12,3.17,3.14,1.41,-97.14,7.34
37,38,300656,民德电子,24.81,0.24,0.06,30144,74447100.57,2.83,24.99,24.29,24.53,24.75,2.41,-312.24,3.8
38,39,300832,新产业,60.05,0.2,0.12,24599,147007863.6,2.15,60.43,59.14,59.9,59.93,0.36,25.58,5.81
39,40,000027,深圳能源,6.38,0.16,0.01,199050,127475320.89,1.73,6.45,6.34,6.35,6.37,0.42,10.71,1.01
40,41,600548,深高速,11.62,0.09,0.01,32607,37879024.0,1.38,11.7,11.54,11.54,11.61,0.23,22.13,1.42
41,42,002867,周大生,13.69,0.0,0.0,93106,126762241.93,2.99,13.78,13.37,13.7,13.69,0.86,13.16,2.42
42,43,601139,深圳燃气,6.7,0.0,0.0,132103,88691359.0,1.34,6.75,6.66,6.69,6.7,0.46,13.23,1.24
43,44,300675,建科院,15.44,-0.06,-0.01,49852,77413764.0,3.04,15.75,15.28,15.42,15.45,3.4,943.0,3.74
44,45,000999,华润三九,41.9,-0.07,-0.03,140634,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
45,46,603978,深圳新星,14.45,-0.07,-0.01,44035,63437280.0,2.35,14.57,14.23,14.47,14.46,2.09,-23.3,1.65
46,47,000096,广聚能源,19.5,-0.1,-0.02,77861,151724867.4,3.64,19.91,19.2,19.5,19.52,1.52,115.4,3.73
47,48,001979,招商蛇口,9.46,-0.21,-0.02,472554,446089717.25,1.05,9.5,9.4,9.46,9.48,0.57,21.22,0.87
48,49,000090,天健集团,3.92,-0.25,-0.01,185259,72781792.64,1.78,3.96,3.89,3.91,3.93,0.99,16.72,0.65
49,50,002191,劲嘉股份,3.81,-0.26,-0.01,153590,58593525.6,1.83,3.85,3.78,3.82,3.82,1.07,17.48,0.83
50,51,000029,深深房Ａ,14.53,-0.27,-0.04,36641,53120402.91,3.09,14.74,14.29,14.47,14.57,0.41,-83.18,4.19
51,52,002831,裕同科技,25.5,-0.27,-0.07,20196,51596596.44,2.27,25.86,25.28,25.59,25.57,0.39,15.97,2.11
52,53,003816,中国广核,3.65,-0.27,-0.01,2053173,755506791.3,1.64,3.71,3.65,3.66,3.66,0.52,13.85,1.56
53,54,002303,美盈森,3.61,-0.28,-0.01,289232,104417592.8,2.49,3.66,3.57,3.6,3.62,3.64,18.95,1.25
54,55,002170,芭田股份,10.45,-0.29,-0.03,172681,180909601.53,2.67,10.65,10.37,10.41,10.48,2.43,36.89,3.35
55,56,300940,南极光,17.34,-0.29,-0.05,94774,164820798.26,5.0,17.8,16.93,17.37,17.39,6.43,-1873.98,3.65
56,57,601333,广深铁路,3.08,-0.32,-0.01,495745,153429143.0,1.62,3.12,3.07,3.1,3.09,0.88,13.53,0.8
57,58,300052,ST中青宝,11.61,-0.34,-0.04,333228,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
58,59,000069,华侨城Ａ,2.45,-0.41,-0.01,402062,98782075.62,1.63,2.48,2.44,2.45,2.46,0.58,-6.28,0.35
59,60,603063,禾望电气,32.85,-0.45,-0.15,297405,968020141.0,6.48,33.64,31.5,32.39,33.0,6.59,33.63,3.3
60,61,000019,深粮控股,6.55,-0.46,-0.03,43248,28408219.1,1.37,6.61,6.52,6.58,6.58,1.04,23.15,1.56
61,62,002672,东江环保,4.33,-0.46,-0.02,53764,23323669.25,2.07,4.39,4.3,4.36,4.35,0.59,-10.13,1.18
62,63,000011,深物业A,8.52,-0.47,-0.04,47317,40314266.6,2.57,8.65,8.43,8.49,8.56,0.9,1063.47,1.13
63,64,000055,方大集团,4.24,-0.47,-0.02,87564,37141992.0,1.64,4.28,4.21,4.28,4.26,1.3,22.81,0.75
64,65,000070,ST特信,6.16,-0.48,-0.03,94814,58476456.44,1.45,6.22,6.13,6.18,6.19,1.07,940.25,2.9
65,66,002620,瑞和股份,3.9,-0.51,-0.02,307843,121157102.68,5.87,4.1,3.87,4.03,3.92,9.77,-10.19,11.97
66,67,002482,广田集团,1.92,-0.52,-0.01,371482,71825742.64,2.07,1.95,1.91,1.92,1.93,0.99,-30.32,12.05
67,68,300112,万讯自控,9.89,-0.6,-0.06,254001,255931926.0,7.04,10.41,9.71,9.94,9.95,10.69,-39.14,2.72
68,69,000001,平安银行,11.42,-0.61,-0.07,1376389,1576151833.21,1.13,11.52,11.39,11.49,11.49,0.71,4.98,0.52
69,70,000007,全新好,6.26,-0.63,-0.04,52227,32611930.76,3.02,6.33,6.14,6.28,6.3,1.51,512.13,16.82
