,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300569,天能重工,6.32,19.92,1.05,1277900.0,770810997.99,19.92,6.32,5.27,5.38,5.27,12.56,841.41,1.18
1,2,300067,安诺其,7.41,15.6,1.0,4137554.0,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
2,3,002204,大连重工,7.0,10.06,0.64,230333.0,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
3,4,002907,华森制药,14.39,10.02,1.31,90885.0,130783845.97,0.0,14.39,14.39,14.39,13.08,2.94,60.43,3.63
4,5,000555,神州信息,15.96,9.99,1.45,1360664.0,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
5,6,000852,石化机械,8.29,9.95,0.75,1361530.0,1103134887.48,9.02,8.29,7.61,7.63,7.54,14.47,70.35,2.57
6,7,300065,海兰信,19.43,8.67,1.55,2882766.0,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
7,8,002014,永新股份,11.95,8.14,0.9,294628.0,352118359.11,4.16,12.16,11.7,11.97,11.05,4.88,15.65,2.83
8,9,002483,润邦股份,7.81,7.72,0.56,1224418.0,966368895.57,8.69,7.98,7.35,7.4,7.25,13.83,20.38,1.66
9,10,300185,通裕重工,2.9,7.41,0.2,3683071.0,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
10,11,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
11,12,300516,久之洋,39.5,7.16,2.64,126367.0,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
12,13,002498,汉缆股份,3.88,6.89,0.25,2098617.0,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
13,14,300850,新强联,28.76,6.76,1.82,204246.0,590345612.99,12.84,30.28,26.82,26.82,26.94,8.32,-214.42,2.13
14,15,300191,潜能恒信,21.08,5.61,1.12,391803.0,835940613.4,20.14,23.3,19.28,19.75,19.96,17.71,-120.91,6.2
15,16,000541,佛山照明,7.79,5.41,0.4,2016131.0,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
16,17,000915,华特达因,29.58,5.34,1.5,219205.0,652470547.07,3.99,30.5,29.38,29.91,28.08,9.36,13.44,2.38
17,18,301155,海力风电,67.38,5.23,3.35,91948.0,612317439.52,7.11,68.3,63.75,64.68,64.03,7.83,126.56,2.68
18,19,001872,招商港口,21.42,5.05,1.03,243955.0,520240164.16,7.26,21.88,20.4,20.54,20.39,1.4,10.75,0.88
19,20,301311,昆船智能,20.87,5.03,1.0,207996.0,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
20,21,000923,河钢资源,15.46,5.03,0.74,419294.0,641379923.39,6.39,15.65,14.71,14.71,14.72,6.68,13.1,1.05
21,22,000595,宝塔实业,7.77,4.86,0.36,1647532.0,1290996916.9,10.8,8.15,7.35,7.95,7.41,14.48,-111.66,20.82
22,23,002401,中远海科,20.79,4.79,0.95,714820.0,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
23,24,000039,中集集团,9.56,4.71,0.43,1345893.0,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
24,25,000006,深振业Ａ,6.76,4.32,0.28,505532.0,334417286.98,8.49,6.94,6.39,6.45,6.48,3.74,-13.07,1.42
25,26,002190,成飞集成,18.2,4.3,0.75,248559.0,446538518.58,7.91,18.65,17.27,17.35,17.45,6.93,-86.95,2.47
26,27,300307,慈星股份,10.73,4.17,0.43,939319.0,992526103.2,7.38,10.85,10.09,10.2,10.3,11.98,20.65,2.64
27,28,300888,稳健医疗,45.26,4.0,1.74,116409.0,533122675.4,7.42,47.23,44.0,44.0,43.52,6.63,35.75,2.32
28,29,301030,仕净科技,23.14,4.0,0.89,166373.0,384344116.8,8.13,23.76,21.95,22.0,22.25,9.74,24.32,2.37
29,30,300411,金盾股份,14.53,3.93,0.55,446201.0,643303210.55,7.01,14.68,13.7,13.88,13.98,14.56,214.26,6.19
30,31,002057,中钢天源,8.82,3.76,0.32,696511.0,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
31,32,300589,江龙船艇,14.65,3.68,0.52,577564.0,856092879.55,13.09,15.54,13.69,13.82,14.13,24.94,171.33,6.61
32,33,001258,立新能源,7.02,3.54,0.24,356764.0,248958297.97,5.9,7.15,6.75,6.76,6.78,7.61,37.93,2.18
33,34,300252,金信诺,12.06,3.52,0.41,801192.0,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
34,35,300527,中船应急,8.88,3.5,0.3,691342.0,612408034.68,6.41,9.06,8.51,8.53,8.58,7.01,1302.74,3.35
35,36,000796,凯撒旅业,4.21,3.44,0.14,1318817.0,551308552.69,5.41,4.25,4.03,4.03,4.07,9.91,-278.87,7.86
36,37,002258,利尔化学,9.08,3.42,0.3,226906.0,204304198.62,4.9,9.18,8.75,8.75,8.78,2.84,33.75,0.94
37,38,300001,特锐德,25.19,3.32,0.81,481349.0,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
38,39,301035,润丰股份,55.99,3.3,1.79,11571.0,64445916.3,5.07,56.5,53.75,54.0,54.2,0.41,34.52,2.4
39,40,300129,泰胜风能,7.83,3.3,0.25,811172.0,640896030.48,8.18,8.15,7.53,7.53,7.58,12.21,36.78,1.66
