,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301390,经纬股份,37.05,1.81,0.66,39969,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
1,2,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
2,3,301302,华如科技,24.93,-0.95,-0.24,40443,101244549.5,2.98,25.44,24.69,25.0,25.17,4.8,-10.89,2.12
3,4,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
4,5,002475,立讯精密,39.86,-1.39,-0.56,644422,2592809766.74,3.93,41.19,39.6,40.65,40.42,0.89,23.86,4.5
5,6,603488,展鹏科技,8.27,-1.66,-0.14,56856,46993030.0,3.21,8.43,8.16,8.33,8.41,1.95,-132.62,2.52
6,7,002635,安洁科技,16.63,-1.77,-0.3,187212,315396308.44,3.25,17.17,16.62,16.8,16.93,4.73,37.14,1.89
7,8,603052,可川科技,36.15,-2.03,-0.75,13573,49458852.0,2.3,36.91,36.06,36.9,36.9,3.31,63.93,4.41
8,9,605289,罗曼股份,25.19,-2.14,-0.55,18160,45964557.0,2.91,25.73,24.98,25.5,25.74,1.68,131.17,2.1
9,10,300781,因赛集团,55.06,-2.19,-1.23,27961,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
10,11,002241,歌尔股份,26.99,-2.56,-0.71,542249,1478896912.92,4.15,28.04,26.89,27.59,27.7,1.77,30.0,2.93
11,12,000810,创维数字,13.58,-2.79,-0.39,261690,357777492.16,2.51,13.89,13.54,13.8,13.97,2.34,49.54,2.46
12,13,002395,双象股份,16.89,-2.82,-0.49,42367,72227700.2,2.76,17.33,16.85,17.22,17.38,1.58,41.24,4.66
13,14,300496,中科创达,61.83,-2.86,-1.82,174632,1097420513.95,5.0,64.98,61.8,63.01,63.65,4.76,140.37,2.96
14,15,300088,长信科技,6.46,-2.86,-0.19,748887,487604117.37,3.31,6.63,6.41,6.6,6.65,3.01,41.31,1.88
15,16,688088,虹软科技,46.92,-3.06,-1.48,55445,262383281.0,3.6,48.38,46.64,48.06,48.4,1.38,107.43,6.93
16,17,688079,美迪凯,9.93,-3.4,-0.35,45532,45763196.0,3.4,10.27,9.92,10.23,10.28,1.14,-41.09,2.96
17,18,301312,智立方,48.6,-3.48,-1.75,26708,131320945.4,3.71,50.33,48.46,50.01,50.35,10.34,71.6,3.61
18,19,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
19,20,300567,精测电子,68.89,-3.64,-2.6,110070,772265909.77,4.85,72.15,68.68,71.01,71.49,5.43,172.26,5.4
20,21,300433,蓝思科技,25.14,-3.83,-1.0,503084,1275703714.23,4.09,26.02,24.95,25.94,26.14,1.01,39.63,2.65
21,22,002036,联创电子,11.88,-4.65,-0.58,672578,809579175.59,4.33,12.4,11.86,12.32,12.46,6.39,-204.39,4.69
22,23,002600,领益智造,9.13,-4.99,-0.48,1706057,1582559140.53,4.68,9.55,9.1,9.5,9.61,2.47,34.15,3.3
23,24,300136,信维通信,25.38,-5.19,-1.39,450547,1166120575.65,5.23,26.7,25.3,26.5,26.77,5.46,34.54,3.42
24,25,003015,日久光电,14.67,-5.78,-0.9,219788,328928445.0,4.69,15.4,14.67,15.32,15.57,8.85,54.9,4.29
25,26,300709,精研科技,39.6,-6.07,-2.56,123002,497966982.91,5.19,41.79,39.6,41.7,42.16,8.26,55.48,3.44
26,27,003021,兆威机电,135.25,-6.47,-9.36,121718,1654818853.91,6.69,142.74,133.06,141.87,144.61,5.9,153.08,10.3
27,28,001314,亿道信息,50.86,-7.02,-3.84,91653,473382769.29,6.03,53.5,50.2,53.0,54.7,17.71,256.87,3.51
28,29,688097,博众精工,30.83,-7.53,-2.51,148136,466596683.0,7.5,33.18,30.68,33.18,33.34,3.34,34.55,3.07
29,30,688400,凌云光,30.52,-9.17,-3.08,189699,591646610.0,6.61,32.7,30.48,32.21,33.6,7.91,134.45,3.62
