,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600397,安源煤业,6.57,5.97,0.37,610003.0,393224131.0,11.29,6.8,6.1,6.16,6.2,6.16,-26.22,19.31
1,2,002255,海陆重工,7.43,4.94,0.35,1403142.0,1070549021.62,10.59,7.79,7.04,7.05,7.08,21.99,16.36,1.49
2,3,603169,兰石重装,6.13,3.9,0.23,657432.0,402467335.0,5.59,6.23,5.9,5.92,5.9,5.03,62.24,2.47
3,4,688357,建龙微纳,27.78,3.54,0.95,24966.0,68103682.0,5.4,27.99,26.54,27.05,26.83,2.5,37.35,1.55
4,5,603090,宏盛股份,22.9,2.78,0.62,85555.0,192490384.0,9.92,23.96,21.75,22.0,22.28,8.56,35.96,3.97
5,6,002564,*ST天沃,4.1,2.76,0.11,209405.0,85852398.09,4.51,4.18,4.0,4.01,3.99,2.44,481.3,29.37
6,7,600569,安阳钢铁,1.95,2.63,0.05,584607.0,114422246.0,4.74,1.99,1.9,1.9,1.9,2.04,-1.93,1.5
7,8,601015,陕西黑猫,3.56,2.59,0.09,1264161.0,445649817.0,8.65,3.69,3.39,3.47,3.47,6.19,-8.49,1.04
8,9,600117,西宁特钢,2.38,1.28,0.03,652108.0,155566838.0,3.83,2.43,2.34,2.36,2.35,2.0,-14.43,1.54
9,10,600575,淮河能源,3.46,1.17,0.04,464338.0,160539410.0,2.63,3.49,3.4,3.41,3.42,1.19,11.97,1.17
10,11,600582,天地科技,6.53,1.08,0.07,808618.0,525787407.0,2.32,6.57,6.42,6.5,6.46,1.95,10.31,1.11
11,12,002092,ST中泰,4.69,1.08,0.05,221416.0,103963342.66,2.16,4.74,4.64,4.65,4.64,0.86,-12.44,0.56
12,13,000968,蓝焰控股,6.61,0.92,0.06,112756.0,74403577.43,2.29,6.66,6.51,6.51,6.55,1.17,15.9,1.1
13,14,601117,中国化学,7.51,0.67,0.05,764415.0,576481405.0,2.14,7.61,7.45,7.45,7.46,1.26,8.97,0.76
14,15,002469,三维化学,8.04,0.63,0.05,275588.0,221943241.0,2.25,8.11,7.93,7.93,7.99,4.38,26.81,2.0
15,16,600509,天富能源,6.57,0.61,0.04,391800.0,258008699.0,2.91,6.68,6.49,6.5,6.53,2.85,13.71,1.17
16,17,603959,ST百利,3.88,0.52,0.02,114346.0,43816670.0,6.22,3.95,3.71,3.83,3.86,2.33,-8.38,5.14
17,18,600348,华阳股份,6.78,0.44,0.03,295938.0,200544397.0,1.78,6.83,6.71,6.72,6.75,0.82,10.08,0.89
18,19,000912,泸天化,4.73,0.42,0.02,154859.0,73148360.16,2.55,4.78,4.66,4.71,4.71,0.99,44.46,1.15
19,20,002128,电投能源,19.14,0.37,0.07,94557.0,180706452.69,1.21,19.23,19.0,19.0,19.07,0.42,7.31,1.26
20,21,600188,兖矿能源,13.59,0.3,0.04,294860.0,401129019.0,1.99,13.73,13.46,13.52,13.55,0.5,8.97,2.24
