,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300583,赛托生物,26.6,4.72,1.2,70105,183754543.41,6.65,26.99,25.3,25.38,25.4,3.77,257.18,2.6
1,2,300039,上海凯宝,6.4,1.75,0.11,825320,539924585.39,6.36,6.8,6.4,6.59,6.29,9.0,23.13,1.74
2,3,002422,科伦药业,31.58,0.96,0.3,154553,482345687.11,2.72,31.65,30.8,31.25,31.28,1.18,15.32,2.24
3,4,002317,众生药业,11.32,0.8,0.09,289249,329322069.15,2.23,11.53,11.28,11.45,11.23,3.8,48.59,2.2
4,5,600572,康恩贝,4.49,0.45,0.02,462787,209213018.0,2.91,4.59,4.46,4.55,4.47,1.8,16.78,1.73
5,6,688566,吉贝尔,22.95,0.26,0.06,11275,25791840.0,1.57,23.09,22.73,22.86,22.89,0.57,20.91,2.04
6,7,600332,白云山,26.6,-0.23,-0.06,103855,277920979.0,1.46,26.95,26.56,26.8,26.66,0.74,15.25,1.2
7,8,002550,千红制药,5.7,-0.35,-0.02,164668,94258676.23,2.1,5.78,5.66,5.73,5.72,1.81,17.67,2.95
8,9,688179,阿拉丁,14.95,-0.6,-0.09,29458,44147112.0,2.59,15.19,14.8,15.02,15.04,1.06,41.88,3.99
9,10,600062,华润双鹤,18.85,-0.68,-0.13,168490,318051038.0,1.58,19.06,18.76,19.0,18.98,1.64,12.03,1.88
10,11,601607,上海医药,19.09,-0.73,-0.14,110632,212518597.0,1.56,19.37,19.07,19.31,19.23,0.57,13.1,1.0
11,12,000756,新华制药,14.9,-1.06,-0.16,92494,138943549.74,2.59,15.21,14.82,15.12,15.06,2.03,22.4,2.09
12,13,688247,宣泰医药,10.44,-1.32,-0.14,26049,27382930.0,2.46,10.68,10.42,10.57,10.58,1.83,36.91,3.72
13,14,300485,赛升药业,7.32,-1.48,-0.11,41464,30685655.2,2.83,7.52,7.31,7.44,7.43,1.51,-26.93,1.06
14,15,301301,川宁生物,12.62,-1.71,-0.22,138127,175388196.3,2.73,12.92,12.57,12.81,12.84,2.24,19.59,3.71
15,16,300584,海辰药业,19.52,-2.01,-0.4,19654,38728582.0,3.31,20.12,19.46,19.8,19.92,2.39,62.48,2.32
16,17,600079,人福医药,19.89,-2.16,-0.44,217778,435836495.0,3.0,20.42,19.81,20.36,20.33,1.41,15.32,1.82
17,18,300966,共同药业,17.12,-2.51,-0.44,35570,61692925.36,3.76,17.73,17.07,17.7,17.56,4.64,-104.52,2.34
18,19,002398,垒知集团,5.29,-3.64,-0.2,291521,155776076.7,3.64,5.48,5.28,5.45,5.49,5.03,28.87,1.03
19,20,600624,复旦复华,7.89,-4.01,-0.33,436338,347158881.0,5.6,8.21,7.75,8.09,8.22,6.42,-124.81,6.94
20,21,300436,广生堂,34.58,-5.16,-1.88,43112,152647061.0,6.12,36.8,34.57,36.53,36.46,3.15,-58.47,12.35
