,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603776,永安行,24.61,10.01,2.24,148743.0,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
1,2,601226,华电科工,7.6,9.99,0.69,302414.0,224781898.0,8.68,7.6,7.0,7.01,6.91,2.6,61.74,2.08
2,3,002498,汉缆股份,3.88,6.89,0.25,2098617.0,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
3,4,688339,亿华通-U,25.9,5.03,1.24,110427.0,284301767.0,5.31,26.39,25.08,25.1,24.66,6.93,-13.24,2.32
4,5,300441,鲍斯股份,11.5,4.07,0.45,635124.0,737048536.28,11.95,12.26,10.94,11.0,11.05,10.13,7.91,3.12
5,6,002057,中钢天源,8.82,3.76,0.32,696511.0,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
6,7,300228,富瑞特装,8.73,3.56,0.3,1224543.0,1081444521.47,14.47,9.45,8.23,8.27,8.43,22.13,30.36,2.45
7,8,600482,中国动力,23.4,3.54,0.8,616091.0,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
8,9,002080,中材科技,15.23,3.04,0.45,410748.0,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
9,10,601678,滨化股份,4.03,2.03,0.08,698654.0,282860077.0,4.81,4.14,3.95,4.0,3.95,3.44,32.87,0.73
10,11,002639,雪人股份,7.9,1.94,0.15,1071223.0,847686421.16,5.29,8.15,7.74,7.76,7.75,16.47,136.32,2.48
11,12,000669,ST金鸿,1.95,1.56,0.03,131777.0,25796652.4,5.21,2.01,1.91,1.91,1.92,1.94,-10.45,8.5
12,13,300423,昇辉科技,8.2,1.36,0.11,203411.0,167220751.39,4.57,8.39,8.02,8.19,8.09,6.12,187.92,2.74
13,14,600733,北汽蓝谷,8.54,1.3,0.11,2376444.0,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
14,15,002682,龙洲股份,4.93,1.23,0.06,579335.0,285736351.54,5.13,5.03,4.78,4.82,4.87,10.3,-28.8,1.93
15,16,600241,时代万恒,7.68,0.92,0.07,94307.0,72664412.0,5.26,7.95,7.55,7.64,7.61,3.2,90.14,1.94
16,17,300586,美联新材,9.05,0.89,0.08,241286.0,218971391.45,5.57,9.3,8.8,8.91,8.97,4.51,132.17,3.36
17,18,300365,恒华科技,6.91,0.73,0.05,364903.0,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
18,19,603757,大元泵业,25.4,0.71,0.18,61298.0,155100147.0,4.56,25.96,24.81,25.13,25.22,3.72,16.21,2.73
19,20,000875,吉电股份,5.3,0.57,0.03,538354.0,286523863.49,2.28,5.38,5.26,5.27,5.27,1.93,10.2,1.12
20,21,601208,东材科技,9.47,0.53,0.05,157034.0,147395256.0,2.76,9.53,9.27,9.42,9.42,1.75,26.97,1.94
21,22,603959,ST百利,3.88,0.52,0.02,114346.0,43816670.0,6.22,3.95,3.71,3.83,3.86,2.33,-8.38,5.14
22,23,002448,中原内配,10.04,0.4,0.04,1399428.0,1456581212.94,10.1,11.0,9.99,10.17,10.0,28.74,19.02,1.69
23,24,002274,华昌化工,8.0,0.13,0.01,137086.0,109443836.5,1.63,8.05,7.92,7.97,7.99,1.46,10.78,1.33
24,25,301611,珂玛科技,58.27,0.02,0.01,32965.0,193205419.87,3.43,59.55,57.55,58.26,58.26,5.49,84.39,17.65
25,26,600704,物产中大,5.1,0.0,0.0,636614.0,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
26,27,000818,航锦科技,28.57,-0.03,-0.01,741496.0,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
27,28,300099,尤洛卡,7.37,-0.14,-0.01,268964.0,196094436.0,2.71,7.41,7.21,7.28,7.38,4.63,71.55,2.3
28,29,000969,安泰科技,13.26,-0.15,-0.02,694621.0,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
