,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002767,先锋电子,18.21,10.03,1.66,221888,378333897.04,11.12,18.21,16.37,16.47,16.55,17.04,208.84,3.34
1,2,603280,南方路机,28.0,10.02,2.55,92157,249020109.0,12.89,28.0,24.72,24.96,25.45,32.98,27.02,2.33
2,3,003007,直真科技,38.89,10.01,3.54,130053,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
3,4,603776,永安行,24.61,10.01,2.24,148743,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
4,5,002553,南方精工,25.65,9.99,2.33,1186067,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
5,6,000555,神州信息,15.96,9.99,1.45,1360664,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
6,7,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
7,8,002178,延华智能,7.38,5.13,0.36,732688,534721402.57,4.7,7.4,7.07,7.1,7.02,10.29,-449.82,11.91
8,9,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
9,10,000039,中集集团,9.56,4.71,0.43,1345893,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
10,11,000530,冰山冷热,6.35,4.27,0.26,1067472,671259022.02,5.25,6.41,6.09,6.09,6.09,17.79,42.46,1.72
11,12,600797,浙大网新,14.15,4.04,0.55,4145789,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
12,13,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
13,14,301396,宏景科技,86.25,3.98,3.3,185315,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
14,15,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
15,16,300698,万马科技,41.95,3.38,1.37,69156,284732598.32,8.5,42.8,39.35,40.9,40.58,5.83,135.02,11.85
16,17,600487,亨通光电,17.59,3.23,0.55,2108044,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
17,18,002609,捷顺科技,9.7,3.19,0.3,281162,270058197.56,5.11,9.72,9.24,9.35,9.4,6.12,109.16,2.62
18,19,002706,良信股份,9.42,2.95,0.27,532933,500369357.33,4.59,9.57,9.15,9.15,9.15,5.83,25.54,2.58
19,20,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
20,21,002383,合众思壮,8.82,2.44,0.21,383237,336332254.04,5.11,8.95,8.51,8.63,8.61,6.22,-76.85,3.57
21,22,002210,飞马国际,2.57,2.39,0.06,1639162,414558124.75,4.38,2.59,2.48,2.5,2.51,6.16,152.83,21.62
22,23,002104,恒宝股份,7.49,2.32,0.17,504093,372042829.56,6.28,7.58,7.12,7.25,7.32,8.41,43.49,2.49
23,24,301316,慧博云通,29.33,2.2,0.63,316593,933062097.28,6.72,30.19,28.26,28.66,28.7,13.04,232.77,10.9
24,25,002639,雪人股份,7.9,1.94,0.15,1071223,847686421.16,5.29,8.15,7.74,7.76,7.75,16.47,136.32,2.48
25,26,300607,拓斯达,36.13,1.83,0.65,516051,1805084235.29,12.63,37.68,33.2,35.0,35.48,15.28,1432.32,5.82
26,27,600734,实达集团,5.04,1.82,0.09,1820817,893595531.0,8.48,5.1,4.68,4.92,4.95,8.4,225.3,25.6
27,28,301390,经纬股份,37.05,1.81,0.66,39969,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
28,29,300249,依米康,18.48,1.65,0.3,373617,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
29,30,600941,中国移动,106.65,1.57,1.65,354595,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
30,31,835579,机科股份,33.06,1.47,0.48,80738,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
31,32,300386,飞天诚信,16.95,1.44,0.24,140107,235460152.0,2.87,16.98,16.5,16.69,16.71,5.64,-235.75,4.65
32,33,002512,达华智能,5.71,1.42,0.08,1408026,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
33,34,688450,光格科技,25.89,1.21,0.31,21488,55257840.0,5.28,26.35,25.0,25.58,25.58,4.46,-24.94,1.68
34,35,688191,智洋创新,25.74,1.18,0.3,61728,154631782.0,8.61,26.2,24.01,25.66,25.44,4.0,79.07,4.47
35,36,002047,宝鹰股份,2.68,1.13,0.03,275578,73628550.9,4.53,2.72,2.6,2.63,2.65,1.82,-7.03,-21.24
36,37,002771,真视通,18.64,0.87,0.16,169607,315592646.25,8.06,19.49,18.0,18.29,18.48,9.72,-127.15,6.06
37,38,688599,天合光能,17.8,0.74,0.13,292183,520531517.0,2.38,18.0,17.58,17.6,17.67,1.34,-11.23,1.47
38,39,300365,恒华科技,6.91,0.73,0.05,364903,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
39,40,300476,胜宏科技,85.16,0.54,0.46,543697,4691312803.89,5.63,88.77,84.0,84.0,84.7,6.36,63.28,8.22
40,41,603042,华脉科技,14.88,0.54,0.08,219363,329167429.0,5.81,15.41,14.55,14.7,14.8,13.66,-218.64,2.73
41,42,000733,振华科技,54.72,0.39,0.21,148765,820772173.0,4.62,56.32,53.8,54.04,54.51,2.69,35.29,2.1
42,43,300370,安控科技,3.39,0.3,0.01,659962,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
43,44,600035,楚天高速,4.29,0.23,0.01,149808,64383004.0,1.4,4.32,4.26,4.28,4.28,0.93,8.75,0.8
44,45,300504,天邑股份,17.32,0.23,0.04,84022,144576110.4,4.57,17.61,16.82,17.05,17.28,3.85,91.51,2.1
45,46,000333,美的集团,75.28,0.15,0.11,384528,2903191224.54,2.21,76.43,74.77,74.77,75.17,0.56,13.64,2.76
46,47,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
47,48,300335,迪森股份,5.38,0.0,0.0,308587,166658924.07,3.35,5.49,5.31,5.36,5.38,8.02,29.76,1.33
48,49,300555,ST路通,9.5,0.0,0.0,44832,42209599.0,5.05,9.68,9.2,9.46,9.5,2.27,-38.8,3.57
49,50,300203,聚光科技,16.93,-0.06,-0.01,83408,140794766.0,3.07,17.2,16.68,16.9,16.94,1.86,48.43,2.51
50,51,002544,普天科技,24.14,-0.08,-0.02,375304,900422485.07,3.93,24.48,23.53,24.42,24.16,5.53,675.1,4.4
51,52,603556,海兴电力,32.91,-0.09,-0.03,42683,141219686.0,2.25,33.52,32.78,32.86,32.94,0.88,15.17,2.33
