,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002553,南方精工,25.65,9.99,2.33,1186067,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
1,2,603011,合锻智能,9.29,4.38,0.39,784649,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
2,3,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
3,4,603211,晋拓股份,22.92,3.15,0.7,316385,720267601.0,9.45,23.5,21.4,21.69,22.22,46.56,108.48,5.28
4,5,300887,谱尼测试,9.05,2.61,0.23,403480,367278670.56,8.5,9.42,8.67,8.71,8.82,11.14,-15.82,1.55
5,6,000651,格力电器,43.74,2.41,1.03,708548,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
6,7,603228,景旺电子,35.69,1.97,0.69,270611,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
7,8,605133,嵘泰股份,34.89,1.96,0.67,123159,435305161.0,7.63,36.5,33.89,34.0,34.22,6.66,38.52,2.49
8,9,605222,起帆电缆,16.39,1.86,0.3,91293,150112096.0,4.85,16.79,16.01,16.04,16.09,2.21,24.14,1.49
9,10,600019,宝钢股份,7.51,1.76,0.13,936612,703466052.0,2.17,7.54,7.38,7.38,7.38,0.43,20.98,0.83
10,11,301005,超捷股份,36.71,1.1,0.4,114558,418248760.26,5.7,37.37,35.3,36.17,36.31,8.65,145.66,6.46
11,12,000012,南  玻Ａ,5.05,0.8,0.04,234216,118090785.04,1.4,5.07,5.0,5.01,5.01,1.2,14.79,1.1
12,13,300293,蓝英装备,25.08,0.72,0.18,115641,289333748.57,3.73,25.33,24.4,24.89,24.9,4.13,-2560.0,9.22
13,14,301292,海科新源,14.79,0.54,0.08,40414,60293685.96,3.94,15.18,14.6,14.6,14.71,4.75,-11.57,1.13
14,15,300476,胜宏科技,85.16,0.54,0.46,543697,4691312803.89,5.63,88.77,84.0,84.0,84.7,6.36,63.28,8.22
15,16,300160,秀强股份,5.69,0.53,0.03,176806,99916351.0,2.3,5.72,5.59,5.66,5.66,2.33,19.74,1.74
16,17,600577,精达股份,7.92,0.51,0.04,1596552,1275002306.0,5.33,8.18,7.76,7.79,7.88,7.43,30.69,3.09
17,18,301538,骏鼎达,75.89,0.44,0.33,17592,134644017.76,5.07,78.01,74.18,75.48,75.56,7.89,27.6,3.52
18,19,600458,时代新材,14.04,0.21,0.03,132941,189696790.0,4.21,14.52,13.93,13.93,14.01,1.66,28.49,1.93
19,20,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
20,21,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
21,22,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
22,23,600741,华域汽车,17.84,-0.34,-0.06,190236,341490631.0,2.4,18.18,17.75,17.92,17.9,0.6,9.43,0.94
23,24,600660,福耀玻璃,56.7,-0.42,-0.24,169038,962169751.0,1.76,57.5,56.5,57.0,56.94,0.84,19.73,4.15
24,25,002666,德联集团,4.94,-0.6,-0.03,232722,115448217.5,2.62,5.03,4.9,4.94,4.97,4.65,37.23,1.11
25,26,002452,长高电新,7.86,-0.63,-0.05,155019,122277717.0,2.15,7.97,7.8,7.89,7.91,3.0,20.2,2.09
26,27,603997,继峰股份,11.47,-0.69,-0.08,92413,106367115.0,3.29,11.73,11.35,11.56,11.55,0.73,-20.48,3.05
27,28,002407,多氟多,12.28,-0.73,-0.09,145404,179360862.37,1.62,12.42,12.22,12.36,12.37,1.35,439.2,1.65
